Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0002751350402832031,5.435943603515625e-05,0.00021696090698242188,0.59666473297595,0.5814430826452783,0.5814430826452783,0.16650702025516861,0.022562607118010725,0.4911021358401383,0.4552097774057702,0.5437451679337235,0.5624540155852162,13.930826212328386,0.17050318042432971,0.5654036712150747,0.5916998250864856,0.59666473297595,0.55,0.4888888888888889,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,15.54244937770941,0.0,0.0,0.3025,0.55,linear_model_SoftmaxRegression
2,0.0002715587615966797,3.528594970703125e-05,5.53131103515625e-05,0.5966675519646626,0.5814448005060483,0.5814448005060484,0.16651073593685242,0.022563650083763043,0.4911021358401383,0.4552097774057702,0.5437471503381658,0.5624553413027187,13.930728847071586,0.17050694835906288,0.5654036712150747,0.5917022492796966,0.5966675519646626,0.55,0.4888888888888889,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,15.54244937770941,0.0,0.0,0.3025,0.55,linear_model_SoftmaxRegression
3,0.0002665519714355469,3.4332275390625e-05,5.6743621826171875e-05,0.5966703709139706,0.5814465183232892,0.5814465183232892,0.16651445153346964,0.022564693052211204,0.4911021358401383,0.4552097774057702,0.5437491327640942,0.5624566669835038,13.930631483175787,0.17051071620607383,0.5654036712150747,0.5917046734481763,0.5966703709139706,0.56,0.5,0.5,0.0,1.0,0.0,0.0,0.7086763875156433,0.0,15.197061613760305,0.0,0.0,0.3136,0.56,linear_model_SoftmaxRegression
4,0.00032830238342285156,3.4332275390625e-05,0.00011301040649414062,0.596666200726866,0.5814431352053719,0.5814431352053719,0.166507475083442,0.022562989881623863,0.491097805095283,0.45520382407177323,0.5437479542790574,0.5624522831168539,13.930775515499745,0.17050405391998752,0.5654036712150747,0.5917008852980761,0.596666200726866,0.56,0.5,0.5,0.0,1.0,0.0,0.0,0.7086763875156433,0.0,15.197061613760305,0.0,0.0,0.3136,0.56,linear_model_SoftmaxRegression
5,0.00032782554626464844,3.743171691894531e-05,6.29425048828125e-05,0.5966690196462143,0.5814448529790852,0.5814448529790852,0.1665111905987928,0.022564032816865587,0.491097805095283,0.45520382407177323,0.5437499366688809,0.5624536087505911,13.93067815263874,0.1705078216911258,0.5654036712150747,0.5917033094198625,0.5966690196462143,0.56,0.5,0.5,0.0,1.0,0.0,0.0,0.7086763875156433,0.0,15.197061613760305,0.0,0.0,0.3136,0.56,linear_model_SoftmaxRegression
6,0.0002474784851074219,2.9087066650390625e-05,5.3882598876953125e-05,0.5966648495268447,0.5814402360625557,0.5814402360625557,0.16650170664050806,0.022561182611155917,0.4910934744268078,0.4552023357626049,0.5437473749356833,0.5624500457944,13.930822188211625,0.17049750506026387,0.5653921907043797,0.5916983115095974,0.5966648495268447,0.55,0.49107142857142855,0.49107142857142855,-0.01994560290117842,0.10424427630914435,0.0,0.0,0.7000333964644779,0.0,15.542457373683712,-0.08908708063747478,0.0,0.3111111111111111,0.55,linear_model_SoftmaxRegression
7,0.00023746490478515625,2.86102294921875e-05,5.269050598144531e-05,0.5966606794657646,0.5814368530501104,0.5814368530501104,0.16649473042279206,0.022559479618071365,0.4910891438347105,0.45519638262325196,0.5437461965621136,0.5624456620476916,13.93096621618285,0.1704908429635176,0.5653921907043797,0.5916945234028139,0.5966606794657646,0.54,0.48,0.4909090909090909,-0.019955654101995336,0.10749111950314716,0.0,0.0,0.6987012987012987,0.0,15.88784513763282,-0.0909090909090909,0.0,0.3,0.54,linear_model_SoftmaxRegression
8,0.000232696533203125,2.9325485229492188e-05,5.245208740234375e-05,0.596663498364597,0.5814385708170278,0.5814385708170279,0.1664984459005584,0.022560522457709453,0.4910891438347105,0.45519638262325196,0.5437481788791242,0.5624469876711257,13.930868854030434,0.17049461069788865,0.5653921907043797,0.5916969475247161,0.596663498364597,0.54,0.48,0.4909090909090909,-0.019955654101995336,0.10749111950314716,0.0,0.0,0.6987012987012987,0.0,15.887845137632821,-0.0909090909090909,0.0,0.3,0.54,linear_model_SoftmaxRegression
9,0.00025272369384765625,3.337860107421875e-05,5.6743621826171875e-05,0.5966593283712479,0.5814339540542107,0.5814339540542107,0.16648896223737306,0.022557672590894917,0.4910848133189891,0.45519489436274346,0.5437456173087151,0.562443424847154,13.931012885250606,0.17048429445039473,0.5653807106598985,0.591691949875649,0.5966593283712479,0.53,0.4711111111111111,0.4818181818181818,-0.03982300884955756,0.12366002496477901,0.0,0.0,0.6906338655916164,0.0,16.23324089755623,-0.1292191476761844,0.0,0.29744897959183675,0.53,linear_model_SoftmaxRegression
10,0.0002338886260986328,2.8848648071289062e-05,5.340576171875e-05,0.5966551584361852,0.5814293374083714,0.5814293374083714,0.16647947878598224,0.02255482301840983,0.49108048287964157,0.4551934061119666,0.5437430558901513,0.5624398620908879,13.931156914457565,0.17047397854554308,0.5653692310816024,0.591686952505449,0.5966551584361852,0.52,0.4622222222222222,0.4727272727272727,-0.059602649006622314,0.13591898417323622,0.0,0.0,0.6829152198668627,0.0,16.578636657479638,-0.15907417236906057,0.0,0.2948453608247423,0.52,linear_model_SoftmaxRegression
