Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0002894401550292969,3.743171691894531e-05,0.0002474784851074219,0.5944829352455923,0.5798396091011655,0.5798396091011656,0.16302824021137566,0.021394121569204505,0.49204325766337703,0.4581628834924898,0.541347833967652,0.5622374025831861,14.00618601211002,0.16649759487268703,0.5612109307296782,0.5894467192772791,0.5944829352455923,0.65,0.64,0.6474747474747475,0.29435483870967744,0.06360295471073407,0.6153846153846154,0.6194690265486726,0.5395677843939336,0.646982116125213,12.088715665755746,0.29441468128203235,0.6086956521739131,0.6507648953301127,0.65,model_GaussianNB
2,0.0003533363342285156,0.00011181831359863281,3.361701965332031e-05,0.5944856682639492,0.5798413096000988,0.5798413096000987,0.16303189389816444,0.021395113321543868,0.49204325766337703,0.4581628834924898,0.5413497240962295,0.5622387274861176,14.006091616172561,0.16650129504811337,0.5612109307296782,0.5894490908325047,0.5944856682639492,0.65,0.64,0.6474747474747475,0.29435483870967744,0.06360295471073407,0.6153846153846154,0.6194690265486726,0.5395677843939336,0.646982116125213,12.088715665755746,0.29441468128203235,0.6086956521739131,0.6507648953301127,0.65,model_GaussianNB
3,0.0003173351287841797,0.00011372566223144531,2.9087066650390625e-05,0.5944884012454676,0.5798430100574814,0.5798430100574814,0.1630355475038065,0.021396105077086336,0.49204325766337703,0.4581628834924898,0.5413516142461862,0.562240052353554,14.005997221507474,0.16650499514011305,0.5612109307296782,0.589451462363963,0.5944884012454676,0.66,0.6574675324675324,0.6574675324675325,0.3134087237479806,0.07230225309799232,0.6222222222222223,0.6306306306306306,0.5468542177476292,0.6571287406727709,11.743327901806639,0.31366464803829863,0.6086956521739131,0.6619001610305958,0.66,model_GaussianNB
4,0.0003764629364013672,9.870529174804688e-05,0.00011348724365234375,0.5944843946919712,0.579839717752894,0.579839717752894,0.1630287844712507,0.021394493298297568,0.4920391037871241,0.4581571210715801,0.5413504968628874,0.5622358266845384,14.00613560213528,0.166498517601395,0.5612109307296782,0.5894477694913587,0.5944843946919712,0.66,0.6574675324675324,0.6574675324675325,0.3134087237479806,0.07230225309799232,0.6222222222222223,0.6306306306306306,0.5468542177476292,0.6571287406727709,11.743327901806639,0.31366464803829863,0.6086956521739131,0.6619001610305958,0.66,model_GaussianNB
5,0.0003635883331298828,0.00013065338134765625,4.9591064453125e-05,0.5944871276452353,0.5798414181687277,0.5798414181687276,0.16303243799974437,0.02139548502286004,0.4920391037871241,0.4581571210715801,0.5413523869805718,0.562237151506524,14.00604120844609,0.16650221762119957,0.5612109307296782,0.5894501409784946,0.5944871276452353,0.67,0.6663961038961039,0.6663961038961039,0.3319838056680163,0.08132835374216252,0.6292134831460675,0.6334841628959277,0.5543250876981161,0.6657190234489458,11.397932141883231,0.33205184601240606,0.6222222222222222,0.6708686868686868,0.67,model_GaussianNB
6,0.0003178119659423828,0.00011730194091796875,2.7418136596679688e-05,0.5944898605616622,0.5798431185430136,0.5798431185430136,0.16303609144709666,0.021396476750625393,0.4920391037871241,0.4581571210715801,0.5413542771196325,0.5622384762930176,14.005946816029214,0.1665059175575832,0.5612109307296782,0.5894525124418645,0.5944898605616622,0.68,0.6753246753246753,0.6753246753246753,0.3506493506493506,0.09109802505303788,0.6363636363636364,0.6363636363636364,0.5623491552695093,0.674199862463242,11.052536381959822,0.35064935064935077,0.6363636363636364,0.68,0.68,model_GaussianNB
7,0.00052642822265625,0.00020265579223632812,4.315376281738281e-05,0.5944858540793357,0.5798398263374014,0.5798398263374013,0.1630293285986228,0.021394865002938745,0.49203494998100544,0.4581513587956194,0.5413531597419793,0.5622342506993646,14.00608519419893,0.1664994402067492,0.5612109307296782,0.589448819650552,0.5944858540793357,0.67,0.6577777777777778,0.6656565656565656,0.3319838056680163,0.08159026892375831,0.6292134831460675,0.625,0.5543250876981161,0.6642380004276489,11.397924145908929,0.3320518460124061,0.6363636363636364,0.6693993506493507,0.67,model_GaussianNB
8,0.0003752708435058594,0.0001418590545654297,3.337860107421875e-05,0.5944885869675097,0.5798415266701413,0.5798415266701413,0.16303298196883229,0.021395856699725768,0.49203494998100544,0.4581513587956194,0.5413550498487673,0.5622355754404113,14.0059908027579,0.1665031400709431,0.5612109307296782,0.5894511910696021,0.5944885869675097,0.68,0.6666666666666666,0.6747474747474748,0.3509127789046654,0.0917679143298501,0.6363636363636364,0.6278026905829597,0.5625316790077408,0.6726999721460174,11.05252838598552,0.3512018946896371,0.6511627906976745,0.6789881680946553,0.68,model_GaussianNB
9,0.0003223419189453125,0.00011944770812988281,2.6464462280273438e-05,0.5944913198188484,0.5798432269613368,0.5798432269613368,0.16303663525790685,0.021396848399714674,0.49203494998100544,0.4581513587956194,0.5413569399769292,0.5622369001459692,14.00589641258913,0.1665068398517219,0.5612109307296782,0.5894535624648878,0.5944913198188484,0.69,0.6755555555555556,0.6838383838383839,0.3699186991869918,0.1028333902668368,0.6436781609195403,0.6306306306306306,0.5712742200281691,0.6810568139578254,10.707132626062112,0.370608306249147,0.6666666666666666,0.6887931034482758,0.69,model_GaussianNB
10,0.0003247261047363281,0.00012111663818359375,2.6226043701171875e-05,0.5944940526333524,0.5798449272109895,0.5798449272109893,0.16304028846584875,0.02139784010290513,0.49203494998100544,0.4581513587956194,0.5413588301264627,0.5622382248160396,14.005802023692594,0.16651053954908868,0.5612109307296782,0.5894559338364093,0.5944940526333524,0.7,0.6844444444444444,0.692929292929293,0.3890020366598777,0.11487682666216537,0.6511627906976744,0.6334841628959277,0.5805397212822416,0.6893123494842633,10.361736866138704,0.39029935696952744,0.6829268292682927,0.6988424968995453,0.7,model_GaussianNB
11,0.0003170967102050781,0.00011730194091796875,2.6226043701171875e-05,0.5944900462307765,0.5798416351043475,0.5798416351043476,0.16303352580544314,0.021396228352142166,0.4920307962450193,0.45814559666460186,0.54135771270081,0.5622339992877918,14.005940399107871,0.1665040623973564,0.5612109307296782,0.5894522411058318,0.5944900462307765,0.69,0.6791919191919192,0.6818181818181819,0.36734693877551006,0.10310047288569835,0.6352941176470589,0.6136363636363635,0.574392339533524,0.6768912897813195,10.70712463008781,0.36927447293799814,0.675,0.68875,0.69,model_GaussianNB
12,0.0003185272216796875,0.00011897087097167969,2.6464462280273438e-05,0.5944860398822,0.5798383430966719,0.5798383430966719,0.16302676332111413,0.021394616700833646,0.4920266425791638,0.4581398346785224,0.541356595388091,0.5622297738548142,14.006078772658086,0.16649758541103515,0.5612109307296782,0.5894485484976438,0.5944860398822,0.69,0.6714975845410628,0.6823671497584541,0.3688925081433223,0.10594580864077296,0.6352941176470588,0.6053811659192826,0.5754675125871577,0.6756639246921763,10.707116634113508,0.3726963855213975,0.6923076923076923,0.6902648171500629,0.69,model_GaussianNB
13,0.0003204345703125,0.00011873245239257812,2.7179718017578125e-05,0.5944820335876216,0.5798350511879579,0.5798350511879578,0.16302000101285719,0.021393005148972688,0.49202248898343715,0.4581340728373751,0.5413554781883014,0.5622255485171029,14.006217144343278,0.16649110859011845,0.5612109307296782,0.5894448560118407,0.5944820335876216,0.68,0.6714975845410628,0.6714975845410628,0.34747145187601963,0.09501987648520094,0.6190476190476191,0.5855855855855856,0.5701429235834733,0.6630335787650942,11.052504398062615,0.3521892988603379,0.6842105263157895,0.6805432937181664,0.68,model_GaussianNB
14,0.0003185272216796875,0.00011754035949707031,2.6464462280273438e-05,0.5944847663910398,0.5798367513960689,0.5798367513960689,0.16302365415165077,0.021393996752835487,0.49202248898343715,0.4581340728373751,0.5413573681982734,0.562226873121822,14.00612275582968,0.16649480823775578,0.5612109307296782,0.5894472272979406,0.5944847663910398,0.68,0.6662626262626262,0.6686868686868688,0.3429158110882958,0.09301773830322424,0.6097560975609757,0.5760368663594471,0.5730597962628627,0.6590473688161075,11.052504398062615,0.3476383957300854,0.6756756756756757,0.6794508794508795,0.68,model_GaussianNB
15,0.0003197193145751953,0.00011920928955078125,2.6941299438476562e-05,0.5944807601590404,0.579833459586312,0.579833459586312,0.16301689202345312,0.02139238526624143,0.4920183354578377,0.4581283111411549,0.5413562510577644,0.562222647869419,14.006261125353495,0.166488331593462,0.5612109307296782,0.5894435349139636,0.5944807601590404,0.67,0.6497584541062802,0.6606280193236715,0.32598039215686286,0.08469152111726996,0.6024096385542168,0.5656108597285067,0.5654477532611674,0.650157914671245,11.397892162011722,0.3316316401704659,0.6756756756756757,0.6708108108108108,0.67,model_GaussianNB
16,0.0003159046173095703,0.00011706352233886719,2.7179718017578125e-05,0.5944767539810366,0.5798301678755078,0.5798301678755078,0.1630101300713173,0.021390773879084057,0.4920141820023637,0.45812254958985604,0.5413551340301761,0.5622184227122756,14.00639949301238,0.16648185511455896,0.5612109307296782,0.5894398426523612,0.5944767539810366,0.66,0.6503412284223203,0.6527498996386993,0.30922389272653394,0.07683860456811142,0.5952380952380952,0.5555555555555555,0.558370977279184,0.6414681073896605,11.74327992596083,0.31581056617315195,0.6756756756756757,0.6624882024882025,0.66,model_GaussianNB
