Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00023245811462402344,7.009506225585938e-05,0.00015687942504882812,0.5951976573938507,0.5800517982888388,0.5800517982888388,0.16363205458759708,0.02175136352468865,0.4898139946855624,0.4543296879849561,0.5429642543374487,0.5612065564373446,13.981498142494727,0.16748999236289788,0.5631152178012446,0.5901381662992723,0.5951976573938507,0.64,0.6072727272727273,0.608080808080808,0.22912205567451818,0.09216464997691853,0.41935483870967744,0.3299492385786802,0.6267813002448086,0.5175700801618925,12.433991486064606,0.2862876894638139,0.7647058823529411,0.6820694542877392,0.64,model_KNNClassifier
2,0.00031065940856933594,4.673004150390625e-05,8.678436279296875e-05,0.5952002915224238,0.5800534101896758,0.5800534101896758,0.16363553412007972,0.021752320912196033,0.4898139946855624,0.4543296879849561,0.542966089071997,0.5612078012447576,13.98140716213252,0.1674935206869342,0.5631152178012446,0.5901404352926427,0.5952002915224238,0.64,0.6072727272727273,0.608080808080808,0.22912205567451818,0.09216464997691853,0.41935483870967744,0.3299492385786802,0.6267813002448086,0.5175700801618925,12.433991486064606,0.2862876894638139,0.7647058823529411,0.6820694542877392,0.64,model_KNNClassifier
3,0.00023484230041503906,4.76837158203125e-05,3.170967102050781e-05,0.5952029256167156,0.5800550220524853,0.5800550220524852,0.16363901357832739,0.02175327830244722,0.4898139946855624,0.4543296879849561,0.5429679238256676,0.5612090460200422,13.981316182954359,0.16749704893443937,0.5631152178012446,0.5901427042643935,0.5952029256167156,0.65,0.6006493506493507,0.612012987012987,0.23979148566463937,0.09810295635435018,0.42622950819672134,0.3367875647668394,0.6321358611250036,0.5237849266164972,12.088603722115499,0.2960432880388756,0.7647058823529411,0.6873139617292701,0.65,model_KNNClassifier
4,0.0002377033233642578,5.14984130859375e-05,3.147125244140625e-05,0.5951990525644529,0.5800518770648961,0.5800518770648961,0.1636325326231658,0.021751722398224316,0.4898099776106551,0.4543241582025426,0.542966849113429,0.5612049735479999,13.981449952656021,0.16749085211057213,0.5631152178012446,0.5901391734888984,0.5951990525644529,0.65,0.6006493506493507,0.612012987012987,0.23979148566463937,0.09810295635435018,0.42622950819672134,0.3367875647668394,0.6321358611250036,0.5237849266164972,12.088603722115499,0.2960432880388756,0.7647058823529411,0.6873139617292701,0.65,model_KNNClassifier
5,0.00023651123046875,5.364418029785156e-05,3.075599670410156e-05,0.5952016866325263,0.580053488889679,0.5800534888896791,0.16363601201038921,0.02175267975990558,0.4898099776106551,0.4543241582025426,0.5429686838361298,0.5612062182821248,13.981358974383436,0.16749438029177066,0.5631152178012446,0.590141442419877,0.5952016866325263,0.65,0.6006493506493507,0.612012987012987,0.23979148566463937,0.09810295635435018,0.42622950819672134,0.3367875647668394,0.6321358611250036,0.5237849266164972,12.088603722115499,0.2960432880388756,0.7647058823529411,0.6873139617292701,0.65,model_KNNClassifier
6,0.0002384185791015625,5.602836608886719e-05,3.075599670410156e-05,0.5952043206663197,0.5800551006764368,0.580055100676437,0.1636394913233833,0.021753637124330205,0.4898099776106551,0.4543241582025426,0.5429705185779505,0.5612074629841242,13.981267997294847,0.167497908396443,0.5631152178012446,0.5901437113292373,0.5952043206663197,0.65,0.6006493506493507,0.612012987012987,0.23979148566463937,0.09810295635435018,0.42622950819672134,0.3367875647668394,0.6321358611250036,0.5237849266164972,12.088603722115499,0.2960432880388756,0.7647058823529411,0.6873139617292701,0.65,model_KNNClassifier
7,0.00024080276489257812,5.745887756347656e-05,3.123283386230469e-05,0.5952069546658337,0.5800592122529076,0.5800592122529076,0.1636476161459673,0.021755704912894247,0.4898183458399967,0.4543324600559263,0.5429699645371546,0.5612127871182759,13.98117702139023,0.16750614715149528,0.56312345609172,0.590147229152998,0.5952069546658337,0.65,0.6088888888888889,0.6191919191919192,0.25213675213675213,0.10405112200051336,0.44444444444444436,0.35353535353535354,0.6264791873636615,0.5371078555419279,12.088603722115499,0.30868905501702953,0.7777777777777778,0.6920731707317074,0.65,model_KNNClassifier
8,0.00024175643920898438,6.008148193359375e-05,3.123283386230469e-05,0.5952095886310693,0.5800608240016418,0.5800608240016418,0.16365109538795927,0.021756662325218556,0.4898183458399967,0.4543324600559263,0.5429717992876151,0.5612140317999592,13.981086046669565,0.16750967517998208,0.56312345609172,0.5901494980030866,0.5952095886310693,0.65,0.6088888888888889,0.6191919191919192,0.25213675213675213,0.10405112200051336,0.44444444444444436,0.35353535353535354,0.6264791873636615,0.5371078555419279,12.088603722115499,0.30868905501702953,0.7777777777777778,0.6920731707317074,0.65,model_KNNClassifier
9,0.00024199485778808594,6.246566772460938e-05,3.0040740966796875e-05,0.595212222562027,0.5800624357123536,0.5800624357123537,0.16365457455572635,0.021757619740283896,0.4898183458399967,0.4543324600559263,0.542973634057192,0.561215276449519,13.980995073132826,0.16751320313194765,0.56312345609172,0.5901517668315578,0.595212222562027,0.65,0.6088888888888889,0.6191919191919192,0.25213675213675213,0.10405112200051336,0.44444444444444436,0.35353535353535354,0.6264791873636615,0.5371078555419279,12.088603722115499,0.30868905501702953,0.7777777777777778,0.6920731707317074,0.65,model_KNNClassifier
10,0.0002644062042236328,7.939338684082031e-05,3.0994415283203125e-05,0.5952148564587075,0.5800640473850445,0.5800640473850445,0.16365805364927102,0.02175857715808993,0.4898183458399967,0.4543324600559263,0.542975468845884,0.5612165210669566,13.980904100779991,0.16751673100739456,0.56312345609172,0.5901540356384121,0.5952148564587075,0.65,0.6088888888888889,0.6191919191919192,0.25213675213675213,0.10405112200051336,0.44444444444444436,0.35353535353535354,0.6264791873636615,0.5371078555419279,12.088603722115499,0.30868905501702953,0.7777777777777778,0.6920731707317074,0.65,model_KNNClassifier
11,0.0002498626708984375,6.818771362304688e-05,3.0994415283203125e-05,0.5952109835052217,0.5800609024747123,0.5800609024747123,0.16365157284407905,0.021757021114452546,0.4898143288282377,0.4543269303912053,0.542974393958785,0.5612124486588783,13.981037867070093,0.16751053437317276,0.56312345609172,0.5901505049334617,0.5952109835052217,0.65,0.6088888888888889,0.6191919191919192,0.25213675213675213,0.10405112200051336,0.44444444444444436,0.35353535353535354,0.6264791873636615,0.5371078555419279,12.088603722115499,0.30868905501702953,0.7777777777777778,0.6920731707317074,0.65,model_KNNClassifier
12,0.00025391578674316406,7.033348083496094e-05,3.170967102050781e-05,0.5952071106021368,0.5800577576556613,0.5800577576556613,0.16364509220250723,0.021755465162349275,0.4898103118823655,0.4543214008610853,0.5429733191764613,0.5612083763394516,13.98117163161942,0.16750433789132033,0.56312345609172,0.5901469743411178,0.5952071106021368,0.64,0.6151368760064412,0.6151368760064413,0.24114671163575035,0.09786696840787101,0.43750000000000006,0.34653465346534656,0.6211298997852593,0.5308517143921718,12.433991486064606,0.29872877247822555,0.7777777777777778,0.6870460704607046,0.64,model_KNNClassifier
13,0.0005185604095458984,0.00012874603271484375,7.343292236328125e-05,0.5952032377494518,0.5800546129278874,0.5800546129278874,0.16363861172455152,0.021753909301774343,0.48980629500237827,0.4543158714655615,0.542972244498909,0.5612043041086735,13.981305394428006,0.16749814156183196,0.56312345609172,0.5901434438613761,0.5952032377494518,0.64,0.6151368760064412,0.6151368760064413,0.24114671163575035,0.09786696840787101,0.43750000000000006,0.34653465346534656,0.6211298997852593,0.5308517143921718,12.433991486064606,0.29872877247822555,0.7777777777777778,0.6870460704607046,0.64,model_KNNClassifier
14,0.0003197193145751953,9.799003601074219e-05,3.981590270996094e-05,0.5952058716360419,0.5800562245625586,0.5800562245625586,0.16364209075349945,0.021754866628397762,0.48980629500237827,0.4543158714655615,0.5429740791564617,0.5612055486668973,13.981214422423722,0.1675016693914266,0.56312345609172,0.5901457125891634,0.5952058716360419,0.64,0.6072727272727273,0.608080808080808,0.22912205567451818,0.09216464997691853,0.41935483870967744,0.3299492385786802,0.6267813002448086,0.5175700801618925,12.433991486064606,0.2862876894638139,0.7647058823529411,0.6820694542877392,0.64,model_KNNClassifier
15,0.0002982616424560547,8.0108642578125e-05,6.198883056640625e-05,0.5952019988418169,0.5800530799260579,0.5800530799260579,0.16363561044236108,0.02175331082803922,0.4898022781882745,0.454310342204629,0.5429730045335925,0.5612014765157338,13.98134818321319,0.167495473224516,0.56312345609172,0.5901421822028683,0.5952019988418169,0.63,0.5933977455716586,0.6042673107890499,0.21875000000000006,0.08645572795180823,0.4126984126984127,0.3233830845771144,0.6218309567961408,0.5115415117040427,12.779379250013713,0.2766880847232515,0.7647058823529411,0.67706591070163,0.63,model_KNNClassifier
16,0.0002892017364501953,8.916854858398438e-05,3.528594970703125e-05,0.5951981260979895,0.5800499353808266,0.5800499353808266,0.1636291302948298,0.021751755119199356,0.4897982614400525,0.4543048130782829,0.5429719300154868,0.5611974044532125,13.981481942262,0.1674892772099568,0.56312345609172,0.5901386519291665,0.5951981260979895,0.62,0.5997591328783621,0.6005620232838218,0.20866305705955845,0.08096722459402039,0.40624999999999994,0.3170731707317073,0.6172916467708609,0.5056882380863728,13.12476701396282,0.2672313189704539,0.7647058823529411,0.6723033309709426,0.62,model_KNNClassifier
17,0.0003535747528076172,0.00010943412780761719,4.7206878662109375e-05,0.5952007599664262,0.5800540467678125,0.5800540467678125,0.16363725471822108,0.02175382274158577,0.4898066293811812,0.45431311459448936,0.5429713758727125,0.5612027285318785,13.981390970884743,0.1674975156230143,0.563131694071504,0.5901421697928741,0.5952007599664262,0.63,0.6013649136892815,0.6112003211561622,0.23044925124792015,0.09191608069518098,0.43076923076923074,0.33980582524271846,0.6161969458041995,0.524777485295112,12.779379250013713,0.28892140771859515,0.7777777777777778,0.6822628726287263,0.63,model_KNNClassifier
18,0.0002758502960205078,8.7738037109375e-05,3.218650817871094e-05,0.5952033938005882,0.5800581580354739,0.5800581580354738,0.16364537887805386,0.021755890389136834,0.4898149970478253,0.45432141585812214,0.5429708218158656,0.5612080524055177,13.981300000691299,0.1675057537619656,0.5631399317406144,0.5901456875787077,0.5952033938005882,0.63,0.6073717948717948,0.6177884615384616,0.2411812961443807,0.09683423925948398,0.44776119402985076,0.35545023696682465,0.6107428770592576,0.5370861555295747,12.779379250013713,0.30000999633468,0.7894736842105263,0.6870955165692006,0.63,model_KNNClassifier
19,0.00027298927307128906,8.654594421386719e-05,3.0994415283203125e-05,0.5951995211232782,0.5800538721538885,0.5800538721538884,0.16363657574780455,0.021753301253454316,0.4898109803599984,0.45432003358910544,0.5429684684308194,0.561204742683482,13.981433762645269,0.16749619506350108,0.563129313270732,0.5901410694192589,0.5951995211232782,0.63,0.6114010437575271,0.6124046567643517,0.23236514522821575,0.08087438143169601,0.4477611940298508,0.36057692307692313,0.6058957610583429,0.5376249119650947,12.779387245988016,0.2805053648953013,0.75,0.6705,0.63,model_KNNClassifier
20,0.00027561187744140625,8.96453857421875e-05,3.170967102050781e-05,0.595202154931227,0.580055483782084,0.5800554837820839,0.163640054753044,0.021754258556458184,0.4898109803599984,0.45432003358910544,0.5429703029542517,0.5612059872468372,13.981342793357186,0.16749972287124704,0.563129313270732,0.5901433380521919,0.595202154931227,0.63,0.605877616747182,0.605877616747182,0.22138047138047132,0.07602251756202527,0.43076923076923074,0.3448275862068966,0.611323850304312,0.5255163858716927,12.779387245988016,0.2690237601170116,0.7368421052631579,0.6656140350877192,0.63,model_KNNClassifier
21,0.00027370452880859375,9.131431579589844e-05,3.075599670410156e-05,0.5951982823123719,0.5800511980331416,0.5800511980331416,0.16363125184404276,0.021751669617101954,0.489806963738048,0.4543186513284998,0.5429679496681676,0.5612026776150549,13.981476553292115,0.16749016450139337,0.5631186952012822,0.5901387201727368,0.5951982823123719,0.62,0.5966183574879227,0.5966183574879227,0.2016806722689075,0.05867590375044396,0.42424242424242425,0.34313725490196084,0.601903908539744,0.520126331736996,13.124783005911425,0.2407717061715384,0.7,0.6459999999999999,0.62,model_KNNClassifier
22,0.00027751922607421875,9.441375732421875e-05,3.170967102050781e-05,0.5952009160941079,0.5800528096548605,0.5800528096548604,0.16363473081271085,0.021752626868797198,0.489806963738048,0.4543186513284998,0.5429697841785992,0.5612039221779882,13.981385584909377,0.1674936922661744,0.5631186952012822,0.5901409888244155,0.5952009160941079,0.63,0.5911111111111111,0.601010101010101,0.21276595744680848,0.06369398613768806,0.43076923076923074,0.3500000000000001,0.6067124400602525,0.5264710031632485,12.77939524196232,0.251259453814803,0.7,0.651875,0.63,model_KNNClassifier
23,0.0002830028533935547,9.584426879882812e-05,3.1948089599609375e-05,0.5952035498415714,0.5800569208032024,0.5800569208032024,0.1636428547765338,0.02175469439903699,0.4898153311247417,0.45432695233111436,0.542969230167169,0.5612092458074335,13.981294617710375,0.16750193017205342,0.5631269326495211,0.5901445063734855,0.5952035498415714,0.63,0.5966183574879227,0.607487922705314,0.22399328859060405,0.06840238106164054,0.4477611940298507,0.36585365853658536,0.6013078668154168,0.5383819020581655,12.77939524196232,0.2630523998538733,0.7142857142857143,0.6566726943942133,0.63,model_KNNClassifier
24,0.00031256675720214844,0.00010895729064941406,3.600120544433594e-05,0.5952061835547633,0.580058532386905,0.580058532386905,0.16364633367421502,0.021755651698623257,0.4898153311247417,0.45432695233111436,0.5429710646862403,0.5612104903500549,13.981203651695088,0.16750545786066404,0.5631269326495211,0.5901467749659053,0.5952061835547633,0.64,0.610909090909091,0.6121212121212121,0.23566878980891717,0.07391587541605094,0.4545454545454545,0.3731343283582089,0.6065205569387877,0.5449492609130661,12.434007478013214,0.2738937918154122,0.7142857142857143,0.6625678119349006,0.64,model_KNNClassifier
