Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0006659030914306641,4.792213439941406e-05,0.0006127357482910156,0.5584197033798343,0.5519168138192863,0.5519168138192864,0.10419780290400024,0.007948567831178477,0.4982217853632383,0.49259638830971486,0.5139464652852547,0.5483092997799484,15.251812972064716,0.10425800711820832,0.5078885042812898,0.5569305305689441,0.5584197033798343,0.78,0.7664646464646465,0.7676767676767677,0.5463917525773196,0.2549133122206758,0.7250000000000001,0.6744186046511629,0.6672995013960306,0.7577211981602562,7.598578782725966,0.5583899280962289,0.8285714285714286,0.7874725274725275,0.78,tree_HoeffdingAdaptiveTreeClassifier
2,0.0004754066467285156,0.00012540817260742188,0.00012373924255371094,0.5584266482133871,0.5519223033919345,0.5519223033919345,0.10420886582391845,0.007950275545758778,0.4982217853632383,0.49259638830971486,0.5139496525487413,0.5483141946975684,15.251573103340318,0.10426907494169622,0.5078885042812898,0.5569373119481975,0.5584266482133871,0.78,0.7664646464646465,0.7676767676767677,0.5463917525773196,0.2549133122206758,0.7250000000000001,0.6744186046511629,0.6672995013960306,0.7577211981602562,7.598578782725966,0.5583899280962289,0.8285714285714286,0.7874725274725275,0.78,tree_HoeffdingAdaptiveTreeClassifier
3,0.0003769397735595703,5.316734313964844e-05,0.00011467933654785156,0.5584335928284972,0.5519277926515637,0.5519277926515637,0.10421992812263198,0.00795198335407532,0.4982217853632383,0.49259638830971486,0.513952840064932,0.548319089292383,15.251333242160742,0.10428014214340647,0.5078885042812898,0.5569440931244913,0.5584335928284972,0.79,0.7646103896103896,0.775974025974026,0.5643153526970955,0.2694378725761647,0.7341772151898734,0.6872037914691943,0.6790061232556603,0.7671206071890039,7.253191018776859,0.5744177561036802,0.8285714285714286,0.7953406593406593,0.79,tree_HoeffdingAdaptiveTreeClassifier
4,0.0004515647888183594,5.698204040527344e-05,0.00021076202392578125,0.5584248104928758,0.5519192184842289,0.5519192184842289,0.10420299431149183,0.007949436634188345,0.49821288154978915,0.49258246224088104,0.5139508559600563,0.5483094732863268,15.251636570615949,0.10426330974175678,0.5078885042812898,0.5569342124900106,0.5584248104928758,0.79,0.7646103896103896,0.775974025974026,0.5643153526970955,0.2694378725761647,0.7341772151898734,0.6872037914691943,0.6790061232556603,0.7671206071890039,7.253191018776859,0.5744177561036802,0.8285714285714286,0.7953406593406593,0.79,tree_HoeffdingAdaptiveTreeClassifier
5,0.00035452842712402344,5.53131103515625e-05,0.00011539459228515625,0.5584317549184582,0.5519247074308656,0.5519247074308656,0.10421405605335927,0.007951144274623734,0.49821288154978915,0.49258246224088104,0.5139540434485131,0.5483143674725366,15.251396715982603,0.10427437639539897,0.5078885042812898,0.5569409933341734,0.5584317549184582,0.8,0.773538961038961,0.7849025974025974,0.5840266222961731,0.2967408012216497,0.7435897435897436,0.6904761904761905,0.6924555078764383,0.7747538360624661,6.90779525885345,0.5970838572417204,0.8529411764705882,0.8080213903743316,0.8,tree_HoeffdingAdaptiveTreeClassifier
6,0.0003666877746582031,5.6743621826171875e-05,0.00013494491577148438,0.5584386991256212,0.5519301960645367,0.5519301960645369,0.10422511717413205,0.007952852008770828,0.49821288154978915,0.49258246224088104,0.5139572311896131,0.5483192613360117,15.251156868893277,0.10428544242737314,0.5078885042812898,0.5569477739754107,0.5584386991256212,0.8,0.773538961038961,0.7849025974025974,0.5840266222961731,0.2967408012216497,0.7435897435897436,0.6904761904761905,0.6924555078764383,0.7747538360624661,6.90779525885345,0.5970838572417204,0.8529411764705882,0.8080213903743316,0.8,tree_HoeffdingAdaptiveTreeClassifier
7,0.00034427642822265625,5.3882598876953125e-05,0.00011467933654785156,0.5584299171240309,0.5519216224986447,0.5519216224986447,0.10420818448558129,0.007950305331077545,0.49820397805457767,0.4925685369594256,0.5139552471294918,0.5483096456642031,15.251460185811707,0.10426861123052915,0.5078885042812898,0.556937893897404,0.5584299171240309,0.79,0.7757575757575758,0.7767676767676768,0.566115702479339,0.2817589609765072,0.7341772151898734,0.677570093457944,0.6804682373966902,0.7654139963827327,7.253183022802557,0.581328398520719,0.8529411764705882,0.8004901960784313,0.79,tree_HoeffdingAdaptiveTreeClassifier
8,0.00039196014404296875,6.699562072753906e-05,0.00013399124145507812,0.5584368611416889,0.5519271108193771,0.5519271108193771,0.10421924504960264,0.007952012897364136,0.49820397805457767,0.4925685369594256,0.513958434842815,0.54831453911916,15.25122034526782,0.10427967671453608,0.5078885042812898,0.5569446742065652,0.5584368611416889,0.79,0.7757575757575758,0.7767676767676768,0.566115702479339,0.2817589609765072,0.7341772151898734,0.677570093457944,0.6804682373966902,0.7654139963827327,7.253183022802557,0.581328398520719,0.8529411764705882,0.8004901960784313,0.79,tree_HoeffdingAdaptiveTreeClassifier
9,0.0003566741943359375,5.555152893066406e-05,0.00011730194091796875,0.5584438049409508,0.5519325988271975,0.5519325988271975,0.10423030499263973,0.007953720557337784,0.49820397805457767,0.4925685369594256,0.5139616228087206,0.5483194322514529,15.250980512267155,0.10429074157698383,0.5078885042812898,0.5569514543128353,0.5584438049409508,0.8,0.785050505050505,0.7858585858585858,0.5859213250517599,0.3121519484869285,0.7435897435897436,0.6807511737089202,0.6940240731501404,0.7730302436358862,6.907787262879149,0.6048873008726765,0.8787878787878788,0.814111261872456,0.8,tree_HoeffdingAdaptiveTreeClassifier
10,0.00035858154296875,5.412101745605469e-05,0.0001323223114013672,0.5584507485218266,0.5519380865221325,0.5519380865221325,0.10424136431474436,0.007955428310976953,0.49820397805457767,0.4925685369594256,0.513964811027173,0.5483243250611143,15.250740686809358,0.10430180581792454,0.5078885042812898,0.556958234216223,0.5584507485218266,0.8,0.785050505050505,0.7858585858585858,0.5859213250517599,0.3121519484869285,0.7435897435897436,0.6807511737089202,0.6940240731501404,0.7730302436358862,6.907787262879149,0.6048873008726765,0.8787878787878788,0.814111261872456,0.8,tree_HoeffdingAdaptiveTreeClassifier
