Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0009181499481201172,0.00020813941955566406,0.0007047653198242188,0.9786470482684371,0.929965614634252,0.9299656146342519,0.9033724013521717,0.797780058886475,0.915542938254081,0.8835616438356163,0.9732811639824418,0.9275840797179521,0.7375072643371081,0.9055318265576721,0.974320241691843,0.9785721595372193,0.9786470482684371,0.99,0.9166666666666666,0.9583333333333333,0.9508840864440078,0.9006672597154959,0.9565217391304348,0.9322033898305083,0.987459911677974,0.9574271077563381,0.3453877639491035,0.952033109297414,1.0,0.9901123595505618,0.99,ARFClassifier
2,0.0006325244903564453,0.00017762184143066406,0.0002739429473876953,0.9786508790814495,0.9299659795178228,0.9299659795178227,0.9033748993770773,0.7977909085618476,0.915542938254081,0.8835616438356163,0.9732870042884388,0.9275844193745508,0.7373749523054725,0.9055342185030814,0.974320241691843,0.9785759393057745,0.9786508790814495,0.99,0.9166666666666666,0.9583333333333333,0.9508840864440078,0.9006672597154959,0.9565217391304348,0.9322033898305083,0.987459911677974,0.9574271077563381,0.3453877639491035,0.952033109297414,1.0,0.9901123595505618,0.99,ARFClassifier
3,0.0008118152618408203,0.00018143653869628906,0.0003600120544433594,0.97847533632287,0.9293888045076215,0.9293888045076215,0.9026257285240246,0.7968255144156678,0.9148936170212766,0.8825944170771757,0.9730703614876935,0.9269641689411873,0.7434379839543702,0.9048316515601803,0.974320241691843,0.978402603137796,0.97847533632287,0.98,0.9230769230769231,0.9230769230769231,0.9053926206244086,0.8389335567444731,0.9166666666666666,0.8730158730158731,0.9750251641364953,0.9198662110077999,0.6907755278982104,0.9094719088470241,1.0,0.9804494382022472,0.98,ARFClassifier
4,0.0009365081787109375,0.0002524852752685547,0.00046896934509277344,0.9784791965566715,0.9293891692400392,0.9293891692400391,0.9026282457251427,0.7968364176717883,0.9148936170212766,0.8825944170771757,0.9730762450820407,0.926964508229934,0.7433046557649954,0.904834060446155,0.974320241691843,0.9784064106147963,0.9784791965566715,0.98,0.9230769230769231,0.9230769230769231,0.9053926206244086,0.8389335567444731,0.9166666666666666,0.8730158730158731,0.9750251641364953,0.9198662110077999,0.6907755278982104,0.9094719088470241,1.0,0.9804494382022472,0.98,ARFClassifier
5,0.0010061264038085938,0.00030875205993652344,0.0004918575286865234,0.9784830554061323,0.9293895338213977,0.9293895338213977,0.9026307618934828,0.7968473175159997,0.9148936170212766,0.8825944170771757,0.9730821261648563,0.9269648473780353,0.7431713753892082,0.9048364683461548,0.974320241691843,0.9784102167531457,0.9784830554061323,0.98,0.9230769230769231,0.9230769230769231,0.9053926206244086,0.8389335567444731,0.9166666666666666,0.8730158730158731,0.9750251641364953,0.9198662110077999,0.6907755278982104,0.9094719088470241,1.0,0.9804494382022472,0.98,ARFClassifier
6,0.0015993118286132812,0.00035643577575683594,0.0009310245513916016,0.9783076371459304,0.9288138999994747,0.9288138999994746,0.9018826024345233,0.7958862750243886,0.9142452161587528,0.8816293056314927,0.9728657048571362,0.9263458390636762,0.749230107016946,0.9041353089364764,0.974320241691843,0.9782370709529877,0.9783076371459304,0.97,0.8571428571428571,0.8928571428571428,0.8631386861313868,0.7900780435142878,0.88,0.8208955223880596,0.9627003266515336,0.8864052604279183,1.0361632918473171,0.8713377843927309,1.0,0.9710112359550561,0.97,ARFClassifier
7,0.0015506744384765625,0.0002002716064453125,0.001180887222290039,0.9783115253629683,0.928814264429868,0.9288142644298678,0.9018851377405004,0.7958972281090243,0.9142452161587528,0.8816293056314927,0.9728716291212149,0.9263461778448372,0.7490958123212986,0.9041377337220702,0.974320241691843,0.978240904724492,0.9783115253629683,0.97,0.8571428571428571,0.8928571428571428,0.8631386861313868,0.7900780435142878,0.88,0.8208955223880596,0.9627003266515336,0.8864052604279183,1.0361632918473171,0.8713377843927309,1.0,0.9710112359550561,0.97,ARFClassifier
8,0.0013074874877929688,0.0002384185791015625,0.0009140968322753906,0.97831541218638,0.9288146287093895,0.9288146287093894,0.9018876720068171,0.7959081777682904,0.9142452161587528,0.8816293056314927,0.9728775508580546,0.9263465164856213,0.7489615657599508,0.9041401575157313,0.974320241691843,0.9782447371491645,0.97831541218638,0.97,0.8571428571428571,0.8928571428571428,0.8631386861313868,0.7900780435142878,0.88,0.8208955223880596,0.9627003266515336,0.8864052604279183,1.0361632918473171,0.8713377843927309,1.0,0.9710112359550561,0.97,ARFClassifier
9,0.0016279220581054688,0.0002319812774658203,0.001239776611328125,0.9781401182583767,0.9282405299109914,0.9282405299109915,0.9011405221033509,0.7949514398130001,0.9135977337110482,0.8806663025669034,0.972661350679197,0.9257287461491651,0.7550160031061522,0.9034404009657452,0.974320241691843,0.978071781373267,0.9781401182583767,0.96,0.8666666666666667,0.8666666666666667,0.8237885462555066,0.7489655826312451,0.846153846153846,0.7746478873239436,0.9504901786092314,0.8563488385776752,1.3815510557964241,0.8368838221851381,1.0,0.9617977528089888,0.96,ARFClassifier
10,0.001598358154296875,0.0002684593200683594,0.0011229515075683594,0.9779648871372268,0.9276679600042006,0.9276679600042006,0.9003943396834084,0.7939988481141514,0.9129511677282377,0.8797054009819968,0.9724452801910567,0.9251122101193038,0.7610682711806425,0.9027420070551657,0.974320241691843,0.9778989575753083,0.9779648871372268,0.95,0.8125,0.84375,0.787052810902896,0.7132195624802484,0.8148148148148148,0.7333333333333333,0.9383997157950013,0.82915619758885,1.726938819745531,0.805528649083558,1.0,0.952808988764045,0.95,ARFClassifier
11,0.0013682842254638672,0.00028634071350097656,0.0009174346923828125,0.9779688339602365,0.9276683241329442,0.9276683241329442,0.9003969131715273,0.7940099067183297,0.9129511677282377,0.8797054009819968,0.9724512905491439,0.9251125481687649,0.7609319523070655,0.9027444654674512,0.974320241691843,0.9779028464146386,0.9779688339602365,0.95,0.8125,0.84375,0.787052810902896,0.7132195624802484,0.8148148148148148,0.7333333333333333,0.9383997157950013,0.82915619758885,1.726938819745531,0.805528649083558,1.0,0.952808988764045,0.95,ARFClassifier
12,0.0011513233184814453,0.00029349327087402344,0.0007002353668212891,0.9777936962750716,0.9270972770184585,0.9270972770184585,0.8996517166058369,0.7930614728973537,0.9123055162659124,0.8787465940054496,0.9722353951706841,0.9244972421158782,0.7669809932172739,0.9020474474850064,0.974320241691843,0.9777301832900064,0.9777936962750716,0.94,0.8125,0.8125,0.7368421052631576,0.6743904579160538,0.7692307692307693,0.6756756756756757,0.9278939828897932,0.7905694150420948,2.072326583694638,0.7637626158259734,1.0,0.9440000000000001,0.94,ARFClassifier
13,0.001050710678100586,0.00028634071350097656,0.0006122589111328125,0.9776186213070726,0.9265277466293766,0.9265277466293765,0.8989074840391481,0.7921170976145692,0.911660777385159,0.8777898747958629,0.9720196292807167,0.923883162179563,0.7730278679534768,0.9013517831988384,0.974320241691843,0.9775576518687248,0.9776186213070726,0.93,0.7647058823529411,0.7941176470588236,0.7033898305084748,0.6457087630437243,0.7407407407407407,0.6410256410256411,0.9162975111105562,0.7669649888473704,2.4177143476437446,0.7365349008232528,1.0,0.9354444444444445,0.93,ARFClassifier
14,0.0011417865753173828,0.00028514862060546875,0.0007035732269287109,0.9776226279985678,0.9265281106074359,0.9265281106074358,0.8989100966554116,0.7921282639655758,0.911660777385159,0.8777898747958629,0.9720257279734087,0.9238834996399591,0.7728894812961274,0.9013542760647861,0.974320241691843,0.9775615968950114,0.9776226279985678,0.93,0.7647058823529411,0.7941176470588236,0.7033898305084748,0.6457087630437243,0.7407407407407407,0.6410256410256411,0.9162975111105562,0.7669649888473704,2.4177143476437446,0.7365349008232528,1.0,0.9354444444444445,0.93,ARFClassifier
15,0.001071929931640625,0.0002913475036621094,0.0006225109100341797,0.9776266332557724,0.9265284744349042,0.9265284744349042,0.8989127082014635,0.7921394268294676,0.911660777385159,0.8777898747958629,0.9720318240686521,0.9238838369606125,0.7727511441775851,0.9013567679121681,0.974320241691843,0.9775655405385504,0.9776266332557724,0.93,0.7647058823529411,0.7941176470588236,0.7033898305084748,0.6457087630437243,0.7407407407407407,0.6410256410256411,0.9162975111105562,0.7669649888473704,2.4177143476437446,0.7365349008232528,1.0,0.9354444444444445,0.93,ARFClassifier
16,0.001333475112915039,0.00029397010803222656,0.0008845329284667969,0.9774516821760916,0.9259604547365093,0.9259604547365095,0.898169478033389,0.7911991779493257,0.9110169491525424,0.8768352365415987,0.9718162783108054,0.9232709786265301,0.7787937399633282,0.9006624882479927,0.974320241691843,0.9773931981069583,0.9774516821760916,0.92,0.7777777777777778,0.7777777777777778,0.6721311475409838,0.6196260834657079,0.7142857142857143,0.6097560975609756,0.9048350585337294,0.7453559924999299,2.7631021115928514,0.7114582486036498,1.0,0.9271111111111111,0.92,ARFClassifier
17,0.0011074542999267578,0.00031256675720214844,0.0006387233734130859,0.9774557165861514,0.9259608184134803,0.9259608184134804,0.8981721085618174,0.7912103924786332,0.9110169491525424,0.8768352365415987,0.9718224171412447,0.9232713155838586,0.7786543959411484,0.9006649967414726,0.974320241691843,0.9773971690541287,0.9774557165861514,0.92,0.7647058823529411,0.7647058823529411,0.6512641673931999,0.6114841708336396,0.6923076923076924,0.5844155844155844,0.9067466564861687,0.7276068751089989,2.7631021115928514,0.6948885314245481,1.0,0.927032967032967,0.92,ARFClassifier
18,0.001251220703125,0.00030350685119628906,0.0007908344268798828,0.9774597495527728,0.9259611819400474,0.9259611819400473,0.898174738013261,0.7912216035079627,0.9110169491525424,0.8768352365415987,0.9718285533588482,0.9232716524017104,0.7785151017737171,0.9006675042105686,0.974320241691843,0.977401138610564,0.9774597495527728,0.92,0.7647058823529411,0.7647058823529411,0.6512641673931999,0.6114841708336396,0.6923076923076924,0.5844155844155844,0.9067466564861687,0.7276068751089989,2.7631021115928514,0.6948885314245481,1.0,0.927032967032967,0.92,ARFClassifier
