Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.008101463317871094,0.007365226745605469,0.0003814697265625,0.9495454001674841,0.8722160810137517,0.8722160810137517,0.7739966633910662,0.555355596168401,0.8028514666355031,0.7806818181818181,0.9383939494771055,0.8657943113288676,1.7426554707550785,0.775138433928046,0.842737978410206,0.9480720689068678,0.9495454001674841,0.96,0.9772727272727273,0.9772727272727273,0.8344370860927152,0.629907530874753,0.8571428571428571,0.9375,0.9495003058414748,0.9770084209183945,1.3815830396936184,0.8461141122266495,0.75,0.97,0.96,LogisticRegression
2,0.00043654441833496094,6.985664367675781e-05,0.0001437664031982422,0.9495469091126596,0.8722164632799493,0.8722164632799493,0.7739976526505248,0.5553584535201103,0.8028514666355031,0.7806818181818181,0.9383961443567582,0.8657946497853849,1.742603353176625,0.7751394146292118,0.842737978410206,0.9480736072178163,0.9495469091126596,0.96,0.9772727272727273,0.9772727272727273,0.8344370860927152,0.629907530874753,0.8571428571428571,0.9375,0.9495003058414748,0.9770084209183945,1.3815830396936184,0.8461141122266495,0.75,0.97,0.96,LogisticRegression
3,0.0009810924530029297,0.00013828277587890625,0.0006401538848876953,0.9495185118727196,0.8721309467736952,0.8721309467736951,0.7738875819959479,0.5552457711443071,0.8027576536573966,0.7805399018360298,0.9383622991756242,0.8656980586488334,1.743584158638726,0.7750345956575138,0.842737978410206,0.948042015156359,0.9495185118727196,0.95,0.9018567639257294,0.938549955791335,0.7987117552334941,0.5507875065767982,0.8275862068965517,0.8823529411764706,0.9364123192375947,0.938422402106075,1.7269708036427251,0.8046013100119358,0.75,0.9571428571428571,0.95,LogisticRegression
4,0.0003726482391357422,8.296966552734375e-05,0.00011491775512695312,0.9495200215317444,0.8721313290134904,0.8721313290134904,0.7738885717264025,0.5552486293530441,0.8027576536573966,0.7805399018360298,0.9383644950137364,0.8656983970440851,1.7435320164048482,0.7750355767912394,0.842737978410206,0.9480435542257012,0.9495200215317444,0.96,0.9071618037135278,0.9442970822281167,0.8340248962655601,0.6078858798688176,0.8571428571428571,0.8955223880597014,0.9489342111219776,0.9440586233651662,1.3815750437193164,0.8369117531564387,0.8,0.963764705882353,0.96,LogisticRegression
5,0.00034618377685546875,7.43865966796875e-05,0.00011801719665527344,0.9495215311004784,0.872131711226886,0.872131711226886,0.773889561388998,0.5552514874159531,0.8027576536573966,0.7805399018360298,0.9383666906988662,0.8656987354158331,1.743479877289525,0.7750365578577151,0.842737978410206,0.948045093203998,0.9495215311004784,0.96,0.9071618037135278,0.9442970822281167,0.8340248962655601,0.6078858798688176,0.8571428571428571,0.8955223880597014,0.9489342111219776,0.9440586233651662,1.3815750437193164,0.8369117531564387,0.8,0.963764705882353,0.96,LogisticRegression
6,0.0005609989166259766,0.0001418590545654297,0.0002541542053222656,0.9494931371669507,0.8720462328720959,0.8720462328720957,0.7737795154548691,0.5551388683135259,0.8026638626007712,0.7803980370774264,0.938332851242724,0.8656021765247385,1.744460568552275,0.7749317737628527,0.842737978410206,0.9480135066675809,0.9494931371669507,0.95,0.9111295681063123,0.9111295681063123,0.7983870967741934,0.5562932247786037,0.8275862068965518,0.8450704225352113,0.9360352952815048,0.9095287378180766,1.7269628076684231,0.7990369423104675,0.8,0.9517647058823528,0.95,LogisticRegression
7,0.0003647804260253906,7.963180541992188e-05,0.0001323223114013672,0.9494946474493152,0.8720466150590945,0.8720466150590945,0.7737805055882847,0.5551417272326218,0.8026638626007712,0.7803980370774264,0.9383350478858968,0.8656025148352463,1.7444084047890864,0.7749327552616472,0.842737978410206,0.9480150464039253,0.9494946474493152,0.95,0.9111295681063123,0.9111295681063123,0.7983870967741934,0.5562932247786037,0.8275862068965518,0.8450704225352113,0.9360352952815048,0.9095287378180766,1.7269628076684231,0.7990369423104675,0.8,0.9517647058823528,0.95,LogisticRegression
8,0.0004012584686279297,9.226799011230469e-05,0.00015544891357421875,0.94949615764136,0.8720469972196992,0.8720469972196991,0.7737814956538209,0.5551445860058691,0.8026638626007712,0.7803980370774264,0.9383372443760474,0.8656028531222579,1.7443562441454603,0.7749337366931728,0.842737978410206,0.9480165860491958,0.94949615764136,0.95,0.9111295681063123,0.9111295681063123,0.7983870967741934,0.5562932247786037,0.8275862068965518,0.8450704225352113,0.9360352952815048,0.9095287378180766,1.7269628076684231,0.7990369423104675,0.8,0.9517647058823528,0.95,LogisticRegression
9,0.0005006790161132812,0.00012874603271484375,0.00021910667419433594,0.9494677670135151,0.8719615569908478,0.8719615569908478,0.7736714744326957,0.5550320301021836,0.8025700934579438,0.7802562238778847,0.9383034106433296,0.8655063264586602,1.7453368212340492,0.7748289874558472,0.842737978410206,0.9479850050361878,0.9494677670135151,0.94,0.8501960784313726,0.8823529411764706,0.7647058823529411,0.515397737971549,0.8000000000000002,0.8,0.923265306122449,0.8785013977691515,2.07235057161753,0.7647058823529412,0.8,0.94,0.94,LogisticRegression
10,0.00046706199645996094,9.489059448242188e-05,0.00020742416381835938,0.9494393780834205,0.8718761548624329,0.8718761548624328,0.7735614768403023,0.5549195353218844,0.8024763462212359,0.7801144622093024,0.9382695804117447,0.8654098320800272,1.7463173396844507,0.7747242720584393,0.842737978410206,0.9479534278479224,0.9494393780834205,0.93,0.8571428571428571,0.8571428571428572,0.7328244274809163,0.48097271491979343,0.7741935483870969,0.7594936708860759,0.9106300967346084,0.8504200642707612,2.4177383355666366,0.7333587976225691,0.8,0.928470588235294,0.93,LogisticRegression
