Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.000705718994140625,0.00017070770263671875,0.00027751922607421875,0.9380415278133812,0.8207389082354719,0.8207389082354719,0.7061541592900445,0.5016337237335853,0.7407486860452644,0.6904066861278843,0.9267903670445808,0.8049410445680515,2.1399829758536066,0.7129500999717002,0.8432234432234432,0.93496465856405,0.9380415278133812,0.89,0.5,0.5416666666666666,0.13793103448275904,0.38536830529251465,0.15384615384615385,0.10204081632653061,0.893416110565786,0.28867513459481287,3.799265403440159,0.27216552697590873,1.0,0.9022222222222223,0.89,Perceptron
2,0.00031638145446777344,6.389617919921875e-05,9.775161743164062e-05,0.9380431160441927,0.820739189504208,0.820739189504208,0.7061551644088688,0.5016364775427099,0.7407486860452644,0.6904066861278843,0.926792544484425,0.8049412753587629,2.1399281199674243,0.7129510675984665,0.8432234432234432,0.9349662833799154,0.9380431160441927,0.89,0.5,0.5416666666666666,0.13793103448275904,0.38536830529251465,0.15384615384615385,0.10204081632653061,0.893416110565786,0.28867513459481287,3.799265403440159,0.27216552697590873,1.0,0.9022222222222223,0.89,Perceptron
3,0.00048089027404785156,0.00010037422180175781,0.00020742416381835938,0.93801907105506,0.8206760338320056,0.8206760338320056,0.7060628286881261,0.5015582664601468,0.7406692406692406,0.6902962696413577,0.9267651692249582,0.804864302728861,2.1407586041331923,0.7128686436901747,0.8432234432234432,0.9349403918454757,0.93801907105506,0.88,0.5384615384615384,0.5384615384615384,0.12663755458515336,0.37047048975385466,0.14285714285714288,0.09433962264150944,0.8844889473830859,0.2773500981126146,4.144653167389266,0.25999820691510084,1.0,0.8945454545454545,0.88,Perceptron
4,0.0003440380096435547,7.271766662597656e-05,0.00010728836059570312,0.9380206597800733,0.8206763150840906,0.8206763150840906,0.7060638341051144,0.5015610206763553,0.7406692406692406,0.6902962696413577,0.9267673472666395,0.8048645334837754,2.1407037311779176,0.712869611564355,0.8432234432234432,0.9349420171437476,0.9380206597800733,0.88,0.5384615384615384,0.5384615384615384,0.12663755458515336,0.37047048975385466,0.14285714285714288,0.09433962264150944,0.8844889473830859,0.2773500981126146,4.144653167389266,0.25999820691510084,1.0,0.8945454545454545,0.88,Perceptron
5,0.00034546852111816406,7.486343383789062e-05,0.00011968612670898438,0.9380222484236428,0.8206765963195262,0.8206765963195262,0.706064839463684,0.5015637747753543,0.7406692406692406,0.6902962696413577,0.9267695251810028,0.8048647642249634,2.140648861035631,0.7128705793823343,0.8432234432234432,0.9349436423611258,0.9380222484236428,0.88,0.5384615384615384,0.5384615384615384,0.12663755458515336,0.37047048975385466,0.14285714285714288,0.09433962264150944,0.8844889473830859,0.2773500981126146,4.144653167389266,0.25999820691510084,1.0,0.8945454545454545,0.88,Perceptron
6,0.0008907318115234375,0.00023627281188964844,0.00041675567626953125,0.937998205818275,0.8206134647986325,0.8206134647986325,0.705972523154979,0.5014855943275758,0.7405898123324397,0.6901858884669198,0.9267421538163526,0.8047878136282749,2.1414792628691277,0.7127881789139179,0.8432234432234432,0.9349177546285519,0.937998205818275,0.87,0.5,0.5357142857142857,0.11684782608695714,0.35672102396569005,0.13333333333333333,0.08771929824561403,0.8757062838214936,0.26726124191242434,4.490040931338373,0.24909649144269783,1.0,0.8870707070707071,0.87,Perceptron
7,0.0004622936248779297,9.560585021972656e-05,0.0001671314239501953,0.9379741644453558,0.8205989469882363,0.8205989469882362,0.7058781457509488,0.5012689842970304,0.7405104010293801,0.6901582986888392,0.9267133637229295,0.8047759034618043,2.1423096426294688,0.7126794382981275,0.843017578125,0.9348905227246431,0.9379741644453558,0.86,0.4941860465116279,0.5299003322259136,0.09326424870466302,0.07679992801306246,0.125,0.08620689655172412,0.8644529375474179,0.26570285403909055,4.835436691261782,0.14821467883823183,0.5,0.8159183673469387,0.86,Perceptron
8,0.00043654441833496094,9.870529174804688e-05,0.0001685619354248047,0.9379757541584438,0.8205992286283867,0.8205992286283867,0.7058791518315041,0.5012717388786754,0.7405104010293801,0.6901582986888392,0.9267155430368681,0.8047761345163039,2.1422547355468478,0.7126804068685272,0.843017578125,0.9348921491178687,0.9379757541584438,0.86,0.4941860465116279,0.5299003322259136,0.09326424870466302,0.07679992801306246,0.125,0.08620689655172412,0.8644529375474179,0.26570285403909055,4.835436691261782,0.14821467883823183,0.5,0.8159183673469387,0.86,Perceptron
9,0.0005309581756591797,0.00013780593872070312,0.00022745132446289062,0.9379517145932647,0.8205361212449509,0.8205361212449509,0.7057868710360761,0.5011936047683507,0.7404310067545835,0.6900479616306954,0.9266881760973043,0.8046992071028016,2.1430850323754744,0.712598035739991,0.843017578125,0.9348662600118697,0.9379517145932647,0.85,0.5270588235294118,0.5274509803921569,0.08536585365853665,0.07070802703378065,0.11764705882352941,0.08064516129032256,0.8557771371590174,0.2566755791678992,5.180824455210888,0.14002800840280097,0.5,0.8035714285714286,0.85,Perceptron
10,0.00042724609375,9.870529174804688e-05,0.00016689300537109375,0.9379533048002255,0.8205686037343679,0.820568603734368,0.7058422806475921,0.5012476911964738,0.7404866545181692,0.6901098901098901,0.9266867036173572,0.8047388039252008,2.143030108235123,0.7126513773632178,0.8430558945569929,0.9348690438579523,0.9379533048002255,0.85,0.5565476190476191,0.5565476190476191,0.16851441241685133,0.14999414136312395,0.21052631578947367,0.14925373134328357,0.8526837051542113,0.35144260521727416,5.180824455210888,0.24305102621022318,0.6666666666666666,0.8254295532646049,0.85,Perceptron
