Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0003025531768798828,0.0001513957977294922,0.00014734268188476562,0.9543782522878163,0.8380224864092368,0.8380224864092369,0.7747768060532652,0.6724028108661142,0.7996059113300492,0.7226298169385285,0.946230579048335,0.8228057409388705,1.575721423392921,0.7906766012204894,0.9722089123143268,0.9551733735292856,0.9543782522878163,0.99,0.9166666666666666,0.9583333333333333,0.9508840864440078,0.9006672597154959,0.9565217391304348,0.9322033898305083,0.987459911677974,0.9574271077563381,0.3453877639490955,0.952033109297414,1.0,0.9901123595505618,0.99,RandomSampler
2,0.00011467933654785156,7.963180541992188e-05,3.170967102050781e-05,0.9543782522878163,0.8380224864092368,0.8380224864092369,0.7747768060532652,0.6724028108661142,0.7996059113300492,0.7226298169385285,0.946230579048335,0.8228057409388705,1.575721423392921,0.7906766012204894,0.9722089123143268,0.9551733735292856,0.9543782522878163,0.99,0.9166666666666666,0.9583333333333333,0.9508840864440078,0.9006672597154959,0.9565217391304348,0.9322033898305083,0.987459911677974,0.9574271077563381,0.3453877639490955,0.952033109297414,1.0,0.9901123595505618,0.99,RandomSampler
3,0.00032520294189453125,0.00011444091796875,0.00020742416381835938,0.9543782522878163,0.8380224864092368,0.8380224864092369,0.7747768060532652,0.6724028108661142,0.7996059113300492,0.7226298169385285,0.946230579048335,0.8228057409388705,1.575721423392921,0.7906766012204894,0.9722089123143268,0.9551733735292856,0.9543782522878163,0.99,0.9166666666666666,0.9583333333333333,0.9508840864440078,0.9006672597154959,0.9565217391304348,0.9322033898305083,0.987459911677974,0.9574271077563381,0.3453877639490955,0.952033109297414,1.0,0.9901123595505618,0.99,RandomSampler
4,0.0007407665252685547,0.0002872943878173828,0.00018072128295898438,0.9543354416184453,0.8379966642014836,0.8379966642014836,0.7745931372811937,0.671678117676072,0.7994483845547676,0.7225783475783476,0.9461782156249385,0.8227844299728886,1.577200087303967,0.7904473262628605,0.9717432950191571,0.9551108471151363,0.9543354416184453,0.98,0.9109848484848485,0.9526515151515151,0.9053030303030303,0.7570711900301603,0.9166666666666666,0.9166666666666666,0.9748330765279918,0.9519716382329885,0.6907835238725043,0.9053030303030304,0.9166666666666666,0.98,0.98,RandomSampler
5,0.0006229877471923828,0.00026416778564453125,0.0001571178436279297,0.9543374899075985,0.8379967433531217,0.8379967433531217,0.7745943903319032,0.6716823340667015,0.7994483845547676,0.7225783475783476,0.9461810210668054,0.8227844952972662,1.5771293418079904,0.7904484232434871,0.9717432950191571,0.9551127657959684,0.9543374899075985,0.98,0.9109848484848485,0.9526515151515151,0.9053030303030303,0.7570711900301603,0.9166666666666666,0.9166666666666666,0.9748330765279918,0.9519716382329885,0.6907835238725043,0.9053030303030304,0.9166666666666666,0.98,0.98,RandomSampler
6,0.000850677490234375,0.00035190582275390625,0.0002956390380859375,0.9542946849069298,0.8378831519293246,0.8378831519293246,0.7744148175034387,0.6715230911322656,0.7992909198345479,0.7223725434349189,0.9461321153194928,0.8226468483711173,1.5786077740597555,0.7902954344893145,0.9717432950191571,0.9550726924147793,0.9542946849069298,0.97,0.9168877099911583,0.9173297966401415,0.862888482632541,0.6990845978643391,0.8799999999999999,0.8593749999999999,0.9623169858049292,0.9145643443061925,1.0361712878216112,0.8637911153529407,0.9166666666666666,0.9693939393939394,0.97,RandomSampler
7,0.0005469322204589844,0.0003139972686767578,3.600120544433594e-05,0.9542967348403301,0.8378832310727636,0.8378832310727635,0.7744160715004857,0.6715273091862353,0.7992909198345479,0.7223725434349189,0.9461349228262,0.8226469136777955,1.5785369717735132,0.7902965321775386,0.9717432950191571,0.9550746124492533,0.9542967348403301,0.97,0.9168877099911583,0.9173297966401415,0.862888482632541,0.6990845978643391,0.8799999999999999,0.8593749999999999,0.9623169858049292,0.9145643443061925,1.0361712878216112,0.8637911153529407,0.9166666666666666,0.9693939393939394,0.97,RandomSampler
8,0.0005533695220947266,0.0003299713134765625,3.504753112792969e-05,0.9542539355070189,0.8378574142063473,0.8378574142063473,0.7742325285415984,0.670805601125654,0.7991335171327294,0.722321110715557,0.9460825766742678,0.8226256101361137,1.5800152441429156,0.7900674424734823,0.971278123504069,0.9550121386541559,0.9542539355070189,0.96,0.9106984969053935,0.9115826702033598,0.8231653404067195,0.6091078135082446,0.8461538461538461,0.8461538461538461,0.9497250589159466,0.9092315621438718,1.38156704774502,0.8231653404067197,0.8461538461538461,0.96,0.96,RandomSampler
9,0.0006685256958007812,0.0004131793975830078,4.076957702636719e-05,0.9542559870840435,0.8379111228437032,0.8379111228437032,0.774310934666354,0.6708621229645712,0.7992125984251969,0.7224199288256228,0.9460806036546607,0.8226906939580478,1.5799443850863122,0.7901361150150319,0.9712918660287081,0.9550147109087761,0.9542559870840435,0.96,0.9169435215946844,0.9169435215946844,0.8338870431893687,0.6236551928262157,0.8571428571428571,0.8571428571428571,0.9487453283502402,0.914991421995628,1.38156704774502,0.8338870431893687,0.8571428571428571,0.96,0.96,RandomSampler
10,0.0005848407745361328,0.0003428459167480469,3.814697265625e-05,0.9542580384770617,0.8379647955675604,0.8379647955675604,0.7743892793262155,0.6709186084620611,0.7992916174734357,0.7225186766275347,0.946078630961249,0.8227557291169364,1.5798735323850661,0.7902047358497636,0.9713055954088953,0.9550172824021732,0.9542580384770617,0.96,0.9207843137254902,0.9215686274509804,0.8431372549019607,0.6365015693983644,0.8666666666666667,0.8666666666666667,0.9477551020408165,0.9199317962783554,1.38156704774502,0.8431372549019609,0.8666666666666667,0.96,0.96,RandomSampler
