Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.00025153160095214844,0.00014019012451171875,0.00010776519775390625,0.9568244625489,0.8600778603792333,0.8600778603792333,0.7947233964653979,0.6478325150479269,0.8187980117487573,0.7617286026568018,0.9481312434791213,0.8498614323296788,1.4912356001793423,0.8027961386972255,0.9356282271944922,0.9561204125806011,0.9568244625489,0.97,0.9829545454545454,0.9829545454545454,0.8717948717948717,0.6904621550884125,0.888888888888889,0.9523809523809523,0.9619564484936235,0.9828067413836206,1.0361872797702112,0.8790490729915325,0.8,0.976,0.97,RandomUnderSampler
2,0.00015735626220703125,6.794929504394531e-05,8.702278137207031e-05,0.9568244625489,0.8600778603792333,0.8600778603792333,0.7947233964653979,0.6478325150479269,0.8187980117487573,0.7617286026568018,0.9481312434791213,0.8498614323296788,1.4912356001793423,0.8027961386972255,0.9356282271944922,0.9561204125806011,0.9568244625489,0.97,0.9829545454545454,0.9829545454545454,0.8717948717948717,0.6904621550884125,0.888888888888889,0.9523809523809523,0.9619564484936235,0.9828067413836206,1.0361872797702112,0.8790490729915325,0.8,0.976,0.97,RandomUnderSampler
3,0.00038433074951171875,0.00017833709716796875,2.6941299438476562e-05,0.9567901234567902,0.8599804165062588,0.8599804165062588,0.7945814819447944,0.6476969973402765,0.8186746987951807,0.7615578593443542,0.9480911363289116,0.8497476547761427,1.4924216302107352,0.8026702684917593,0.9356282271944922,0.9560863943852044,0.9567901234567902,0.96,0.9071618037135278,0.9442970822281167,0.8340248962655601,0.6078858798688176,0.8571428571428571,0.8955223880597014,0.9489342111219776,0.9440586233651662,1.381575043719318,0.8369117531564387,0.8,0.963764705882353,0.96,RandomUnderSampler
4,0.0003819465637207031,0.00013494491577148438,3.2901763916015625e-05,0.9567916741431903,0.8599805770949526,0.8599805770949526,0.7945824614682843,0.6477003258092676,0.8186746987951807,0.7615578593443542,0.9480933326146042,0.849747792301823,1.4923680712073184,0.8026711796632949,0.9356282271944922,0.9560879217005853,0.9567916741431903,0.96,0.9071618037135278,0.9442970822281167,0.8340248962655601,0.6078858798688176,0.8571428571428571,0.8955223880597014,0.9489342111219776,0.9440586233651662,1.381575043719318,0.8369117531564387,0.8,0.963764705882353,0.96,RandomUnderSampler
5,0.00041222572326660156,0.00014019012451171875,0.00011944770812988281,0.9567932247182946,0.8599807376703366,0.8599807376703366,0.7945834409121316,0.6477036540763814,0.8186746987951807,0.7615578593443542,0.9480955287176658,0.8497479298160827,1.4923145160479412,0.8026720907609486,0.9356282271944922,0.9560894489102439,0.9567932247182946,0.96,0.9071618037135278,0.9442970822281167,0.8340248962655601,0.6078858798688176,0.8571428571428571,0.8955223880597014,0.9489342111219776,0.9440586233651662,1.381575043719318,0.8369117531564387,0.8,0.963764705882353,0.96,RandomUnderSampler
6,0.0007619857788085938,0.00029921531677246094,0.0002658367156982422,0.9567588904438942,0.8598833459621763,0.8598833459621763,0.7944415679844243,0.6475682190284482,0.8185514229784672,0.7613871925598071,0.9480554296104646,0.8496341979103581,1.4935003796815889,0.8025462708889528,0.9356282271944922,0.9560554379496928,0.9567588904438942,0.96,0.9169435215946844,0.9169435215946844,0.8338870431893687,0.6236551928262157,0.8571428571428571,0.8571428571428571,0.9487453283502402,0.914991421995628,1.381567047745016,0.8338870431893687,0.8571428571428571,0.96,0.96,RandomUnderSampler
7,0.0007014274597167969,0.0003249645233154297,4.601478576660156e-05,0.9567604420841108,0.8598835065242524,0.8598835065242523,0.7944425480800602,0.6475715484968212,0.8185514229784672,0.7613871925598071,0.9480576271070313,0.8496343353947952,1.4934467877345643,0.8025471825107939,0.9356282271944922,0.9560569661167482,0.9567604420841108,0.96,0.9169435215946844,0.9169435215946844,0.8338870431893687,0.6236551928262157,0.8571428571428571,0.8571428571428571,0.9487453283502402,0.914991421995628,1.381567047745016,0.8338870431893687,0.8571428571428571,0.96,0.96,RandomUnderSampler
8,0.0005464553833007812,0.0003294944763183594,3.409385681152344e-05,0.956761993612975,0.8598836670730218,0.8598836670730218,0.794443528096015,0.6475748777632819,0.8185514229784672,0.7613871925598071,0.9480598244208907,0.8496344728678161,1.4933931996335297,0.8025480940587248,0.9356282271944922,0.9560584941780382,0.956761993612975,0.96,0.9169435215946844,0.9169435215946844,0.8338870431893687,0.6236551928262157,0.8571428571428571,0.8571428571428571,0.9487453283502402,0.914991421995628,1.381567047745016,0.8338870431893687,0.8571428571428571,0.96,0.96,RandomUnderSampler
9,0.0007104873657226562,0.00028395652770996094,0.0002524852752685547,0.9567276641550054,0.8597863274877987,0.8597863274877987,0.7943016967443872,0.647439525271437,0.8184281842818428,0.7612166022517224,0.9480197333540795,0.8495207865793741,1.4945788969135898,0.8024223244867368,0.9356282271944922,0.9560244904497722,0.9567276641550054,0.95,0.855686274509804,0.888235294117647,0.7983870967741934,0.5806701351399357,0.8275862068965518,0.8108108108108109,0.9360352952815048,0.8838418809879035,1.7269548116941227,0.7990369423104675,0.8571428571428571,0.948920265780731,0.95,RandomUnderSampler
10,0.0006351470947265625,0.0002682209014892578,0.0001862049102783203,0.9566933371604894,0.8596890399836806,0.8596890399836806,0.7941599054901262,0.647304252430748,0.8183049826885443,0.7610460883687069,0.9479796471749872,0.8494071459144849,1.49576450910899,0.8022966039863451,0.9356282271944922,0.9559904918267684,0.9566933371604894,0.94,0.8630952380952381,0.8630952380952381,0.7648902821316613,0.5444354500989683,0.7999999999999999,0.7692307692307692,0.9234536246136884,0.8556534679079243,2.0723425756432294,0.7672500755123292,0.8571428571428571,0.9380730897009966,0.94,RandomUnderSampler
