Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0003838539123535156,0.00013637542724609375,0.00024199485778808594,0.8633590525749147,0.6626743051094243,0.6626743051094244,0.3559520603958765,0.13588544328413266,0.4324928580300584,0.40497790183763666,0.8506936921717617,0.6032958890921397,4.719454858110988,0.3589281638046408,0.4877206088336913,0.8518934965944199,0.8633590525749147,0.19,0.5397727272727273,0.5397727272727273,0.02031930333817124,0.03666659246258541,0.2285714285714286,0.425531914893617,0.8131508208037364,0.2820380374088831,27.97705655379609,0.1013110537837225,0.12903225806451613,0.895483870967742,0.19,ensemble_AdaBoostClassifier
2,0.0003407001495361328,6.794929504394531e-05,9.083747863769531e-05,0.8633604146937148,0.6626746685899649,0.6626746685899649,0.3559529263071352,0.13588639177630735,0.4324928580300584,0.40497790183763666,0.8506952869691409,0.6032961231602435,4.719407811758418,0.35892902885245725,0.4877206088336913,0.8518949450931617,0.8633604146937148,0.2,0.5454545454545454,0.5454545454545454,0.023437499999999997,0.038345697855686756,0.23076923076923078,0.42857142857142855,0.8032899053403283,0.30151134457776363,27.63166079387268,0.10889310129609414,0.13043478260869565,0.8956521739130434,0.2,ensemble_AdaBoostClassifier
3,0.0003218650817871094,6.198883056640625e-05,0.00010395050048828125,0.8633518082858168,0.6626602208232748,0.6626602208232748,0.3559306069652069,0.13587482108346516,0.43247495238883826,0.40495278264510226,0.8506865195656519,0.6032736870374681,4.719705066120466,0.35890849588660584,0.4877206088336913,0.8518825373393393,0.8633518082858168,0.2,0.5039787798408488,0.5075154730327145,0.0042320139407518225,0.0005363565925177172,0.23076923076923078,0.41958041958041953,0.799357958037992,0.2913428162916919,27.631652797898376,0.017663455479542026,0.13186813186813187,0.7904761904761903,0.2,ensemble_AdaBoostClassifier
4,0.0004086494445800781,7.343292236328125e-05,0.0001800060272216797,0.8633531704496745,0.662660584295447,0.6626605842954473,0.3559314729008599,0.13587576956689507,0.43247495238883826,0.40495278264510226,0.8506881143980614,0.6032739210913878,4.719658018211676,0.3589093609589152,0.4877206088336913,0.851883985906092,0.8633531704496745,0.21,0.5092838196286472,0.513262599469496,0.007537688442211026,0.0014500557803570624,0.23300970873786409,0.4225352112676056,0.7895129605312496,0.30901572157476287,27.286257037974966,0.02973505167250252,0.13333333333333333,0.8003333333333333,0.21,ensemble_AdaBoostClassifier
5,0.000476837158203125,8.344650268554688e-05,0.000240325927734375,0.8633545325863753,0.6626609477592517,0.6626609477592518,0.35593233881692055,0.13587671803660006,0.43247495238883826,0.40495278264510226,0.8506897091971363,0.6032741551398282,4.7196109712408605,0.3589102260116238,0.4877206088336913,0.8518854344445889,0.8633545325863753,0.22,0.5145888594164456,0.5190097259062777,0.010905401978189191,0.0026242397481329727,0.2352941176470588,0.425531914893617,0.7798660583309287,0.3257311709922281,26.940861278051557,0.040864464033878674,0.1348314606741573,0.8084371807967314,0.22,ensemble_AdaBoostClassifier
6,0.00043201446533203125,9.250640869140625e-05,0.0001842975616455078,0.8633459264944826,0.6626465021415676,0.6626465021415675,0.3559100213840027,0.13586514878676437,0.43245704823018005,0.4049276665684648,0.8506809422643582,0.6032517215026064,4.719908214688499,0.3588896952487738,0.4877206088336913,0.8518730273265596,0.8633459264944826,0.22,0.4867109634551495,0.48671096345514947,-0.008273009307135492,0.0010516586782312043,0.2352941176470588,0.41666666666666663,0.7755381995311754,0.31570203370643457,26.940853282077253,-0.02837950236056606,0.13636363636363635,0.7357575757575758,0.22,ensemble_AdaBoostClassifier
7,0.0004303455352783203,9.560585021972656e-05,0.00018024444580078125,0.863347288676236,0.6626468655970045,0.6626468655970044,0.3559108873244527,0.13586609724772092,0.43245704823018005,0.4049276665684648,0.850682537098456,0.6032519555368646,4.719861166161638,0.3588905603259699,0.4877206088336913,0.8518744759330568,0.863347288676236,0.22,0.4867109634551495,0.48671096345514947,-0.008273009307135492,0.0010516586782312043,0.2352941176470588,0.41666666666666663,0.7755381995311754,0.31570203370643457,26.940853282077253,-0.02837950236056606,0.13636363636363635,0.7357575757575758,0.22,ensemble_AdaBoostClassifier
8,0.00042629241943359375,9.441375732421875e-05,0.0001773834228515625,0.863348650830833,0.662647229044074,0.6626472290440739,0.3559117532453116,0.13586704569495434,0.43245704823018005,0.4049276665684648,0.8506841318992205,0.6032521895656442,4.719814118572737,0.3588914253835657,0.4877206088336913,0.851875924511298,0.863348650830833,0.23,0.4925249169435216,0.4925249169435216,-0.004697286012526086,0.00030102513458762914,0.23762376237623764,0.4195804195804197,0.7659312330593577,0.33111108633661995,26.595457522153847,-0.015425098968573804,0.13793103448275862,0.747002652519894,0.23,ensemble_AdaBoostClassifier
9,0.0003707408905029297,9.584426879882812e-05,0.00011897087097167969,0.8633400450549231,0.6626327855749162,0.6626327855749163,0.35588943772118004,0.13585547788782038,0.4324391455538997,0.40490255360714456,0.8506753654371112,0.6032297584135153,4.720111351106741,0.35887089682331863,0.4877206088336913,0.8518635180290034,0.8633400450549231,0.23,0.4603921568627451,0.4647058823529412,-0.023936170212765943,0.005991163610627015,0.2376237623762376,0.4109589041095891,0.7613877653815868,0.3217598666159375,26.595449526179543,-0.07263972202822438,0.13953488372093023,0.6887873754152823,0.23,ensemble_AdaBoostClassifier
10,0.00043892860412597656,9.608268737792969e-05,0.00018644332885742188,0.8633314394505747,0.6626183442538057,0.6626183442538057,0.3558671240176744,0.135843911513149,0.4324212443598129,0.4048774437605619,0.8506665993089472,0.6032073297634207,4.720408577715234,0.35885037037712136,0.4877206088336913,0.851851111989914,0.8633314394505747,0.23,0.44047619047619047,0.44047619047619047,-0.04336043360433604,0.015739490530655487,0.23762376237623764,0.4026845637583892,0.7567981648578721,0.31339158526400435,26.59544153020524,-0.12222646627042826,0.1411764705882353,0.6385882352941177,0.23,ensemble_AdaBoostClassifier
