Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.004208087921142578,0.0003695487976074219,0.00360107421875,0.8644829628034667,0.6510326600234265,0.6510326600234264,0.3409700428676369,0.13295991558563902,0.41550903532871575,0.37993404758198057,0.8532834478191502,0.5820695472216055,4.680632359158304,0.3463743796716873,0.49234296194406235,0.8495576903364481,0.8644829628034667,0.92,0.7386363636363636,0.7386363636363636,0.5575221238938054,0.35921066620228903,0.6,0.5357142857142857,0.9099344164365243,0.6990252954195317,2.7631181035414225,0.5716887818044943,0.75,0.912608695652174,0.92,ensemble_LeveragingBaggingClassifier
2,0.002160787582397461,0.0001659393310546875,0.0018086433410644531,0.8644841786063536,0.6510329571154314,0.6510329571154314,0.34097079688204995,0.13296076163752768,0.41550903532871575,0.37993404758198057,0.8532848474652002,0.582069730671289,4.680590366457953,0.3463751329750571,0.49234296194406235,0.8495590058026083,0.8644841786063536,0.92,0.7386363636363636,0.7386363636363636,0.5575221238938054,0.35921066620228903,0.6,0.5357142857142857,0.9099344164365243,0.6990252954195317,2.7631181035414225,0.5716887818044943,0.75,0.912608695652174,0.92,ensemble_LeveragingBaggingClassifier
3,0.0028524398803710938,0.00032591819763183594,0.002343416213989258,0.8644764228809302,0.6510209275642035,0.6510209275642036,0.3409510489574651,0.13295078753430434,0.4154929577464789,0.379912540156522,0.8532770617079877,0.5820502487959367,4.680858239367848,0.34635741517714264,0.49234296194406235,0.8495480089008854,0.8644764228809302,0.91,0.6816976127320955,0.7192749778956675,0.5243128964059199,0.33655663708460193,0.5714285714285714,0.5,0.8991332278436031,0.671512011778542,3.1085058674905293,0.5436400789351309,0.75,0.901304347826087,0.91,ensemble_LeveragingBaggingClassifier
4,0.0023026466369628906,0.00017690658569335938,0.001957416534423828,0.8644776387206746,0.6510212246500526,0.6510212246500526,0.34095180298884004,0.1329516335780362,0.4154929577464789,0.379912540156522,0.85327846138178,0.5820504322356214,4.680816245394499,0.3463581684980941,0.49234296194406235,0.8495493244195923,0.8644776387206746,0.91,0.6816976127320955,0.7192749778956675,0.5243128964059199,0.33655663708460193,0.5714285714285714,0.5,0.8991332278436031,0.671512011778542,3.1085058674905293,0.5436400789351309,0.75,0.901304347826087,0.91,ensemble_LeveragingBaggingClassifier
5,0.002568960189819336,0.0002560615539550781,0.002044677734375,0.8644698831930813,0.6510163418318939,0.6510163418318939,0.3409299754477016,0.13292802157520844,0.41547688140839617,0.37990716368062033,0.853270039516626,0.5820474172660287,4.6810841186450585,0.34633288492046954,0.49229781771501924,0.8495437700260863,0.8644698831930813,0.9,0.6763925729442971,0.713527851458886,0.4913530010172938,0.2720919349230063,0.5454545454545455,0.4918032786885245,0.8874761581366685,0.6675502544191458,3.4539016274139382,0.5018499409775783,0.6666666666666666,0.8897435897435898,0.9,ensemble_LeveragingBaggingClassifier
6,0.007292032241821289,0.0004456043243408203,0.006666660308837891,0.8644710990696798,0.6510377810931898,0.6510377810931898,0.34097489864172875,0.13295580696142006,0.4155221108832747,0.379951037966802,0.8532688807409051,0.5820821375568375,4.681042123398765,0.3463777658247108,0.492344366003484,0.8495468039776356,0.8644710990696798,0.9,0.696843853820598,0.7325581395348837,0.5283018867924528,0.3011531654362375,0.5833333333333334,0.5303030303030303,0.885229460863766,0.6946640479648301,3.4539016274139382,0.537964389857286,0.7,0.8911111111111112,0.9,ensemble_LeveragingBaggingClassifier
7,0.002644062042236328,0.00022721290588378906,0.002238750457763672,0.8644723149244626,0.6510380782203903,0.6510380782203903,0.340975652716779,0.1329566530176718,0.4155221108832747,0.379951037966802,0.8532702804732052,0.5820823210338916,4.681000128905965,0.3463785191886746,0.492344366003484,0.8495481194809179,0.8644723149244626,0.9,0.696843853820598,0.7325581395348837,0.5283018867924528,0.3011531654362375,0.5833333333333334,0.5303030303030303,0.885229460863766,0.6946640479648301,3.4539016274139382,0.537964389857286,0.7,0.8911111111111112,0.9,ensemble_LeveragingBaggingClassifier
8,0.0033791065216064453,0.0002765655517578125,0.0029344558715820312,0.8644645596533566,0.6510331955509052,0.6510331955509052,0.3409538264612082,0.13293304450841403,0.4155060352831941,0.3799456614026151,0.8532618589166311,0.5820793059615891,4.6812679932975305,0.3463532385905665,0.4922992299229923,0.8495425659433414,0.8644645596533566,0.89,0.6910299003322259,0.7267441860465116,0.498175182481752,0.25308436516426025,0.56,0.5223880597014925,0.8735085915672007,0.6904666436885359,3.7992973873373472,0.5029074315839652,0.6363636363636364,0.8814504596527069,0.89,ensemble_LeveragingBaggingClassifier
9,0.004976034164428711,0.00039267539978027344,0.004415750503540039,0.8644568045213958,0.6510211669801601,0.6510211669801602,0.3409340815467698,0.13292307227895828,0.4154899609269217,0.37992415666742135,0.8532540737116716,0.5820598263736795,4.6815358457098535,0.34633552270429113,0.4922992299229923,0.8495315693594524,0.8644568045213958,0.88,0.7082352941176471,0.7098039215686274,0.47136563876652005,0.23542641130901376,0.5384615384615385,0.49295774647887325,0.8625351524421419,0.6668627162714535,4.144685151286454,0.47885865761395613,0.6363636363636364,0.869050051072523,0.88,ensemble_LeveragingBaggingClassifier
10,0.003984928131103516,0.0002989768981933594,0.0035104751586914062,0.8644490495285769,0.65100914001945,0.65100914001945,0.34091433815033095,0.1329131011350113,0.4154738878143134,0.37990265436640447,0.8532462887719772,0.5820403487413226,4.6818036933163985,0.34631780846101534,0.4922992299229923,0.8495205731278239,0.8644490495285769,0.87,0.6636904761904762,0.6949404761904762,0.44633730834753005,0.21947667767386914,0.5185185185185185,0.4666666666666667,0.8517212852738071,0.6454972243679028,4.490072915235561,0.45681494818158486,0.6363636363636364,0.8568743615934628,0.87,ensemble_LeveragingBaggingClassifier
11,0.004251003265380859,0.0002586841583251953,0.0038247108459472656,0.8644502655375341,0.6510094371879981,0.6510094371879982,0.3409150923301957,0.13291394712651916,0.4154738878143134,0.37990265436640447,0.8532476886510244,0.5820405322325203,4.681761693498567,0.3463185619328158,0.4922992299229923,0.8495218888056115,0.8644502655375341,0.87,0.6447058823529411,0.6764705882352942,0.409090909090909,0.19328371583799053,0.48,0.42857142857142866,0.8545997547043532,0.6173949065130319,4.490072915235561,0.42008402520840293,0.6,0.855,0.87,ensemble_LeveragingBaggingClassifier
12,0.0043222904205322266,0.0003643035888671875,0.003790616989135742,0.8644514815246741,0.651030872320169,0.651030872320169,0.3409600069814007,0.13294172593840892,0.4155191087730156,0.3799465202812637,0.853246529787387,0.5820752459312901,4.681719694434277,0.34636343434340294,0.49234576954807957,0.8495249228942141,0.8644514815246741,0.87,0.6636904761904762,0.6949404761904762,0.44633730834753005,0.21947667767386914,0.5185185185185185,0.4666666666666667,0.8517212852738071,0.6454972243679028,4.490072915235561,0.45681494818158486,0.6363636363636364,0.8568743615934628,0.87,ensemble_LeveragingBaggingClassifier
13,0.005445718765258789,0.0004127025604248047,0.004861116409301758,0.8644526974899976,0.6510523045836123,0.6510523045836123,0.34100491470575944,0.13296950246643968,0.4155643227353601,0.37999037999037993,0.8532453709596634,0.5821099529145121,4.6816776961235105,0.34640829969133363,0.4923923006416132,0.8495279566196426,0.8644526974899976,0.87,0.6832034018426648,0.7111977321048901,0.47833065810593917,0.24272571675057197,0.5517241379310345,0.49999999999999994,0.8488093371067035,0.6692602514684448,4.490072915235561,0.4882596031083154,0.6666666666666666,0.8584469696969697,0.87,ensemble_LeveragingBaggingClassifier
14,0.004044055938720703,0.0003387928009033203,0.0035376548767089844,0.8644539134335053,0.6510526017460035,0.6510526017460035,0.3410056688769343,0.1329703486123649,0.4155643227353601,0.37999037999037993,0.8532467708516431,0.5821101364237349,4.681635698566246,0.3464090531496322,0.4923923006416132,0.8495292721964697,0.8644539134335053,0.87,0.6832034018426648,0.7111977321048901,0.47833065810593917,0.24272571675057197,0.5517241379310345,0.49999999999999994,0.8488093371067035,0.6692602514684448,4.490072915235561,0.4882596031083154,0.6666666666666666,0.8584469696969697,0.87,ensemble_LeveragingBaggingClassifier
15,0.0017180442810058594,0.0001697540283203125,0.0013866424560546875,0.8644551293551975,0.6510528989022379,0.6510528989022379,0.34100642303285233,0.13297119474743635,0.4155643227353601,0.37999037999037993,0.8532481707174516,0.5821103199290979,4.681593701762463,0.34640980659264814,0.4923923006416132,0.8495305877503748,0.8644551293551975,0.87,0.6832034018426648,0.7111977321048901,0.47833065810593917,0.24272571675057197,0.5517241379310345,0.49999999999999994,0.8488093371067035,0.6692602514684448,4.490072915235561,0.4882596031083154,0.6666666666666666,0.8584469696969697,0.87,ensemble_LeveragingBaggingClassifier
16,0.0043048858642578125,0.0002689361572265625,0.0038759708404541016,0.8644473747948007,0.6510408722921767,0.6510408722921767,0.3409866799696,0.13296122252243847,0.41554824985496036,0.3799688782005941,0.8532403860861792,0.5820908445173282,4.681861534433715,0.3463920928911248,0.4923923006416132,0.8495195930750705,0.8644473747948007,0.86,0.6803685329553508,0.6817859673990078,0.4229183841714754,0.20495243361081528,0.5,0.4430379746835443,0.8410731052653773,0.626035640895273,4.835460679184668,0.43647815445568394,0.6363636363636364,0.8449233912155261,0.86,ensemble_LeveragingBaggingClassifier
17,0.0019156932830810547,0.00014829635620117188,0.0016045570373535156,0.8644485907533325,0.6510411694422545,0.6510411694422545,0.3409874341424729,0.13296206864935078,0.41554824985496036,0.3799688782005941,0.8532417859797088,0.5820910280126921,4.681819536357552,0.34639284635171497,0.4923923006416132,0.8495209086814928,0.8644485907533325,0.86,0.6803685329553508,0.6817859673990078,0.4229183841714754,0.20495243361081528,0.5,0.4430379746835443,0.8410731052653773,0.626035640895273,4.835460679184668,0.43647815445568394,0.6363636363636364,0.8449233912155261,0.86,ensemble_LeveragingBaggingClassifier
18,0.002415180206298828,0.00022363662719726562,0.002032756805419922,0.8644498066900492,0.6510414665861759,0.6510414665861759,0.3409881883000901,0.1329629147654109,0.41554824985496036,0.3799688782005941,0.8532431858470679,0.5820912115041964,4.681777539034861,0.346393599797023,0.4923923006416132,0.8495222242649935,0.8644498066900492,0.86,0.6803685329553508,0.6817859673990078,0.4229183841714754,0.20495243361081528,0.5,0.4430379746835443,0.8410731052653773,0.626035640895273,4.835460679184668,0.43647815445568394,0.6363636363636364,0.8449233912155261,0.86,ensemble_LeveragingBaggingClassifier
19,0.003710031509399414,0.00023889541625976562,0.0033102035522460938,0.8644510226049515,0.6510417637239412,0.6510417637239412,0.34098894244245015,0.132963760870619,0.41554824985496036,0.3799688782005941,0.8532445856882575,0.5820913949918414,4.681735542465619,0.34639435322704937,0.4923923006416132,0.8495235398255733,0.8644510226049515,0.86,0.6803685329553508,0.6817859673990078,0.4229183841714754,0.20495243361081528,0.5,0.4430379746835443,0.8410731052653773,0.626035640895273,4.835460679184668,0.43647815445568394,0.6363636363636364,0.8449233912155261,0.86,ensemble_LeveragingBaggingClassifier
