Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.03312849998474121,0.008268117904663086,0.0245513916015625,0.8677747963036971,0.6515968731925551,0.6515968731925551,0.34736315708885196,0.14177884768901106,0.41934097421203437,0.3790665147119767,0.857047470708909,0.5808203718789463,4.566933486499515,0.35445441785577375,0.509575208913649,0.8518377658588991,0.8677747963036971,0.9,0.5833333333333334,0.5833333333333334,0.26035502958579954,0.4485125042931808,0.2857142857142857,0.19999999999999996,0.9003928841582375,0.408248290463863,3.453877639491031,0.38685897164933153,1.0,0.910204081632653,0.9,ensemble_StackingClassifier
2,0.010877847671508789,0.0033364295959472656,0.007280588150024414,0.8677758747247369,0.6515971230670079,0.6515971230670079,0.347363816904705,0.14177963207010902,0.41934097421203437,0.3790665147119767,0.8570487100126468,0.5808205251436853,4.5668962388566925,0.3544550763608588,0.509575208913649,0.8518389397184374,0.8677758747247369,0.9,0.5833333333333334,0.5833333333333334,0.26035502958579954,0.4485125042931808,0.2857142857142857,0.19999999999999996,0.9003928841582375,0.408248290463863,3.453877639491031,0.38685897164933153,1.0,0.910204081632653,0.9,ensemble_StackingClassifier
3,0.029909133911132812,0.0023162364959716797,0.027377605438232422,0.8677687972531013,0.6515862834124808,0.6515862834124808,0.34734557048360953,0.14177029603239377,0.4193259553740912,0.37904687904687906,0.8570416215395305,0.5808028524922644,4.5671406857672965,0.35443892150858697,0.509575208913649,0.8518290971519648,0.8677687972531013,0.89,0.5384615384615384,0.5769230769230769,0.2403314917127069,0.4307170782773865,0.2666666666666667,0.18518518518518517,0.8911199760325949,0.3922322702763681,3.7992654034401383,0.3695642136439612,1.0,0.9023469387755102,0.89,ensemble_StackingClassifier
4,0.017620563507080078,0.0041332244873046875,0.013190269470214844,0.8677698757054775,0.651586533282227,0.651586533282227,0.34734623031295225,0.1417710804073936,0.4193259553740912,0.37904687904687906,0.8570428608671441,0.5808030057494128,4.5671034370421655,0.3544395800276749,0.509575208913649,0.8518302710540467,0.8677698757054775,0.89,0.5384615384615384,0.5769230769230769,0.2403314917127069,0.4307170782773865,0.2666666666666667,0.18518518518518517,0.8911199760325949,0.3922322702763681,3.7992654034401383,0.3695642136439612,1.0,0.9023469387755102,0.89,ensemble_StackingClassifier
5,0.01826024055480957,0.0026874542236328125,0.015363693237304688,0.8677709541402625,0.6515867831472667,0.6515867831472666,0.3473468901301978,0.14177186477320924,0.4193259553740912,0.37904687904687906,0.8570441001736763,0.580803159003634,4.567066188924616,0.35444023853465073,0.509575208913649,0.8518314449376023,0.8677709541402625,0.89,0.5384615384615384,0.5769230769230769,0.2403314917127069,0.4307170782773865,0.2666666666666667,0.18518518518518517,0.8911199760325949,0.3922322702763681,3.7992654034401383,0.3695642136439612,1.0,0.9023469387755102,0.89,ensemble_StackingClassifier
6,0.04798150062561035,0.010027170181274414,0.03770565986633301,0.8677638768819221,0.6515759448119136,0.6515759448119137,0.3473286450604033,0.14176252965392766,0.4193109376119189,0.37902724541593286,0.857037012008546,0.5807854879559686,4.567310628468273,0.35442408510126744,0.509575208913649,0.851821602780712,0.8677638768819221,0.88,0.5714285714285714,0.5714285714285714,0.22279792746113983,0.4143532857487894,0.25,0.17241379310344823,0.8819884412147723,0.3779644730092272,4.1446531673892455,0.35406839944688717,1.0,0.8946938775510205,0.88,ensemble_StackingClassifier
7,0.0239410400390625,0.0032358169555664062,0.02049708366394043,0.8677649553480407,0.6515761946722469,0.6515761946722469,0.34732930489113534,0.14176331401364362,0.4193109376119189,0.37902724541593286,0.8570382513389501,0.5807856412026,4.567273379268514,0.35442474362224363,0.509575208913649,0.8518227767068057,0.8677649553480407,0.88,0.5714285714285714,0.5714285714285714,0.22279792746113983,0.4143532857487894,0.25,0.17241379310344823,0.8819884412147723,0.3779644730092272,4.1446531673892455,0.35406839944688717,1.0,0.8946938775510205,0.88,ensemble_StackingClassifier
8,0.027712106704711914,0.0056629180908203125,0.021803617477416992,0.8677660337965681,0.6515764445278738,0.6515764445278739,0.34732996470977073,0.14176409836417647,0.4193109376119189,0.37902724541593286,0.8570394906482731,0.5807857944463045,4.56723613067633,0.35442540213110785,0.509575208913649,0.8518239506143735,0.8677660337965681,0.88,0.5714285714285714,0.5714285714285714,0.22279792746113983,0.4143532857487894,0.25,0.17241379310344823,0.8819884412147723,0.3779644730092272,4.1446531673892455,0.35406839944688717,1.0,0.8946938775510205,0.88,ensemble_StackingClassifier
9,0.034171342849731445,0.004128456115722656,0.029824018478393555,0.8677589567515108,0.6515656075114544,0.6515656075114544,0.34731172099113844,0.141754764163175,0.419295920925402,0.3790076138188222,0.8570324027911068,0.5807681250021517,4.5674805628534685,0.3544092501164029,0.509575208913649,0.8518141088670351,0.8677589567515108,0.87,0.5333333333333333,0.5666666666666667,0.20731707317073184,0.3992074375859366,0.23529411764705882,0.16129032258064513,0.8730027323156987,0.36514837167011077,4.490040931338352,0.3400680204068024,1.0,0.8872448979591837,0.87,ensemble_StackingClassifier
10,0.026862382888793945,0.004127979278564453,0.02250814437866211,0.8677518798218858,0.6515547718137277,0.6515547718137277,0.34729347857237575,0.14174543087414027,0.41928090531442486,0.378987984255231,0.8570253151519927,0.5807504571705914,4.567724991043718,0.3543930994679514,0.509575208913649,0.8518042674071108,0.8677518798218858,0.86,0.5625,0.5625,0.19354838709677452,0.385110454548629,0.2222222222222222,0.15151515151515152,0.8641674148396142,0.3535533905932738,4.835428695287459,0.32732683535398854,1.0,0.88,0.86,ensemble_StackingClassifier
11,0.036173105239868164,0.004211902618408203,0.031728506088256836,0.8677529583506635,0.6515550216646485,0.6515550216646485,0.3472941384300714,0.1417462152216511,0.41928090531442486,0.378987984255231,0.8570265545301288,0.5807506104020452,4.56768773967981,0.3543937580169211,0.509575208913649,0.8518054414182652,0.8677529583506635,0.87,0.5333333333333333,0.5666666666666667,0.20731707317073184,0.3992074375859366,0.23529411764705882,0.16129032258064513,0.8730027323156987,0.36514837167011077,4.490040931338352,0.3400680204068024,1.0,0.8872448979591837,0.87,ensemble_StackingClassifier
12,0.05169939994812012,0.0059735774993896484,0.04532122611999512,0.8677458815853858,0.6515441872853738,0.6515441872853738,0.34727589733662556,0.1417368828475164,0.419265890778872,0.3789683567248433,0.8570194671540018,0.5807329441781709,4.567932162193717,0.35437760876062785,0.509575208913649,0.8517956003067944,0.8677458815853858,0.86,0.5625,0.5625,0.19354838709677452,0.385110454548629,0.2222222222222222,0.15151515151515152,0.8641674148396142,0.3535533905932738,4.835428695287459,0.32732683535398854,1.0,0.88,0.86,ensemble_StackingClassifier
13,0.03948378562927246,0.005809783935546875,0.03337216377258301,0.867738804935533,0.6515333542243105,0.6515333542243105,0.3472576575427922,0.14172755138505744,0.4192508773186278,0.37894873122734335,0.8570123799959112,0.5807152795663988,4.56817658072099,0.35436146087018494,0.509575208913649,0.8517857594827123,0.867738804935533,0.85,0.5294117647058824,0.5588235294117647,0.1812227074235813,0.3719262378747348,0.21052631578947367,0.14285714285714288,0.8554871651155894,0.3429971702850177,5.180816459236566,0.315657814638537,1.0,0.8729591836734695,0.85,ensemble_StackingClassifier
14,0.04683661460876465,0.006349802017211914,0.040209054946899414,0.8677398835445516,0.6515336040705253,0.6515336040705253,0.3472583174395369,0.14172833572953736,0.4192508773186278,0.37894873122734335,0.8570136194428445,0.5807154327856042,4.568139326585674,0.3543621194592511,0.509575208913649,0.851786933597434,0.8677398835445516,0.85,0.5294117647058824,0.5588235294117647,0.1812227074235813,0.3719262378747348,0.21052631578947367,0.14285714285714288,0.8554871651155894,0.3429971702850177,5.180816459236566,0.315657814638537,1.0,0.8729591836734695,0.85,ensemble_StackingClassifier
15,0.02127218246459961,0.004122018814086914,0.016860246658325195,0.8677409621359777,0.6515338539120341,0.6515338539120341,0.3472589773241843,0.14172912006483507,0.4192508773186278,0.37894873122734335,0.8570148588686967,0.5807155860018832,4.568102073057978,0.3543627780362046,0.509575208913649,0.8517881076936281,0.8677409621359777,0.85,0.5294117647058824,0.5588235294117647,0.1812227074235813,0.3719262378747348,0.21052631578947367,0.14285714285714288,0.8554871651155894,0.3429971702850177,5.180816459236566,0.315657814638537,1.0,0.8729591836734695,0.85,ensemble_StackingClassifier
16,0.0395207405090332,0.006289958953857422,0.03295302391052246,0.8677338856993737,0.6515230221689415,0.6515230221689416,0.34724073888097445,0.14171978952005237,0.41923586493357684,0.37892910776241523,0.8570077720185031,0.5806979229926479,4.568346484219919,0.3543466315636136,0.509575208913649,0.8517782672790047,0.8677338856993737,0.85,0.5294117647058824,0.5588235294117647,0.1812227074235813,0.3719262378747348,0.21052631578947367,0.14285714285714288,0.8554871651155894,0.3429971702850177,5.180816459236566,0.315657814638537,1.0,0.8729591836734695,0.85,ensemble_StackingClassifier
