Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.004857063293457031,0.0012183189392089844,0.003309965133666992,0.8685317085728996,0.6491032856576003,0.6491032856576003,0.3449084471687199,0.14285191978347278,0.4159561932487696,0.37323829781940765,0.8582147135470555,0.5757309824495892,4.540789314674041,0.3530849003768248,0.5140042826552462,0.8517833397720382,0.8685317085728996,0.93,0.7386363636363636,0.7803030303030303,0.6284501061571126,0.41508810878975144,0.6666666666666666,0.6140350877192983,0.9192794811607653,0.7550336135403228,2.417730339592321,0.6365723880474281,0.7777777777777778,0.924981684981685,0.93,ensemble_VotingClassifier
2,0.004007577896118164,0.002705812454223633,0.000985860824584961,0.8685327341945953,0.6491035158962164,0.6491035158962163,0.34490906885695594,0.14285267141524327,0.4159561932487696,0.37323829781940765,0.858215886985083,0.5757311221456819,4.540753890679512,0.3530855207276049,0.5140042826552462,0.851784460694071,0.8685327341945953,0.93,0.7386363636363636,0.7803030303030303,0.6284501061571126,0.41508810878975144,0.6666666666666666,0.6140350877192983,0.9192794811607653,0.7550336135403228,2.417730339592321,0.6365723880474281,0.7777777777777778,0.924981684981685,0.93,ensemble_VotingClassifier
3,0.004448652267456055,0.0013740062713623047,0.0028884410858154297,0.8685259585754963,0.6490933493698355,0.6490933493698356,0.3448916446363557,0.1428437745130149,0.4159417778547912,0.3732197275949997,0.8582091253873028,0.5757143660484666,4.540987911996392,0.35307020642906856,0.5140042826552462,0.8517751060654888,0.8685259585754963,0.92,0.7568523430592397,0.7577365163572061,0.5930824008138351,0.3886791159187991,0.6363636363636364,0.5737704918032787,0.9081209935883583,0.7253158707004892,2.763118103541428,0.6057526202690025,0.7777777777777778,0.9137484737484738,0.92,ensemble_VotingClassifier
4,0.003401517868041992,0.0018334388732910156,0.0012774467468261719,0.8685269842260466,0.6490935796043033,0.6490935796043034,0.34489226633638137,0.14284452613914467,0.4159417778547912,0.3732197275949997,0.8582102988472079,0.5757145057379429,4.54095248700527,0.3530708267922263,0.5140042826552462,0.8517762270258915,0.8685269842260466,0.92,0.7568523430592397,0.7577365163572061,0.5930824008138351,0.3886791159187991,0.6363636363636364,0.5737704918032787,0.9081209935883583,0.7253158707004892,2.763118103541428,0.6057526202690025,0.7777777777777778,0.9137484737484738,0.92,ensemble_VotingClassifier
5,0.002315044403076172,0.0009984970092773438,0.0011339187622070312,0.8685280098605943,0.649093809834623,0.649093809834623,0.34489288802552653,0.14284527775687728,0.4159417778547912,0.3732197275949997,0.8582114722880472,0.5757146454248684,4.540917062566855,0.3530714471444871,0.5140042826552462,0.8517773479694118,0.8685280098605943,0.92,0.7568523430592397,0.7577365163572061,0.5930824008138351,0.3886791159187991,0.6363636363636364,0.5737704918032787,0.9081209935883583,0.7253158707004892,2.763118103541428,0.6057526202690025,0.7777777777777778,0.9137484737484738,0.92,ensemble_VotingClassifier
6,0.004898786544799805,0.002281665802001953,0.0024259090423583984,0.8685212344369208,0.6490836444917039,0.6490836444917039,0.3448754650538358,0.14283638168561485,0.41592736345993897,0.3732011592183983,0.8582047109706248,0.5756978907824475,4.541151077133994,0.3530561341326644,0.5140042826552462,0.8517679937126247,0.8685212344369208,0.91,0.7026578073089701,0.7383720930232558,0.5605468750000003,0.3652687011139706,0.6086956521739131,0.5384615384615384,0.8970985905599141,0.6988362419217079,3.1085058674905346,0.5780384103983452,0.7777777777777778,0.9027350427350427,0.91,ensemble_VotingClassifier
7,0.002726316452026367,0.0011687278747558594,0.0013463497161865234,0.8685144591189572,0.6490793705379965,0.6490793705379965,0.34485585573069194,0.14281285788938014,0.4159129500641093,0.37319651741293536,0.8581972927873743,0.5756952977297517,4.5413850942876905,0.353032484016109,0.513960260363138,0.8517625012760489,0.8685144591189572,0.9,0.696843853820598,0.7325581395348837,0.5283018867924528,0.3011531654362375,0.5833333333333334,0.5303030303030303,0.885229460863766,0.6946640479648301,3.4539016274139436,0.537964389857286,0.7,0.8911111111111112,0.9,ensemble_VotingClassifier
8,0.0035800933837890625,0.0015888214111328125,0.0017931461334228516,0.868507683906701,0.6490750966612912,0.6490750966612912,0.3448362476573082,0.1427893395451285,0.41589853766719803,0.37319187572293877,0.858189874822917,0.5756927047120943,4.5416191077902885,0.35300883665636995,0.5139162456110302,0.8517570099357331,0.868507683906701,0.89,0.6910299003322259,0.7267441860465116,0.498175182481752,0.25308436516426025,0.56,0.5223880597014925,0.8735085915672007,0.6904666436885359,3.7992973873373526,0.5029074315839652,0.6363636363636364,0.8814504596527069,0.89,ensemble_VotingClassifier
9,0.004020214080810547,0.0018177032470703125,0.001983165740966797,0.8685087096598045,0.6490940327227885,0.6490940327227885,0.3448763315154848,0.14281495939327904,0.4159390159390159,0.3732308534188991,0.858188887906472,0.5757239146870685,4.541583679257023,0.353048834561416,0.5139578694982018,0.8517599535188635,0.8685087096598045,0.89,0.7113725490196079,0.7431372549019608,0.5299145299145299,0.2779546746995435,0.5925925925925926,0.5555555555555556,0.8710212964513574,0.7129062309432055,3.7992973873373526,0.5343239463281865,0.6666666666666666,0.8823863636363636,0.89,ensemble_VotingClassifier
10,0.004292011260986328,0.0014955997467041016,0.002598285675048828,0.8685097353969047,0.6491129665802399,0.64911296658024,0.3449164098439282,0.14284057716867804,0.4159794886009286,0.3732698262675505,0.8581879010160689,0.5757551193378807,4.5415482512765,0.3530888267803228,0.513999486257385,0.8517628967500248,0.8685097353969047,0.89,0.7261904761904762,0.7574404761904762,0.5571658615136875,0.3000191321108786,0.6206896551724138,0.5844155844155844,0.8685055841446814,0.7319250547113999,3.7992973873373526,0.5612743009357455,0.6923076923076923,0.8831830238726791,0.89,ensemble_VotingClassifier
