Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.041779279708862305,0.00756525993347168,0.0340266227722168,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_average
2,0.02388167381286621,0.007918119430541992,0.015813112258911133,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_average
3,0.05462837219238281,0.013092041015625,0.0413668155670166,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.5773502691896257,0.0,11.512925464970229,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_best_model_average
4,0.03152203559875488,0.00992131233215332,0.02145552635192871,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_best_model_average
5,0.04270768165588379,0.013518095016479492,0.029041290283203125,0.8,0.5,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.7745966692414834,0.0,6.907755278982137,0.0,0.0,0.64,0.8,ensemble_best_model_average
6,0.08067750930786133,0.01857781410217285,0.06193685531616211,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_best_model_average
7,0.049896240234375,0.012826204299926758,0.03691554069519043,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,1.0,0.0,0.0,0.7237468644557459,0.0,9.868221827117338,0.0,0.0,0.5102040816326531,0.7142857142857143,ensemble_best_model_average
8,0.053563594818115234,0.01577925682067871,0.03763747215270996,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,0.75,0.5,0.5,0.0,1.0,0.0,0.0,0.7559289460184544,0.0,8.634694098727671,0.0,0.0,0.5625,0.75,ensemble_best_model_average
9,0.06780052185058594,0.016842126846313477,0.05077099800109863,0.6666666666666666,0.5,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,11.512925464970227,0.0,0.0,0.4444444444444444,0.6666666666666666,ensemble_best_model_average
10,0.05675244331359863,0.01554560661315918,0.041025400161743164,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,0.6,0.5,0.5,0.0,1.0,0.0,0.0,0.6831300510639732,0.0,13.815510557964274,0.0,0.0,0.36,0.6,ensemble_best_model_average
11,0.06322956085205078,0.015402078628540039,0.047652244567871094,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,0.6363636363636364,0.5,0.5,0.0,1.0,0.0,0.0,0.7006490497453707,0.0,12.559555052694794,0.0,0.0,0.4049586776859504,0.6363636363636364,ensemble_best_model_average
12,0.07521820068359375,0.01764535903930664,0.0573883056640625,0.6666666666666666,0.6,0.6,0.2258064516129032,0.27310023105868475,0.33333333333333337,0.23809523809523808,0.6538852975902518,0.447213595499958,11.512925464970229,0.3567530340063378,1.0,0.7878787878787877,0.6666666666666666,0.6666666666666666,0.6,0.6,0.2258064516129032,0.27310023105868475,0.33333333333333337,0.23809523809523808,0.6538852975902518,0.447213595499958,11.512925464970229,0.3567530340063378,1.0,0.7878787878787877,0.6666666666666666,ensemble_best_model_average
13,0.06348705291748047,0.017186403274536133,0.0461273193359375,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.3499999999999999,0.31572323174949835,0.5,0.3846153846153846,0.6236095644623236,0.5773502691896257,10.627315813818672,0.46056618647183833,1.0,0.804195804195804,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.3499999999999999,0.31572323174949835,0.5,0.3846153846153846,0.6236095644623236,0.5773502691896257,10.627315813818672,0.46056618647183833,1.0,0.804195804195804,0.6923076923076923,ensemble_best_model_average
