Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.044652462005615234,0.007982492446899414,0.036432743072509766,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_threshold
2,0.027188777923583984,0.008242130279541016,0.018752336502075195,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_threshold
3,0.05933976173400879,0.013370990753173828,0.04577779769897461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,ensemble_best_model_threshold
4,0.035349130630493164,0.010399818420410156,0.02478766441345215,0.75,0.8333333333333334,0.8333333333333333,0.5,0.3112781244591327,0.6666666666666666,0.8333333333333334,0.408248290463863,0.816496580927726,8.634893998085222,0.5773502691896258,0.5,0.875,0.75,0.75,0.6666666666666666,0.8333333333333333,0.5,0.3112781244591327,0.6666666666666666,0.8333333333333334,0.408248290463863,0.816496580927726,8.634893998085222,0.5773502691896258,0.5,0.875,0.75,ensemble_best_model_threshold
5,0.04157209396362305,0.01301884651184082,0.028302669525146484,0.6,0.75,0.75,0.2857142857142856,0.1760651833687611,0.5,0.7142857142857143,0.408248290463863,0.7071067811865476,13.815830396936352,0.4082482904638631,0.3333333333333333,0.8666666666666666,0.6,0.6,0.5,0.75,0.2857142857142856,0.1760651833687611,0.5,0.7142857142857143,0.408248290463863,0.7071067811865476,13.815830396936352,0.4082482904638631,0.3333333333333333,0.8666666666666666,0.6,ensemble_best_model_threshold
6,0.0890955924987793,0.019810199737548828,0.06908392906188965,0.6666666666666666,0.75,0.75,0.39999999999999997,0.27401754212128093,0.6666666666666666,0.8333333333333334,0.4285714285714285,0.7071067811865476,11.51319199744696,0.49999999999999994,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,0.75,0.39999999999999997,0.27401754212128093,0.6666666666666666,0.8333333333333334,0.4285714285714285,0.7071067811865476,11.51319199744696,0.49999999999999994,0.5,0.8333333333333334,0.6666666666666666,ensemble_best_model_threshold
7,0.05388307571411133,0.013211250305175781,0.040472984313964844,0.5714285714285714,0.7,0.7,0.2758620689655172,0.19647826253528533,0.5714285714285715,0.7692307692307692,0.4545454545454545,0.6324555320336759,14.802675425288948,0.3999999999999999,0.4,0.8285714285714285,0.5714285714285714,0.5714285714285714,0.7,0.7,0.2758620689655172,0.19647826253528533,0.5714285714285715,0.7692307692307692,0.4545454545454545,0.6324555320336759,14.802675425288948,0.3999999999999999,0.4,0.8285714285714285,0.5714285714285714,ensemble_best_model_threshold
8,0.05728912353515625,0.016056299209594727,0.04104924201965332,0.5,0.6666666666666667,0.6666666666666666,0.2,0.15106563978903287,0.5,0.7142857142857143,0.5000000000000001,0.5773502691896257,17.26978799617044,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.5,0.5,0.6666666666666666,0.6666666666666666,0.2,0.15106563978903287,0.5,0.7142857142857143,0.5000000000000001,0.5773502691896257,17.26978799617044,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.5,ensemble_best_model_threshold
9,0.07220053672790527,0.018294095993041992,0.05373525619506836,0.5555555555555556,0.6666666666666667,0.6666666666666666,0.2500000000000001,0.1989091696149432,0.6,0.7894736842105262,0.502518907629606,0.5773502691896257,15.350922663262613,0.3779644730092272,0.42857142857142855,0.8095238095238095,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.2500000000000001,0.1989091696149432,0.6,0.7894736842105262,0.502518907629606,0.5773502691896257,15.350922663262613,0.3779644730092272,0.42857142857142855,0.8095238095238095,0.5555555555555556,ensemble_best_model_threshold
10,0.06149029731750488,0.01671886444091797,0.044599294662475586,0.6,0.6666666666666667,0.6666666666666666,0.2857142857142856,0.23679725954056519,0.6666666666666666,0.8333333333333334,0.5267865840075201,0.5773502691896257,13.815830396936352,0.40824829046386285,0.5,0.8,0.6,0.6,0.6666666666666666,0.6666666666666666,0.2857142857142856,0.23679725954056519,0.6666666666666666,0.8333333333333334,0.5267865840075201,0.5773502691896257,13.815830396936352,0.40824829046386285,0.5,0.8,0.6,ensemble_best_model_threshold
