Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0007567405700683594,0.00021791458129882812,0.0003001689910888672,0.861183956274499,0.6534171793920018,0.6534171793920018,0.33908922316833223,0.12650011092344648,0.41643215643041576,0.3869878894412751,0.849200224318509,0.5885434096019138,4.794579732889439,0.3426412296688018,0.4769087647019736,0.8482490145135848,0.861183956274499,0.66,0.7291666666666666,0.7708333333333333,0.25176056338028163,0.10108007070271541,0.3928571428571429,0.5978260869565217,0.6646637579291086,0.7569125885243729,11.743447841421498,0.3546040716334876,0.25,0.8942857142857144,0.66,linear_model_PAClassifier
2,0.00032806396484375,6.771087646484375e-05,0.0001049041748046875,0.8611849142541665,0.6534174293545371,0.653417429354537,0.3390898276572609,0.12650075234885827,0.41643215643041576,0.3869878894412751,0.8492013331892457,0.5885435665623087,4.794546645144138,0.342641833889832,0.4769087647019736,0.8482500398571988,0.8611849142541665,0.66,0.7291666666666666,0.7708333333333333,0.25176056338028163,0.10108007070271541,0.3928571428571429,0.5978260869565217,0.6646637579291086,0.7569125885243729,11.743447841421498,0.3546040716334876,0.25,0.8942857142857144,0.66,linear_model_PAClassifier
3,0.0005292892456054688,0.00011873245239257812,0.00025463104248046875,0.8611789711951195,0.6534079147194454,0.6534079147194453,0.3390747807987284,0.1264931873390065,0.4164200754279083,0.3869711968770556,0.8491953326172472,0.5885284141205477,4.794751910831892,0.34262808590488525,0.4769087647019736,0.848241437270972,0.8611789711951195,0.65,0.7188328912466844,0.73342175066313,0.23178226514486397,0.07679594118985678,0.38596491228070173,0.5729166666666666,0.6539577021243739,0.7247061052537384,12.088835605370603,0.3162876746592276,0.25,0.8714285714285714,0.65,linear_model_PAClassifier
4,0.0003414154052734375,7.224082946777344e-05,0.00011396408081054688,0.8611730282180985,0.6534041801697645,0.6534041801697645,0.33905842446845413,0.12647682801914029,0.4164079951263381,0.38696702396100674,0.8491889242905873,0.588526069119565,4.794957179204583,0.3426097272240222,0.47687707641196014,0.848237586883826,0.8611730282180985,0.64,0.7126436781609196,0.7276746242263483,0.22246220302375808,0.0729562832160422,0.37931034482758624,0.5670103092783505,0.6489040268035089,0.7179645065840038,12.43423136529401,0.30781396910638376,0.24444444444444444,0.8701414141414142,0.64,linear_model_PAClassifier
5,0.0003662109375,8.225440979003906e-05,0.00013065338134765625,0.8611670853231016,0.6534004456796048,0.6534004456796046,0.3390420690267523,0.12646047161969343,0.4163959155256439,0.38696285113495443,0.8491825161335409,0.5885237241466131,4.7951624447441885,0.3425913702021293,0.4768453923327354,0.8482337371141648,0.8611670853231016,0.63,0.7064544650751547,0.7219274977895668,0.21343537414965977,0.06929587662100922,0.3728813559322034,0.5612244897959183,0.6442216324579654,0.7111590022187596,12.779627125217418,0.29949985669935264,0.2391304347826087,0.8688647342995168,0.63,linear_model_PAClassifier
6,0.0006055831909179688,0.00016832351684570312,0.00028061866760253906,0.8611611425101271,0.6533909320242922,0.6533909320242921,0.3390270241920246,0.12645290828701683,0.41638383662576506,0.38694616073065263,0.8491765158618743,0.588508572995861,4.795367701932839,0.34257762363380084,0.4768453923327354,0.8482251343779721,0.8611611425101271,0.62,0.6536544850498339,0.6893687707641196,0.1935483870967741,0.052274986142926916,0.36666666666666664,0.5392156862745098,0.6343465860655357,0.6826029913894465,13.125014889166525,0.2636791581539912,0.2391304347826087,0.8457004830917875,0.62,linear_model_PAClassifier
7,0.00039839744567871094,8.916854858398438e-05,0.0001513957977294922,0.8611551997791733,0.6533871975936517,0.6533871975936517,0.33901067021824965,0.12643655532352005,0.41637175842664037,0.3869419883545396,0.8491701079453535,0.5885062281113085,4.795572961806487,0.3425592684898872,0.47681371246346,0.8482212850448506,0.8611551997791733,0.62,0.6536544850498339,0.6893687707641196,0.1935483870967741,0.052274986142926916,0.36666666666666664,0.5392156862745098,0.6343465860655357,0.6826029913894465,13.125014889166525,0.2636791581539912,0.2391304347826087,0.8457004830917875,0.62,linear_model_PAClassifier
8,0.0004527568817138672,0.00010824203491210938,0.0001888275146484375,0.8611561579176183,0.6533874476355059,0.6533874476355058,0.33901127483332105,0.12643719664580055,0.41637175842664037,0.3869419883545396,0.8491712169759275,0.588506385115261,4.795539868577113,0.3425598728395866,0.47681371246346,0.8482223105398111,0.8611561579176183,0.62,0.6536544850498339,0.6893687707641196,0.1935483870967741,0.052274986142926916,0.36666666666666664,0.5392156862745098,0.6343465860655357,0.6826029913894465,13.125014889166525,0.2636791581539912,0.2391304347826087,0.8457004830917875,0.62,linear_model_PAClassifier
9,0.0005612373352050781,0.00014710426330566406,0.00025844573974609375,0.8611502153030804,0.6533779349598211,0.6533779349598211,0.3389962314628115,0.12642963447492683,0.4163596809282088,0.38692529974984907,0.8491652169655017,0.5884912351909399,4.795745118911981,0.3425461274888706,0.47681371246346,0.8482137078803792,0.8611502153030804,0.62,0.6533333333333333,0.6666666666666666,0.18279569892473113,0.042275803171180515,0.36666666666666664,0.5238095238095237,0.6290005968532549,0.6633249580710799,13.125006893192225,0.23924685418842445,0.24444444444444444,0.8248484848484848,0.62,linear_model_PAClassifier
10,0.0005130767822265625,0.00011301040649414062,0.00024509429931640625,0.8611442727705589,0.6533684232636128,0.6533684232636128,0.3389811889567782,0.1264220729482627,0.41634760413040955,0.3869086125846379,0.8491592171135578,0.5884760864365726,4.79595036641411,0.3425323831158316,0.47681371246346,0.8482051054326928,0.8611442727705589,0.61,0.6101190476190477,0.6413690476190477,0.16309012875536472,0.031756621490368286,0.360655737704918,0.5045871559633026,0.6195922201219262,0.6397078946489487,13.470394657141332,0.20835137007059346,0.24444444444444444,0.8027474747474748,0.61,linear_model_PAClassifier
