Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0004951953887939453,0.00016260147094726562,0.00032806396484375,0.8626235238607893,0.6533041724956294,0.6533041724956296,0.3412646783595783,0.1296522714028664,0.4174932371505861,0.3858775484690955,0.8508753745747754,0.5873897339350073,4.744857439011068,0.3454079037968911,0.4835193525226813,0.8490307953522179,0.8626235238607893,0.95,0.8996212121212122,0.8996212121212122,0.7714808043875685,0.521433315074122,0.8,0.819672131147541,0.9384600300803122,0.8971757032065918,1.7269628076683308,0.7722878192350445,0.7692307692307693,0.9520778072502211,0.95,linear_model_SoftmaxRegression
2,0.0004584789276123047,9.870529174804688e-05,0.0001342296600341797,0.8626244367947474,0.6533044054937124,0.6533044054937125,0.3412652512272308,0.12965289367418165,0.4174932371505861,0.3858775484690955,0.8508764302465481,0.5873898796437521,4.7448259071098,0.34540847628154575,0.4835193525226813,0.849031776123214,0.8626244367947474,0.95,0.8996212121212122,0.8996212121212122,0.7714808043875685,0.521433315074122,0.8,0.819672131147541,0.9384600300803122,0.8971757032065918,1.7269628076683308,0.7722878192350445,0.7692307692307693,0.9520778072502211,0.95,linear_model_SoftmaxRegression
3,0.0007288455963134766,0.00015354156494140625,0.0003745555877685547,0.8626187042710278,0.6532952986717332,0.6532952986717331,0.34125067525142544,0.1296455355937992,0.41748147313251993,0.38586146906545266,0.8508706504870127,0.5873753170405928,4.745023901185305,0.3453952431375365,0.4835193525226813,0.8490235448433636,0.8626187042710278,0.94,0.830238726790451,0.8673740053050398,0.7347480106100793,0.4805149380535684,0.7692307692307693,0.7692307692307693,0.9261586802827965,0.861803672707292,2.0723505716174375,0.7347480106100795,0.7692307692307693,0.94,0.94,linear_model_SoftmaxRegression
4,0.00037598609924316406,8.440017700195312e-05,0.0001277923583984375,0.8626196172248803,0.65329553166624,0.6532955316662401,0.34125124812889895,0.1296461578605601,0.41748147313251993,0.38586146906545266,0.8508717061737742,0.587375462743453,4.744992368596913,0.34539581563227506,0.4835193525226813,0.8490245256437681,0.8626196172248803,0.94,0.830238726790451,0.8673740053050398,0.7347480106100793,0.4805149380535684,0.7692307692307693,0.7692307692307693,0.9261586802827965,0.861803672707292,2.0723505716174375,0.7347480106100795,0.7692307692307693,0.94,0.94,linear_model_SoftmaxRegression
5,0.00039124488830566406,9.036064147949219e-05,0.00014781951904296875,0.8626205301665991,0.6532957646571711,0.6532957646571711,0.341251820997763,0.12964678012140007,0.41748147313251993,0.38586146906545266,0.8508727618459021,0.5873756084440407,4.7449608364276115,0.34539638811839124,0.4835193525226813,0.8490255064314698,0.8626205301665991,0.94,0.830238726790451,0.8673740053050398,0.7347480106100793,0.4805149380535684,0.7692307692307693,0.7692307692307693,0.9261586802827965,0.861803672707292,2.0723505716174375,0.7347480106100795,0.7692307692307693,0.94,0.94,linear_model_SoftmaxRegression
6,0.0006422996520996094,0.00017881393432617188,0.0003063678741455078,0.8626147977831236,0.6532866587382431,0.6532866587382431,0.34123724587312004,0.12963942264378037,0.41746970977740205,0.38584539100180215,0.8508669822921675,0.5873610469167141,4.745158825659271,0.3453831559194827,0.4835193525226813,0.8490172754310944,0.8626147977831236,0.93,0.8397009966777409,0.8397009966777409,0.700342465753425,0.44640863526768304,0.7407407407407408,0.7246376811594203,0.9139883578481878,0.8302823440036043,2.4177383355665443,0.7009850531274059,0.7692307692307693,0.9281520778072503,0.93,linear_model_SoftmaxRegression
7,0.0004208087921142578,9.799003601074219e-05,0.0001671314239501953,0.8626157107447353,0.6532868917255983,0.6532868917255983,0.3412378187518028,0.12964004490006542,0.41746970977740205,0.38584539100180215,0.8508680379792819,0.5873611926114176,4.745127292802898,0.3453837284156813,0.4835193525226813,0.8490182562482014,0.8626157107447353,0.93,0.8397009966777409,0.8397009966777409,0.700342465753425,0.44640863526768304,0.7407407407407408,0.7246376811594203,0.9139883578481878,0.8302823440036043,2.4177383355665443,0.7009850531274059,0.7692307692307693,0.9281520778072503,0.93,linear_model_SoftmaxRegression
8,0.000476837158203125,0.00011563301086425781,0.0002048015594482422,0.8626166236942133,0.6532871247093777,0.6532871247093777,0.3412383916218759,0.1296406671504301,0.41746970977740205,0.38584539100180215,0.8508690936517633,0.587361338303849,4.74509576036561,0.34538430090325783,0.4835193525226813,0.8490192370526058,0.8626166236942133,0.93,0.8397009966777409,0.8397009966777409,0.700342465753425,0.44640863526768304,0.7407407407407408,0.7246376811594203,0.9139883578481878,0.8302823440036043,2.4177383355665443,0.7009850531274059,0.7692307692307693,0.9281520778072503,0.93,linear_model_SoftmaxRegression
9,0.0006043910980224609,0.0001614093780517578,0.0002818107604980469,0.8626108914509751,0.6532780196933667,0.6532780196933669,0.3412238173483262,0.12963331027548952,0.41745794708517653,0.38582931427797634,0.850863314303817,0.5873467778522223,4.745293744753652,0.3453710696493359,0.4835193525226813,0.8490110063316882,0.8626108914509751,0.92,0.7835294117647059,0.8156862745098039,0.6680497925311206,0.41700234977544814,0.7142857142857142,0.684931506849315,0.9019546271114383,0.8019583872633048,2.7631260995156515,0.6703621505382421,0.7692307692307693,0.9165340406719715,0.92,linear_model_SoftmaxRegression
10,0.0005433559417724609,0.0001621246337890625,0.00022172927856445312,0.8626051592839201,0.6532689155801388,0.6532689155801388,0.34120924388894996,0.12962595400041954,0.4174461850557872,0.3858132388938077,0.8508575351024168,0.5873322184833851,4.745491726510427,0.34535783930288355,0.4835193525226813,0.8490027758060078,0.8626051592839201,0.91,0.7946428571428571,0.7946428571428572,0.6376811594202899,0.3910917706024579,0.6896551724137931,0.6493506493506493,0.8900632778249714,0.7763237542601485,3.1085138634647587,0.6423833039611423,0.7692307692307693,0.9051458885941644,0.91,linear_model_SoftmaxRegression
11,0.0004525184631347656,0.00010776519775390625,0.00018906593322753906,0.8626060722853137,0.6532691485603426,0.6532691485603426,0.3412098167872675,0.12962657624759066,0.4174461850557872,0.3858132388938077,0.8508585908194977,0.5873323641663214,4.745460192280052,0.34535841181924287,0.4835193525226813,0.8490037566819166,0.8626060722853137,0.91,0.7946428571428571,0.7946428571428572,0.6376811594202899,0.3910917706024579,0.6896551724137931,0.6493506493506493,0.8900632778249714,0.7763237542601485,3.1085138634647587,0.6423833039611423,0.7692307692307693,0.9051458885941644,0.91,linear_model_SoftmaxRegression
12,0.0005354881286621094,0.0001361370086669922,0.0002429485321044922,0.8626069852745734,0.6532848321829973,0.6532848321829973,0.3412424680914471,0.12964650475577888,0.4174790105369922,0.38584522445578595,0.8508577253100458,0.5873574453194838,4.74542865846877,0.345391041324967,0.48355306095809947,0.849005846430967,0.8626069852745734,0.91,0.7946428571428571,0.7946428571428572,0.6376811594202899,0.3910917706024579,0.6896551724137931,0.6493506493506493,0.8900632778249714,0.7763237542601485,3.1085138634647587,0.6423833039611423,0.7692307692307693,0.9051458885941644,0.91,linear_model_SoftmaxRegression
13,0.0006144046783447266,0.00016379356384277344,0.0002913475036621094,0.8626012532477457,0.6532757286462187,0.6532757286462187,0.341227895137631,0.12963914849370284,0.41746724890829695,0.38582914991563727,0.8508519462529497,0.5873428871297126,4.7456266353822745,0.34537781159421527,0.48355306095809947,0.8489976164074142,0.8626012532477457,0.9,0.7476966690290574,0.7760453579021971,0.6090695856137609,0.3679076612799309,0.6666666666666667,0.6172839506172839,0.8783203285167257,0.7529766114978554,3.4539016274138654,0.6166555553363355,0.7692307692307693,0.8939876215738285,0.9,linear_model_SoftmaxRegression
14,0.0005612373352050781,0.0001430511474609375,0.0002510547637939453,0.8626021662568941,0.653275961622847,0.653275961622847,0.3412284680471522,0.12963977078119238,0.41746724890829695,0.38582914991563727,0.850853001995774,0.587343032812987,4.745595100884066,0.34537838412102584,0.48355306095809947,0.8489985972923134,0.8626021662568941,0.9,0.7476966690290574,0.7760453579021971,0.6090695856137609,0.3679076612799309,0.6666666666666667,0.6172839506172839,0.8783203285167257,0.7529766114978554,3.4539016274138654,0.6166555553363355,0.7692307692307693,0.8939876215738285,0.9,linear_model_SoftmaxRegression
15,0.0003561973571777344,7.796287536621094e-05,0.00011920928955078125,0.8626030792539089,0.6532761945958996,0.6532761945958996,0.3412290409480644,0.12964039306276232,0.41746724890829695,0.38582914991563727,0.8508540577239653,0.5873431784939894,4.745563566804946,0.34537895663921414,0.48355306095809947,0.8489995781645099,0.8626030792539089,0.91,0.7533664068036854,0.7820694542877392,0.6388443017656503,0.42918852813730424,0.6896551724137931,0.625,0.8908322684264894,0.7576680999494946,3.1085058674904564,0.652105107507079,0.8333333333333334,0.9056439393939394,0.91,linear_model_SoftmaxRegression
16,0.0004603862762451172,0.00011205673217773438,0.00019168853759765625,0.8625973473673019,0.6532670919616229,0.653267091961623,0.3412144688451111,0.1296330374031477,0.4174554879423033,0.3858130767147826,0.8508482788726291,0.5873286213794574,4.745761538875409,0.34536572785309444,0.48355306095809947,0.848991348420365,0.8625973473673019,0.9,0.7655826558265583,0.7655826558265583,0.6105919003115268,0.40674900764086597,0.6666666666666667,0.5952380952380952,0.8792798786522873,0.7362101738323104,3.453893631439563,0.6279729326221807,0.8333333333333334,0.8954545454545455,0.9,linear_model_SoftmaxRegression
17,0.0003268718719482422,6.747245788574219e-05,0.00010228157043457031,0.862598260384204,0.6532673249311002,0.6532673249311002,0.3412150417558361,0.12963365968015916,0.4174554879423033,0.3858130767147826,0.8508493346157984,0.5873287670545774,4.745730004109414,0.3453663003813594,0.48355306095809947,0.8489923293219535,0.862598260384204,0.9,0.7519489723600283,0.7526576895818569,0.5877988458367683,0.3887379397006939,0.6428571428571428,0.5696202531645569,0.8816196044725886,0.7187870718877528,3.453893631439563,0.6066450762707654,0.8181818181818182,0.8944841675178753,0.9,linear_model_SoftmaxRegression
18,0.0004093647003173828,9.441375732421875e-05,0.00015878677368164062,0.8625991733889723,0.653267557897002,0.653267557897002,0.3412156146579505,0.1296342819512507,0.4174554879423033,0.3858130767147826,0.8508503903443351,0.5873289127274255,4.745698469762503,0.34536687290100215,0.48355306095809947,0.8489933102108393,0.8625991733889723,0.9,0.7519489723600283,0.7526576895818569,0.5877988458367683,0.3887379397006939,0.6428571428571428,0.5696202531645569,0.8816196044725886,0.7187870718877528,3.453893631439563,0.6066450762707654,0.8181818181818182,0.8944841675178753,0.9,linear_model_SoftmaxRegression
19,0.0004184246063232422,0.00010013580322265625,0.00016117095947265625,0.8625934416425795,0.6532639541791313,0.6532639541791312,0.3411996900690257,0.12961786515174079,0.4174437276389553,0.385809058623814,0.8508441919603883,0.5873266593298939,4.745896442303269,0.34534880794855305,0.48352150362200613,0.8489894558220116,0.8625934416425795,0.89,0.7455705173635719,0.7466335931963146,0.5585874799357947,0.3279314106908072,0.6206896551724139,0.5625,0.8692820472368555,0.714336335150686,3.799289391362972,0.5701823553076971,0.75,0.8820454545454546,0.89,linear_model_SoftmaxRegression
20,0.0005886554718017578,0.00015664100646972656,0.0002720355987548828,0.8625943546672337,0.653279635594682,0.6532796355946822,0.3412323368710197,0.12963779032666078,0.4174765486351728,0.38584103974006495,0.8508433264258369,0.5873517370544511,4.745864907269499,0.34538143296939494,0.48355520751761943,0.8489915456326497,0.8625943546672337,0.89,0.7594850948509485,0.7594850948509485,0.5820668693009121,0.34692190407106105,0.6451612903225806,0.588235294117647,0.8667320289586213,0.7315943905631884,3.799289391362972,0.592862919634911,0.7692307692307693,0.8830592396109637,0.89,linear_model_SoftmaxRegression
21,0.0003707408905029297,8.249282836914062e-05,0.0001323223114013672,0.8625952676797544,0.6532798685828736,0.6532798685828736,0.34123290979568144,0.12963841260542863,0.4174765486351728,0.38584103974006495,0.850844382185591,0.5873518827479802,4.745833372654807,0.3453820055112991,0.48355520751761943,0.8489925265121653,0.8625952676797544,0.89,0.7594850948509485,0.7594850948509485,0.5820668693009121,0.34692190407106105,0.6451612903225806,0.588235294117647,0.8667320289586213,0.7315943905631884,3.799289391362972,0.592862919634911,0.7692307692307693,0.8830592396109637,0.89,linear_model_SoftmaxRegression
22,0.0004241466522216797,0.00010013580322265625,0.0001609325408935547,0.8625961806801419,0.6532801015674894,0.6532801015674894,0.3412334827117334,0.12963903487827622,0.4174765486351728,0.38584103974006495,0.8508454379307124,0.5873520284392374,4.745801838459185,0.3453825780445808,0.48355520751761943,0.8489935073789789,0.8625961806801419,0.89,0.7455705173635719,0.7466335931963146,0.5585874799357947,0.3279314106908072,0.6206896551724139,0.5625,0.8692820472368555,0.714336335150686,3.799289391362972,0.5701823553076971,0.75,0.8820454545454546,0.89,linear_model_SoftmaxRegression
23,0.00044608116149902344,0.00010776519775390625,0.00017023086547851562,0.8625904491059742,0.6532764979566511,0.6532764979566511,0.34121755883599447,0.12962261970516986,0.4174647887323944,0.385837021608956,0.8508392397499188,0.5873497750048924,4.745999805051348,0.3453645146166913,0.4835236541598695,0.8489896534241965,0.8625904491059742,0.88,0.7391920623671155,0.7406094968107725,0.530883502736513,0.2808684790392354,0.5999999999999999,0.5555555555555556,0.8571035475863125,0.709857693287927,4.144685151286381,0.5374956637655607,0.6923076923076923,0.871370468611848,0.88,linear_model_SoftmaxRegression
24,0.00041937828063964844,9.942054748535156e-05,0.0001621246337890625,0.8625913621262459,0.6532767309635548,0.6532767309635548,0.3412181317732012,0.1296232419408272,0.4174647887323944,0.385837021608956,0.8508402955154926,0.5873499207106094,4.745968270168922,0.3453650871718581,0.4835236541598695,0.8489906343020408,0.8625913621262459,0.88,0.7391920623671155,0.7406094968107725,0.530883502736513,0.2808684790392354,0.5999999999999999,0.5555555555555556,0.8571035475863125,0.709857693287927,4.144685151286381,0.5374956637655607,0.6923076923076923,0.871370468611848,0.88,linear_model_SoftmaxRegression
25,0.0003821849822998047,8.726119995117188e-05,0.00014090538024902344,0.8625856306602614,0.6532731274338809,0.6532731274338809,0.3412022087645967,0.12960682961676373,0.417453029492127,0.38583300356153544,0.850834097527324,0.5873476673189324,4.746166233024466,0.3453470253779662,0.4834921049197442,0.8489867809741821,0.8625856306602614,0.87,0.7328136073706591,0.7345854004252304,0.5045731707317073,0.24320668768910958,0.5806451612903226,0.5487804878048781,0.8450907116237015,0.7053506147467373,4.49008091120979,0.5079035391870929,0.6428571428571429,0.8620764119601328,0.87,linear_model_SoftmaxRegression
26,0.0005080699920654297,0.00012803077697753906,0.00022554397583007812,0.862586543700416,0.6532733604630707,0.6532733604630708,0.34120278172295676,0.12960745181523436,0.417453029492127,0.38583300356153544,0.8508351533133471,0.5873478130391087,4.746134697455284,0.34534759795501496,0.4834921049197442,0.8489877618630522,0.862586543700416,0.87,0.7328136073706591,0.7345854004252304,0.5045731707317073,0.24320668768910958,0.5806451612903226,0.5487804878048781,0.8450907116237015,0.7053506147467373,4.49008091120979,0.5079035391870929,0.6428571428571429,0.8620764119601328,0.87,linear_model_SoftmaxRegression
27,0.0003428459167480469,7.295608520507812e-05,0.00011372566223144531,0.8625808123426111,0.6532697570145579,0.6532697570145579,0.3411868595814254,0.12959104233951435,0.4174412709143147,0.3858289855978006,0.8508289555177954,0.587345559690098,4.746332656574338,0.34532953779486414,0.48346055979643765,0.8489839091619885,0.8625808123426111,0.86,0.7142857142857143,0.7142857142857143,0.45141065830721017,0.1923933416002367,0.5333333333333333,0.5128205128205128,0.8363866947738592,0.6813851438692469,4.835476671133199,0.4528033232531779,0.5714285714285714,0.8532890365448504,0.86,linear_model_SoftmaxRegression
28,0.0004944801330566406,0.0001201629638671875,0.0002193450927734375,0.8625817254026471,0.6532699900660328,0.6532699900660328,0.34118743256093476,0.12959166450080095,0.4174412709143147,0.3858289855978006,0.8508300113242655,0.5873457054247327,4.746301120318447,0.34533011039379224,0.48346055979643765,0.8489848900618798,0.8625817254026471,0.86,0.7142857142857143,0.7142857142857143,0.45141065830721017,0.1923933416002367,0.5333333333333333,0.5128205128205128,0.8363866947738592,0.6813851438692469,4.835476671133199,0.4528033232531779,0.5714285714285714,0.8532890365448504,0.86,linear_model_SoftmaxRegression
29,0.0004296302795410156,0.00010085105895996094,0.000171661376953125,0.8625759941530182,0.6532663866986776,0.6532663866986776,0.3411715112864174,0.12957525787272628,0.41742951299890146,0.38582496771774893,0.8508238137213221,0.5873434521183869,4.746499075701139,0.34531205186712605,0.48342901878914407,0.8489810379874819,0.8625759941530182,0.85,0.7083333333333334,0.7083333333333333,0.4274809160305343,0.16764085559889474,0.5161290322580646,0.5063291139240506,0.8249237346889982,0.67700320038633,5.180872431056608,0.42779263194649864,0.5333333333333333,0.8462745098039215,0.85,linear_model_SoftmaxRegression
30,0.0003979206085205078,9.131431579589844e-05,0.00014972686767578125,0.8625769072329342,0.6532666197724358,0.6532666197724358,0.34117208428707485,0.1295758799968325,0.41742951299890146,0.38582496771774893,0.8508248695482366,0.5873435978674791,4.746467538758587,0.3453126244879303,0.48342901878914407,0.8489820188983898,0.8625769072329342,0.85,0.7083333333333334,0.7083333333333333,0.4274809160305343,0.16764085559889474,0.5161290322580646,0.5063291139240506,0.8249237346889982,0.67700320038633,5.180872431056608,0.42779263194649864,0.5333333333333333,0.8462745098039215,0.85,linear_model_SoftmaxRegression
31,0.0007042884826660156,0.00017905235290527344,0.00029277801513671875,0.8625711760914775,0.6532630164862352,0.6532630164862353,0.34115616387950903,0.1295594762157044,0.41741775574583145,0.3858209499213779,0.8508186721378931,0.5873413446037967,4.746665490405046,0.34529456759449245,0.4833974818970579,0.8489781674505288,0.8625711760914775,0.84,0.6831372549019608,0.6862745098039216,0.3725490196078433,0.12751682684099763,0.4666666666666667,0.4666666666666667,0.8171428571428571,0.6501885096179536,5.526268190980017,0.3725490196078432,0.4666666666666667,0.84,0.84,linear_model_SoftmaxRegression
32,0.0007925033569335938,0.00023365020751953125,0.000335693359375,0.8625720891912723,0.6532632495822753,0.6532632495822753,0.34115673690131193,0.12956009830263215,0.41741775574583145,0.3858209499213779,0.8508197279852494,0.5873414903673455,4.7466339527758805,0.34529514023717023,0.4833974818970579,0.8489791483724486,0.8625720891912723,0.84,0.6831372549019608,0.6862745098039216,0.3725490196078433,0.12751682684099763,0.4666666666666667,0.4666666666666667,0.8171428571428571,0.6501885096179536,5.526268190980017,0.3725490196078432,0.4666666666666667,0.84,0.84,linear_model_SoftmaxRegression
33,0.00041222572326660156,0.00010037422180175781,0.00012159347534179688,0.8625663581579839,0.653259646377226,0.653259646377226,0.3411408173606365,0.12954369736775218,0.4174059991550486,0.3858169322086848,0.8508135307674977,0.587339237146325,4.746831900686235,0.34527708497670434,0.48336594911937375,0.8489752975509957,0.8625663581579839,0.83,0.6768627450980392,0.6803921568627451,0.3511450381679388,0.11118652392548545,0.45161290322580644,0.4605263157894736,0.8062441429611088,0.6459527087649563,5.871663950903425,0.3514010905274811,0.4375,0.834672619047619,0.83,linear_model_SoftmaxRegression
34,0.00044274330139160156,0.00010943412780761719,0.0001735687255859375,0.8625606272008505,0.6532560432274681,0.653256043227468,0.3411248986570395,0.12952729930967743,0.41739424322649693,0.385812914579667,0.8508073337072598,0.5873369839512363,4.747029845966227,0.3452590313184626,0.4833344204552867,0.848971447332117,0.8625606272008505,0.82,0.6705882352941176,0.6745098039215687,0.3308550185873607,0.097324160716594,0.43749999999999994,0.4545454545454545,0.7955392200630054,0.641688947919748,6.217059710826834,0.3317732840981091,0.4117647058823529,0.8298369950389793,0.82,linear_model_SoftmaxRegression
35,0.0006232261657714844,0.00017547607421875,0.00028634071350097656,0.8625548963198703,0.6532469411694448,0.6532469411694448,0.34111033160168475,0.12951994760586927,0.4173824879601205,0.38579684490029675,0.8508015557626439,0.5873224284332497,4.747227783303359,0.34524580497411655,0.4833344204552867,0.8489632170362196,0.8625548963198703,0.81,0.6279761904761905,0.6592261904761905,0.3105950653120468,0.08689998945604072,0.42424242424242425,0.43209876543209874,0.784639116672264,0.6208193510729725,6.562447474775941,0.31079972637257347,0.4117647058823529,0.8147980155917789,0.81,linear_model_SoftmaxRegression
36,0.0005831718444824219,0.000156402587890625,0.00026917457580566406,0.862549165515042,0.653243338074977,0.653243338074977,0.34109441428420234,0.1295035529151296,0.4173707333558635,0.3857928276896164,0.8507953589256066,0.5873201753199311,4.747425723322819,0.34522775312731135,0.48330289590399167,0.8489593672460973,0.862549165515042,0.8,0.6220238095238095,0.6532738095238095,0.29178470254957517,0.07565012173787233,0.411764705882353,0.4268292682926829,0.7741458581686527,0.616610357789531,6.9078432346993495,0.29251921745363624,0.3888888888888889,0.8100271002710028,0.8,linear_model_SoftmaxRegression
37,0.0004401206970214844,9.059906005859375e-05,0.00014638900756835938,0.862543434786364,0.6532397350357982,0.6532397350357981,0.34107849780362653,0.12948716109973435,0.4173589794136698,0.38578881056259573,0.8507891622460747,0.5873179222325428,4.747623660712074,0.3452097028822015,0.483271375464684,0.8489555180583355,0.862543434786364,0.79,0.6160714285714286,0.6473214285714286,0.27385892116182586,0.06596764543527067,0.39999999999999997,0.42168674698795183,0.7638691886297022,0.6123724356957945,7.253238994622759,0.27534439587696746,0.3684210526315789,0.8056140350877193,0.79,linear_model_SoftmaxRegression
38,0.0003552436828613281,7.653236389160156e-05,0.00012040138244628906,0.8625377041338347,0.653236132051907,0.6532361320519069,0.34106258215990193,0.1294707721589804,0.4173472261334836,0.385784793519232,0.8507829657240448,0.5873156691710841,4.747821595471177,0.34519165423853576,0.48323985913655926,0.8489516694728138,0.8625377041338347,0.78,0.6101190476190477,0.6413690476190477,0.2567567567567567,0.057577995548428906,0.38888888888888884,0.4166666666666667,0.7538171722217186,0.6081049799719344,7.598634754546167,0.25913374465524097,0.35,0.8014999999999999,0.78,linear_model_SoftmaxRegression
39,0.0003249645233154297,6.794929504394531e-05,0.0001010894775390625,0.8625386174135469,0.6532363652736485,0.6532363652736484,0.34106315534027976,0.1294713940850759,0.4173472261334836,0.385784793519232,0.8507840217617009,0.5873158150123856,4.747790051627737,0.3451922270437418,0.48323985913655926,0.8489526505426317,0.8625386174135469,0.78,0.6101190476190477,0.6413690476190477,0.2567567567567567,0.057577995548428906,0.38888888888888884,0.4166666666666667,0.7538171722217186,0.6081049799719344,7.598634754546167,0.25913374465524097,0.35,0.8014999999999999,0.78,linear_model_SoftmaxRegression
40,0.0005142688751220703,0.0001316070556640625,0.00022482872009277344,0.8625328868691701,0.6532327623708968,0.6532327623708967,0.34104724056309504,0.12945500798701315,0.41733547351524886,0.3857807765595228,0.850777825432229,0.5873135619935828,4.747987982651288,0.34517418003175254,0.48320834691881315,0.8489488025829192,0.8625328868691701,0.77,0.6041666666666666,0.6354166666666667,0.24042272126816402,0.050266848320638435,0.37837837837837834,0.4117647058823529,0.7439980612574284,0.60380736442456,7.944030514469576,0.2437690452006386,0.3333333333333333,0.7976371308016877,0.77,linear_model_SoftmaxRegression
