Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0010187625885009766,0.00013113021850585938,0.0008838176727294922,0.854392822813201,0.656121900571199,0.656121900571199,0.33233713803986853,0.1146861355458928,0.4149242970439798,0.3965917816850105,0.841112137090425,0.5975962619566613,5.029144282433953,0.3336290114791384,0.4495592009820333,0.8456236942040929,0.854392822813201,0.64,0.7954545454545454,0.7954545454545454,0.2574257425742575,0.1401091164786994,0.4,0.625,0.654102634716107,0.7687061147858074,12.434247357242572,0.3843530573929037,0.25,0.91,0.64,model_GaussianNB
2,0.0006432533264160156,0.00033664703369140625,0.0001285076141357422,0.8543937558874983,0.656122170669443,0.656122170669443,0.3323377419756127,0.11468671433526711,0.4149242970439798,0.3965917816850105,0.8411132240861771,0.5975964360772333,5.029112054865514,0.33362961541174296,0.4495592009820333,0.8456246705522166,0.8543937558874983,0.64,0.7954545454545454,0.7954545454545454,0.2574257425742575,0.1401091164786994,0.4,0.625,0.654102634716107,0.7687061147858074,12.434247357242572,0.3843530573929037,0.25,0.91,0.64,model_GaussianNB
3,0.0021178722381591797,0.0009734630584716797,0.0009794235229492188,0.854388280829467,0.6561129609076946,0.6561129609076946,0.33232407458799773,0.11467991110474152,0.4149136133068981,0.3965761650686146,0.8411076448953128,0.5975821495943405,5.029301156346688,0.3336167023910347,0.4495592009820333,0.8456164467891908,0.854388280829467,0.64,0.7374005305039788,0.7603890362511052,0.24654667224780247,0.10091902241322026,0.4,0.6060606060606061,0.6484011456924157,0.7427813527082076,12.43423936126827,0.350911118216447,0.2553191489361702,0.8867763950220794,0.64,model_GaussianNB
4,0.0009558200836181641,0.0006744861602783203,0.00010132789611816406,0.8543892139209115,0.6561132310019412,0.6561132310019412,0.33232467853419306,0.11468048988923951,0.4149136133068981,0.3965761650686146,0.8411087319037466,0.5975823237081224,5.029268928186022,0.33361730633421743,0.4495592009820333,0.8456174231662941,0.8543892139209115,0.64,0.7374005305039788,0.7603890362511052,0.24654667224780247,0.10091902241322026,0.4,0.6060606060606061,0.6484011456924157,0.7427813527082076,12.43423936126827,0.350911118216447,0.2553191489361702,0.8867763950220794,0.64,model_GaussianNB
5,0.0012826919555664062,0.0009591579437255859,0.0001232624053955078,0.8543901470003973,0.6561135010921906,0.6561135010921906,0.33232528247155474,0.11468106866844241,0.4149136133068981,0.3965761650686146,0.8411098188976698,0.5975824978192765,5.029236700438395,0.333617910268561,0.4495592009820333,0.8456183995310712,0.8543901470003973,0.64,0.7374005305039788,0.7603890362511052,0.24654667224780247,0.10091902241322026,0.4,0.6060606060606061,0.6484011456924157,0.7427813527082076,12.43423936126827,0.350911118216447,0.2553191489361702,0.8867763950220794,0.64,model_GaussianNB
6,0.0025243759155273438,0.0020618438720703125,0.00025725364685058594,0.8543846720707443,0.6561042922110848,0.6561042922110848,0.33231161581592406,0.11467426599384378,0.4149029301199856,0.3965605496820429,0.8411042399000725,0.5975682123526329,5.029425797485555,0.3336049981348482,0.4495592009820333,0.8456101760383726,0.8543846720707443,0.63,0.7250830564784053,0.7250830564784053,0.2265886287625417,0.07636411625129247,0.3934426229508196,0.5825242718446602,0.6382142102778403,0.7129555721365334,12.779627125217377,0.31296745573797363,0.2553191489361702,0.8632918506623847,0.63,model_GaussianNB
7,0.0025866031646728516,0.0021681785583496094,0.00016498565673828125,0.8543791972112575,0.6561008624305321,0.6561008624305322,0.3322971970818723,0.1146616619984624,0.41489224748319986,0.39655664602754287,0.8410984204010328,0.5975660014257503,5.029614897233048,0.3335895961682097,0.449534118172181,0.8456072070165616,0.8543791972112575,0.62,0.7192691029900332,0.7192691029900332,0.21746293245469525,0.07260857734545156,0.3870967741935483,0.5769230769230769,0.6339167358685819,0.7059312080025175,13.125022885140787,0.30457790041114297,0.25,0.8619230769230769,0.62,model_GaussianNB
8,0.0017926692962646484,0.0014460086822509766,0.0001633167266845703,0.8543801303369922,0.656101132540165,0.6561011325401651,0.33229780105514733,0.11466224074688047,0.41489224748319986,0.39655664602754287,0.8410995074378532,0.5975661755458309,5.029582667888019,0.33359020013875995,0.449534118172181,0.8456081834274024,0.8543801303369922,0.63,0.7250830564784053,0.7250830564784053,0.2265886287625417,0.07636411625129247,0.3934426229508196,0.5825242718446602,0.6382142102778403,0.7129555721365334,12.779627125217377,0.31296745573797363,0.2553191489361702,0.8632918506623847,0.63,model_GaussianNB
9,0.002017974853515625,0.0015954971313476562,0.00024056434631347656,0.8543746555767727,0.6560919245395758,0.6560919245395758,0.3322841355612063,0.11465543902188802,0.41488156539649845,0.39654103217804726,0.8410939286679192,0.5975518911523273,5.029771759083133,0.3335772890362704,0.449534118172181,0.8455999600326359,0.8543746555767727,0.62,0.6745098039215687,0.6941176470588235,0.20668058455114818,0.058459130308202156,0.3870967741935484,0.5607476635514018,0.6283824133225138,0.6859943405700354,13.125014889166485,0.2777558679761723,0.2553191489361702,0.8401846647932557,0.62,model_GaussianNB
10,0.0018389225006103516,0.0014772415161132812,0.00017690658569335938,0.8543691808867159,0.6560827174193765,0.6560827174193766,0.33227047076054633,0.11464863785181956,0.41487088385983883,0.3965254195580491,0.8410883500368584,0.5975376077831496,5.029960847854917,0.33356437878173095,0.449534118172181,0.845591736825573,0.8543691808867159,0.62,0.6726190476190477,0.6726190476190477,0.19627749576988154,0.04791420310611849,0.3870967741935483,0.5454545454545455,0.6230692414663154,0.6681531047810609,13.125006893192182,0.2539466864548213,0.2608695652173913,0.8195169082125604,0.62,model_GaussianNB
11,0.0016529560089111328,0.001325845718383789,0.00014925003051757812,0.8543701140586953,0.6560829875250119,0.656082987525012,0.3322710747635487,0.11464921659577243,0.41487088385983883,0.3965254195580491,0.8410894371135411,0.5975377818922786,5.029928616912665,0.33356498278227054,0.449534118172181,0.8455927133066876,0.8543701140586953,0.62,0.6726190476190477,0.6726190476190477,0.19627749576988154,0.04791420310611849,0.3870967741935483,0.5454545454545455,0.6230692414663154,0.6681531047810609,13.125006893192182,0.2539466864548213,0.2608695652173913,0.8195169082125604,0.62,model_GaussianNB
