Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.001474618911743164,0.00015974044799804688,0.0013098716735839844,0.8583617430687464,0.6643102068526199,0.66431020685262,0.35003750098928516,0.12631176086921592,0.4303488777186084,0.4111002291549791,0.8447674657636763,0.6091164800747517,4.8920609545406615,0.35143334710892676,0.466774628879892,0.8497800914027815,0.8583617430687464,0.99,0.9166666666666666,0.9583333333333333,0.9508840864440078,0.9006672597154959,0.9565217391304348,0.9322033898305083,0.987459911677974,0.9574271077563381,0.34538776394895726,0.952033109297414,1.0,0.9901123595505618,0.99,model_KNNClassifier
2,0.0003724098205566406,0.0001049041748046875,8.7738037109375e-05,0.8583626194129584,0.6643104589774645,0.6643104589774647,0.35003806794636644,0.12631233724346247,0.4303488777186084,0.4111002291549791,0.8447684961029878,0.6091166453098076,4.892030686381511,0.35143391387710576,0.466774628879892,0.8497810085120319,0.8583626194129584,0.99,0.9166666666666666,0.9583333333333333,0.9508840864440078,0.9006672597154959,0.9565217391304348,0.9322033898305083,0.987459911677974,0.9574271077563381,0.34538776394895726,0.952033109297414,1.0,0.9901123595505618,0.99,model_KNNClassifier
3,0.00048470497131347656,0.00016236305236816406,0.00016546249389648438,0.8583573085846867,0.6643012447610261,0.664301244761026,0.3500244664310828,0.12630533246615483,0.4303381690596461,0.41108459395472224,0.8447630514205985,0.6091025855813601,4.892214115589297,0.35142108982868503,0.466774628879892,0.8497731376117033,0.8583573085846867,0.98,0.9230769230769231,0.9230769230769231,0.9053926206244086,0.8389335567444731,0.9166666666666666,0.8730158730158731,0.9750251641364953,0.9198662110077999,0.6907755278980641,0.9094719088470241,1.0,0.9804494382022472,0.98,model_KNNClassifier
4,0.0006666183471679688,0.0002079010009765625,0.0001373291015625,0.8583581849454914,0.6643014968822681,0.664301496882268,0.35002503339827934,0.12630590883666915,0.4303381690596461,0.41108459395472224,0.8447640817726871,0.6091027508101962,4.892183846857066,0.3514216566069959,0.466774628879892,0.8497740547480939,0.8583581849454914,0.98,0.9230769230769231,0.9230769230769231,0.9053926206244086,0.8389335567444731,0.9166666666666666,0.8730158730158731,0.9750251641364953,0.9198662110077999,0.6907755278980641,0.9094719088470241,1.0,0.9804494382022472,0.98,model_KNNClassifier
5,0.0004630088806152344,0.0001697540283203125,0.00011610984802246094,0.8583590612954519,0.6643017489999075,0.6643017489999075,0.35002560035747154,0.12630648520201182,0.4303381690596461,0.41108459395472224,0.8447651121114211,0.6091029160366264,4.892153578499386,0.3514222233772988,0.466774628879892,0.8497749718733081,0.8583590612954519,0.98,0.9230769230769231,0.9230769230769231,0.9053926206244086,0.8389335567444731,0.9166666666666666,0.8730158730158731,0.9750251641364953,0.9198662110077999,0.6907755278980641,0.9094719088470241,1.0,0.9804494382022472,0.98,model_KNNClassifier
6,0.000667572021484375,0.0002703666687011719,0.00023674964904785156,0.8583537505877694,0.6642925356341558,0.6642925356341558,0.3500119995427683,0.12629948097800658,0.430327460933612,0.41106895994371384,0.8447596676114212,0.6090888572740935,4.892337003542178,0.3514094001815906,0.466774628879892,0.8497671012238894,0.8583537505877694,0.97,0.8571428571428571,0.8928571428571428,0.8631386861313868,0.7900780435142878,0.88,0.8208955223880596,0.9627003266515336,0.8864052604279183,1.036163291847171,0.8713377843927309,1.0,0.9710112359550561,0.97,model_KNNClassifier
7,0.0004584789276123047,0.00018024444580078125,0.00012350082397460938,0.8583546269543213,0.6642927877481927,0.6642927877481926,0.3500125665120749,0.1263000573396157,0.430327460933612,0.41106895994371384,0.8447606979629307,0.6090890224943044,4.892306734611457,0.35140996696202403,0.466774628879892,0.8497680183762414,0.8583546269543213,0.97,0.8571428571428571,0.8928571428571428,0.8631386861313868,0.7900780435142878,0.88,0.8208955223880596,0.9627003266515336,0.8864052604279183,1.036163291847171,0.8713377843927309,1.0,0.9710112359550561,0.97,model_KNNClassifier
8,0.0005347728729248047,0.00022339820861816406,0.00015354156494140625,0.8583555033100291,0.664293039858627,0.664293039858627,0.3500131334733758,0.1263006336960545,0.430327460933612,0.41106895994371384,0.8447617283010863,0.6090891877121096,4.892276466055281,0.35141053373444964,0.466774628879892,0.849768935517417,0.8583555033100291,0.97,0.8571428571428571,0.8928571428571428,0.8631386861313868,0.7900780435142878,0.88,0.8208955223880596,0.9627003266515336,0.8864052604279183,1.036163291847171,0.8713377843927309,1.0,0.9710112359550561,0.97,model_KNNClassifier
9,0.0006592273712158203,0.0002841949462890625,0.0002186298370361328,0.8583501927229307,0.6642838273434446,0.6642838273434446,0.3499995333592058,0.12629363002527783,0.4303167533404663,0.4110533271218186,0.8447562839834651,0.6090751299153802,4.892459886933262,0.3513977113913583,0.466774628879892,0.8497610651188938,0.8583501927229307,0.96,0.8666666666666667,0.8666666666666667,0.8237885462555066,0.7489655826312451,0.846153846153846,0.7746478873239436,0.9504901786092314,0.8563488385776752,1.3815510557962778,0.8368838221851381,1.0,0.9617977528089888,0.96,model_KNNClassifier
10,0.0005917549133300781,0.0002713203430175781,0.00016236305236816406,0.8583448822015443,0.6642746156787137,0.6642746156787136,0.3499859339092864,0.1262866269047861,0.43030604628016916,0.41103769548890046,0.8447508397959606,0.609061073091969,4.892643305541631,0.3513848898645169,0.466774628879892,0.8497531948946342,0.8583448822015443,0.95,0.8125,0.84375,0.787052810902896,0.7132195624802484,0.8148148148148148,0.7333333333333333,0.9383997157950013,0.82915619758885,1.7269388197453845,0.805528649083558,1.0,0.952808988764045,0.95,model_KNNClassifier
11,0.0005497932434082031,0.000255584716796875,0.0001399517059326172,0.8583457586012757,0.6642748677855457,0.6642748677855456,0.3499865008988162,0.12628720325892484,0.43030604628016916,0.41103769548890046,0.8447518701730163,0.6090612382997425,4.892613035464941,0.3513854566652074,0.466774628879892,0.8497541121012537,0.8583457586012757,0.95,0.8125,0.84375,0.787052810902896,0.7132195624802484,0.8148148148148148,0.7333333333333333,0.9383997157950013,0.82915619758885,1.7269388197453845,0.805528649083558,1.0,0.952808988764045,0.95,model_KNNClassifier
