Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0008330345153808594,0.0001690387725830078,0.00041031837463378906,0.8728486327424101,0.6542013244724818,0.6542013244724818,0.3602026181731278,0.1580847774659766,0.4283686112545173,0.3814460240659227,0.8626870133946035,0.582021344380589,4.391685244565062,0.370077783559993,0.5388424385096193,0.8561392504199723,0.8728486327424101,0.88,0.5,0.5,0.0,1.0,0.0,0.0,0.886942313043338,0.0,4.144653167389244,0.0,0.0,0.7744,0.88,model_linear_ALMAClassifier
2,0.0003802776336669922,7.700920104980469e-05,0.00013375282287597656,0.8728495453273141,0.6542015195854557,0.6542015195854557,0.3602031657511774,0.15808549093723057,0.4283686112545173,0.3814460240659227,0.8626880612565925,0.582021463551523,4.391653724765129,0.37007832854516265,0.5388424385096193,0.8561402489087109,0.8728495453273141,0.88,0.5,0.5,0.0,1.0,0.0,0.0,0.886942313043338,0.0,4.144653167389244,0.0,0.0,0.7744,0.88,model_linear_ALMAClassifier
3,0.0005035400390625,0.0001239776611328125,0.0002224445343017578,0.8728432807969454,0.6541920013640956,0.6541920013640956,0.3601866196630485,0.15807681398646733,0.4283547897912432,0.3814284893409182,0.8626817966789332,0.5820058796044407,4.391870093744761,0.3700639370439779,0.5388424385096193,0.8561317996671717,0.8728432807969454,0.87,0.46153846153846156,0.5,0.0,1.0,0.0,0.0,0.8783593521532924,0.0,4.49004093133835,0.0,0.0,0.7569,0.87,model_linear_ALMAClassifier
4,0.0003752708435058594,7.724761962890625e-05,0.00014090538024902344,0.8728441934071612,0.6541921964738354,0.6541921964738354,0.3601871672511788,0.15807752745393788,0.4283547897912432,0.3814284893409182,0.8626828445606491,0.5820059987701841,4.3918385730705936,0.37006448203953696,0.5388424385096193,0.8561327981879422,0.8728441934071612,0.87,0.46153846153846156,0.5,0.0,1.0,0.0,0.0,0.8783593521532924,0.0,4.49004093133835,0.0,0.0,0.7569,0.87,model_linear_ALMAClassifier
5,0.0003943443298339844,8.58306884765625e-05,0.00015497207641601562,0.8728451060042774,0.6541923915803411,0.6541923915803411,0.36018771483051176,0.15807824091399558,0.4283547897912432,0.3814284893409182,0.8626838924266493,0.582006117933928,4.391807052848874,0.3700650270263043,0.5388424385096193,0.856133796694916,0.8728451060042774,0.87,0.46153846153846156,0.5,0.0,1.0,0.0,0.0,0.8783593521532924,0.0,4.49004093133835,0.0,0.0,0.7569,0.87,model_linear_ALMAClassifier
6,0.0006668567657470703,0.00019025802612304688,0.00030732154846191406,0.8728388416406502,0.6541828743783354,0.6541828743783356,0.36017116984294656,0.15806956470425282,0.42834096921984904,0.3814109562279503,0.8626776280877895,0.581990535232204,4.392023416069472,0.3700506366404493,0.5388424385096193,0.8561253477634944,0.8728388416406502,0.86,0.5,0.5,0.0,1.0,0.0,0.0,0.8699239488413207,0.0,4.835428695287457,0.0,0.0,0.7395999999999999,0.86,model_linear_ALMAClassifier
7,0.0003724098205566406,9.369850158691406e-05,0.0001246929168701172,0.8728397542630763,0.6541830694816072,0.6541830694816073,0.36017171743235854,0.15807027816052588,0.42834096921984904,0.3814109562279503,0.8626786759735141,0.5819906543907578,4.3919918949735886,0.3700511816376044,0.5388424385096193,0.8561263463024964,0.8728397542630763,0.86,0.5,0.5,0.0,1.0,0.0,0.0,0.8699239488413207,0.0,4.835428695287457,0.0,0.0,0.7395999999999999,0.86,model_linear_ALMAClassifier
8,0.0006167888641357422,0.00015592575073242188,0.000247955322265625,0.8728406668724029,0.6541832645816451,0.6541832645816452,0.3601722650129735,0.15807099160938742,0.42834096921984904,0.3814109562279503,0.8626797238435231,0.5819907735473121,4.391960374330148,0.3700517266259681,0.5388424385096193,0.8561273448277017,0.8728406668724029,0.86,0.5,0.5,0.0,1.0,0.0,0.0,0.8699239488413207,0.0,4.835428695287457,0.0,0.0,0.7395999999999999,0.86,model_linear_ALMAClassifier
9,0.00067901611328125,0.0001919269561767578,0.00029850006103515625,0.8728344026755085,0.65417374839883,0.6541737483988301,0.36015572112587113,0.1580623161405561,0.4283271495402484,0.3813934247267964,0.8626734597434474,0.5819751920907802,4.3921767317920075,0.37003733735529715,0.5388424385096193,0.8561188962063774,0.8728344026755085,0.85,0.4666666666666667,0.5,0.0,1.0,0.0,0.0,0.8616404368553291,0.0,5.180816459236564,0.0,0.0,0.7225,0.85,model_linear_ALMAClassifier
10,0.0008945465087890625,0.00012087821960449219,0.0006139278411865234,0.8728281385685271,0.6541642332350419,0.6541642332350419,0.36013917830138614,0.15805364140528,0.42831333075235517,0.38137589483723444,0.8626671958112715,0.5819596118856536,4.392393086148384,0.3700229491613126,0.5388424385096193,0.8561104478034938,0.8728281385685271,0.84,0.5,0.5,0.0,1.0,0.0,0.0,0.8535132386113577,0.0,5.526204223185672,0.0,0.0,0.7056,0.84,model_linear_ALMAClassifier
