Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0018210411071777344,4.3392181396484375e-05,0.0017702579498291016,0.9183360522022839,0.7371900197268577,0.7371900197268577,0.5741588696188396,0.41499747907373474,0.6164572479313515,0.5335968379446641,0.9088561202388644,0.6944096155135232,2.8205834503300453,0.5994405018876112,0.8317138722348563,0.9131537252991797,0.9183360522022839,0.88,0.5,0.5,0.0,1.0,0.0,0.0,0.886942313043338,0.0,4.144653167389252,0.0,0.0,0.7744,0.88,tree_ExtremelyFastDecisionTreeClassifier
2,0.0003464221954345703,4.982948303222656e-05,7.295608520507812e-05,0.918337384381984,0.7371901641519271,0.7371901641519272,0.5741596357254372,0.4149994071016889,0.6164572479313515,0.5335968379446641,0.9088577628535836,0.69440971736546,2.8205374383000565,0.599441204665919,0.8317138722348563,0.9131550695613372,0.918337384381984,0.88,0.5,0.5,0.0,1.0,0.0,0.0,0.886942313043338,0.0,4.144653167389252,0.0,0.0,0.7744,0.88,tree_ExtremelyFastDecisionTreeClassifier
3,0.0002722740173339844,3.790855407714844e-05,6.222724914550781e-05,0.9183224038367427,0.737160361697088,0.7371603616970879,0.5741058477428422,0.414962499683616,0.6164100206849,0.5335402243972308,0.908841950643135,0.694367456481304,2.8210548478292172,0.599397057216549,0.8317138722348563,0.9131395431569804,0.9183224038367427,0.87,0.46153846153846156,0.5,0.0,1.0,0.0,0.0,0.8783593521532924,0.0,4.490040931338359,0.0,0.0,0.7569,0.87,tree_ExtremelyFastDecisionTreeClassifier
4,0.0002567768096923828,3.743171691894531e-05,6.0558319091796875e-05,0.9183237361956185,0.7371605061167162,0.7371605061167161,0.5741066139304495,0.414964427783441,0.6164100206849,0.5335402243972308,0.9088435934407103,0.6943675583231904,2.8210088296107316,0.5993977600574683,0.8317138722348563,0.913140887573024,0.9183237361956185,0.87,0.46153846153846156,0.5,0.0,1.0,0.0,0.0,0.8783593521532924,0.0,4.490040931338359,0.0,0.0,0.7569,0.87,tree_ExtremelyFastDecisionTreeClassifier
5,0.0002532005310058594,3.528594970703125e-05,5.936622619628906e-05,0.918325068511027,0.7371606505309036,0.7371606505309036,0.5741073800903032,0.41496635583356856,0.6164100206849,0.5335402243972308,0.9088452361797148,0.6943676601612251,2.820962812893558,0.5993984628728919,0.8317138722348563,0.9131422319477744,0.918325068511027,0.87,0.46153846153846156,0.5,0.0,1.0,0.0,0.0,0.8783593521532924,0.0,4.490040931338359,0.0,0.0,0.7569,0.87,tree_ExtremelyFastDecisionTreeClassifier
6,0.0002434253692626953,3.409385681152344e-05,5.7697296142578125e-05,0.9183100888997635,0.7371308553299174,0.7371308553299174,0.5740536003860199,0.41492945586863994,0.6163628006741229,0.5334836228616895,0.9088294253543976,0.6943254069795655,2.8214801901642867,0.5993543233752486,0.8317138722348563,0.9131267069431264,0.9183100888997635,0.86,0.5,0.5,0.0,1.0,0.0,0.0,0.8699239488413207,0.0,4.835428695287466,0.0,0.0,0.7395999999999999,0.86,tree_ExtremelyFastDecisionTreeClassifier
7,0.0002422332763671875,3.409385681152344e-05,5.626678466796875e-05,0.918311421394317,0.7371309997386645,0.7371309997386645,0.5740543666268563,0.41493138399059637,0.6163628006741229,0.5334836228616895,0.9088310682762123,0.694325508807552,2.8214341672596746,0.5993550262532633,0.8317138722348563,0.9131280514717226,0.918311421394317,0.86,0.5,0.5,0.0,1.0,0.0,0.0,0.8699239488413207,0.0,4.835428695287466,0.0,0.0,0.7395999999999999,0.86,tree_ExtremelyFastDecisionTreeClassifier
8,0.0002410411834716797,3.3855438232421875e-05,5.602836608886719e-05,0.918312753845401,0.7371311441419713,0.7371311441419715,0.5740551328399407,0.4149333120628581,0.6163628006741229,0.5334836228616895,0.9088327111394553,0.6943256106316874,2.821388145856454,0.5993557291057823,0.8317138722348563,0.9131293959590252,0.918312753845401,0.86,0.5,0.5,0.0,1.0,0.0,0.0,0.8699239488413207,0.0,4.835428695287466,0.0,0.0,0.7395999999999999,0.86,tree_ExtremelyFastDecisionTreeClassifier
9,0.00023818016052246094,3.361701965332031e-05,5.507469177246094e-05,0.9182977751680041,0.7371013561921901,0.73710135619219,0.5740013614121575,0.41489641954830625,0.6163155878973573,0.5334270333342174,0.9088169016990691,0.6942833651501825,2.8219054908725862,0.5993115975574733,0.8317138722348563,0.9131138723538701,0.9182977751680041,0.85,0.4666666666666667,0.5,0.0,1.0,0.0,0.0,0.8616404368553291,0.0,5.180816459236573,0.0,0.0,0.7225,0.85,tree_ExtremelyFastDecisionTreeClassifier
10,0.000240325927734375,3.409385681152344e-05,5.507469177246094e-05,0.9182827969792363,0.7370715754909667,0.7370715754909668,0.5739475980416879,0.41485953423849,0.6162683823529411,0.5333704558109936,0.9088010931608177,0.6942411273788796,2.822422819012077,0.5992674737800092,0.8317138722348563,0.9130983497578613,0.9182827969792363,0.84,0.5,0.5,0.0,1.0,0.0,0.0,0.8535132386113577,0.0,5.5262042231856805,0.0,0.0,0.7056,0.84,tree_ExtremelyFastDecisionTreeClassifier
11,0.00023746490478515625,3.361701965332031e-05,5.435943603515625e-05,0.9182841298320013,0.7370717198888339,0.7370717198888339,0.5739483644444194,0.4148614625039775,0.6162683823529411,0.5333704558109936,0.9088027364481264,0.6942412291867752,2.8223767837353027,0.5992681767831498,0.8317138722348563,0.9130996945940373,0.9182841298320013,0.84,0.5,0.5,0.0,1.0,0.0,0.0,0.8535132386113577,0.0,5.5262042231856805,0.0,0.0,0.7056,0.84,tree_ExtremelyFastDecisionTreeClassifier
12,0.00023698806762695312,3.337860107421875e-05,5.459785461425781e-05,0.9182691523543899,0.7370419464335234,0.7370419464335234,0.5738946092382141,0.41482458451770077,0.6162211840392126,0.533313890288199,0.9087869290532321,0.6941989991171362,2.822894087312331,0.5992240608622459,0.8317138722348563,0.9130841732021361,0.9182691523543899,0.84,0.5,0.5,0.0,1.0,0.0,0.0,0.8535132386113577,0.0,5.5262042231856805,0.0,0.0,0.7056,0.84,tree_ExtremelyFastDecisionTreeClassifier
13,0.00023937225341796875,3.314018249511719e-05,5.555152893066406e-05,0.9182541753653445,0.7370121802214814,0.7370121802214814,0.5738408620858619,0.41478771373093226,0.6161739929545107,0.5332573367620158,0.9087711225603459,0.6941567767530114,2.8234113740148947,0.5991799527075318,0.8317138722348563,0.9130686528191989,0.9182541753653445,0.83,0.47058823529411764,0.5,0.0,1.0,0.0,0.0,0.8455468614745696,0.0,5.871591987134788,0.0,0.0,0.6889,0.83,tree_ExtremelyFastDecisionTreeClassifier
14,0.0002503395080566406,3.600120544433594e-05,5.7697296142578125e-05,0.9182555086197054,0.737012324613909,0.737012324613909,0.573841628678155,0.4147896421894778,0.6161739929545107,0.5332573367620158,0.908772766271571,0.6941568785446727,2.823365324867503,0.5991806558612257,0.8317138722348563,0.9130699980041107,0.9182555086197054,0.83,0.47058823529411764,0.5,0.0,1.0,0.0,0.0,0.8455468614745696,0.0,5.871591987134788,0.0,0.0,0.6889,0.83,tree_ExtremelyFastDecisionTreeClassifier
15,0.0002434253692626953,3.528594970703125e-05,5.6743621826171875e-05,0.918256841830577,0.7370124690008973,0.7370124690008972,0.5738423952426849,0.4147915705983265,0.6161739929545107,0.5332573367620158,0.9087744099242059,0.6941569803324846,2.8233192772221876,0.5991813589894164,0.8317138722348563,0.9130713431477164,0.918256841830577,0.83,0.47058823529411764,0.5,0.0,1.0,0.0,0.0,0.8455468614745696,0.0,5.871591987134788,0.0,0.0,0.6889,0.83,tree_ExtremelyFastDecisionTreeClassifier
16,0.0002415180206298828,3.457069396972656e-05,5.4836273193359375e-05,0.9182418657750958,0.7369827100294809,0.736982710029481,0.5737886563597252,0.41475470725110375,0.6161268090971743,0.5332007952286282,0.908758604815675,0.6941147656591502,2.8238365316806022,0.5991372587745792,0.8317138722348563,0.9130558241636062,0.9182418657750958,0.82,0.5,0.5,0.0,1.0,0.0,0.0,0.8377458933460562,0.0,6.216979751083895,0.0,0.0,0.6724,0.82,tree_ExtremelyFastDecisionTreeClassifier
17,0.00047206878662109375,9.655952453613281e-05,0.00012755393981933594,0.9182431991649814,0.7369828544110303,0.7369828544110304,0.5737894230051184,0.41475663573156984,0.6161268090971743,0.5332007952286282,0.90876024865091,0.6941148674369231,2.8237904778523735,0.5991379619652668,0.8317138722348563,0.9130571694608706,0.9182431991649814,0.83,0.47058823529411764,0.5,0.0,1.0,0.0,0.0,0.8455468614745696,0.0,5.871591987134788,0.0,0.0,0.6889,0.83,tree_ExtremelyFastDecisionTreeClassifier
18,0.0002872943878173828,4.3392181396484375e-05,6.937980651855469e-05,0.9182445325113753,0.7369829987871411,0.7369829987871411,0.5737901896227473,0.4147585641623418,0.6161268090971743,0.5332007952286282,0.9087618924275539,0.6941149692108473,2.8237444255263,0.5991386651304508,0.8317138722348563,0.9130585147168282,0.9182445325113753,0.83,0.47058823529411764,0.5,0.0,1.0,0.0,0.0,0.8455468614745696,0.0,5.871591987134788,0.0,0.0,0.6889,0.83,tree_ExtremelyFastDecisionTreeClassifier
19,0.0002789497375488281,3.9577484130859375e-05,6.937980651855469e-05,0.9182458658142797,0.7369831431578137,0.7369831431578137,0.5737909562126144,0.4147604925434225,0.6161268090971743,0.5332007952286282,0.9087635361456099,0.694115070980923,2.823698374702308,0.5991393682701329,0.8317138722348563,0.913059859931481,0.9182458658142797,0.83,0.47058823529411764,0.5,0.0,1.0,0.0,0.0,0.8455468614745696,0.0,5.871591987134788,0.0,0.0,0.6889,0.83,tree_ExtremelyFastDecisionTreeClassifier
20,0.00025773048400878906,3.528594970703125e-05,6.151199340820312e-05,0.9182308909147247,0.7369533914243813,0.7369533914243813,0.5737372257058393,0.4147236367542533,0.6160796324655436,0.5331442656842217,0.9087477326623764,0.6940728639898541,2.824215589236469,0.5990952760807645,0.8317138722348563,0.9130443425409058,0.9182308909147247,0.82,0.5,0.5,0.0,1.0,0.0,0.0,0.8377458933460562,0.0,6.216979751083895,0.0,0.0,0.6724,0.82,tree_ExtremelyFastDecisionTreeClassifier
21,0.00024890899658203125,3.4332275390625e-05,5.91278076171875e-05,0.918232224396608,0.7369535357896159,0.7369535357896159,0.5737379923765414,0.41472556520690906,0.6160796324655436,0.5331442656842217,0.9087493765629827,0.6940729657498933,2.8241695322307736,0.5990959792829216,0.8317138722348563,0.9130456879091747,0.918232224396608,0.82,0.5,0.5,0.0,1.0,0.0,0.0,0.8377458933460562,0.0,6.216979751083895,0.0,0.0,0.6724,0.82,tree_ExtremelyFastDecisionTreeClassifier
22,0.00024700164794921875,3.4332275390625e-05,5.650520324707031e-05,0.9182335578349994,0.7369536801494126,0.7369536801494126,0.5737387590194796,0.41472749360987526,0.6160796324655436,0.5331442656842217,0.9087510204050002,0.6940730675060848,2.824123476727239,0.5990966824595763,0.8317138722348563,0.9130470332361381,0.9182335578349994,0.83,0.47058823529411764,0.5,0.0,1.0,0.0,0.0,0.8455468614745696,0.0,5.871591987134788,0.0,0.0,0.6889,0.83,tree_ExtremelyFastDecisionTreeClassifier
23,0.0002474784851074219,3.504753112792969e-05,5.6743621826171875e-05,0.9182348912299012,0.736953824503772,0.7369538245037721,0.5737395256346576,0.4147294219631543,0.6160796324655436,0.5331442656842217,0.9087526641884321,0.6940731692584285,2.824077422725792,0.5990973856107304,0.8317138722348563,0.9130483785217978,0.9182348912299012,0.83,0.47058823529411764,0.5,0.0,1.0,0.0,0.0,0.8455468614745696,0.0,5.871591987134788,0.0,0.0,0.6889,0.83,tree_ExtremelyFastDecisionTreeClassifier
24,0.00024175643920898438,3.3855438232421875e-05,5.5789947509765625e-05,0.9182362245813154,0.7369539688526944,0.7369539688526945,0.5737402922220753,0.41473135026674834,0.6160796324655436,0.5331442656842217,0.9087543079132815,0.694073271006925,2.824031370226359,0.5990980887363854,0.8317138722348563,0.9130497237661556,0.9182362245813154,0.83,0.47058823529411764,0.5,0.0,1.0,0.0,0.0,0.8455468614745696,0.0,5.871591987134788,0.0,0.0,0.6889,0.83,tree_ExtremelyFastDecisionTreeClassifier
25,0.00024390220642089844,3.3855438232421875e-05,5.555152893066406e-05,0.918237557889244,0.73695411319618,0.73695411319618,0.5737410587817345,0.41473327852065933,0.6160796324655436,0.5331442656842217,0.9087559515795512,0.6940733727515742,2.823985319228867,0.599098791836542,0.8317138722348563,0.9130510689692136,0.918237557889244,0.83,0.47058823529411764,0.5,0.0,1.0,0.0,0.0,0.8455468614745696,0.0,5.871591987134788,0.0,0.0,0.6889,0.83,tree_ExtremelyFastDecisionTreeClassifier
26,0.0002410411834716797,3.337860107421875e-05,5.5789947509765625e-05,0.9182388911536894,0.736954257534229,0.7369542575342292,0.573741825313637,0.4147352067248894,0.6160796324655436,0.5331442656842217,0.9087575951872449,0.6940734744923766,2.8239392697332413,0.5990994949112025,0.8317138722348563,0.9130524141309736,0.9182388911536894,0.83,0.47058823529411764,0.5,0.0,1.0,0.0,0.0,0.8455468614745696,0.0,5.871591987134788,0.0,0.0,0.6889,0.83,tree_ExtremelyFastDecisionTreeClassifier
27,0.00041222572326660156,5.888938903808594e-05,6.508827209472656e-05,0.9182402243746535,0.736954401866842,0.7369544018668421,0.5737425918177842,0.4147371348794411,0.6160796324655436,0.5331442656842217,0.908759238736365,0.6940735762293321,2.8238932217394095,0.5991001979603673,0.8317138722348563,0.9130537592514375,0.9182402243746535,0.84,0.5,0.5,0.0,1.0,0.0,0.0,0.8535132386113577,0.0,5.5262042231856805,0.0,0.0,0.7056,0.84,tree_ExtremelyFastDecisionTreeClassifier
28,0.0002460479736328125,3.552436828613281e-05,5.6743621826171875e-05,0.9182415575521385,0.7369545461940191,0.7369545461940192,0.5737433582941773,0.4147390629843162,0.6160796324655436,0.5331442656842217,0.908760882226915,0.694073677962441,2.823847175247298,0.5991009009840385,0.8317138722348563,0.913055104330607,0.9182415575521385,0.84,0.5,0.5,0.0,1.0,0.0,0.0,0.8535132386113577,0.0,5.5262042231856805,0.0,0.0,0.7056,0.84,tree_ExtremelyFastDecisionTreeClassifier
