Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.015146732330322266,0.004627704620361328,0.010514020919799805,0.8888888888888888,-0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.8819171036881969,0.0,3.8377306658156543,0.0,0.0,1.0,0.8888888888888888,0.8888888888888888,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.8819171036881969,0.0,3.8377306658156543,0.0,0.0,1.0,0.8888888888888888,BernoulliNB
2,0.010256528854370117,0.005313873291015625,0.0048253536224365234,0.9375,-0.0,0.46875,0.0,0.0,0.0,0.0,0.9375672018924917,0.0,2.1587234995213054,0.0,0.0,1.0,0.9375,0.9375,0.0,0.46875,0.0,0.0,0.0,0.0,0.9375672018924917,0.0,2.1587234995213054,0.0,0.0,1.0,0.9375,BernoulliNB
3,0.008601665496826172,0.004530668258666992,0.0038671493530273438,0.9464285714285714,-0.0,0.4732142857142857,0.0,0.0,0.0,0.0,0.946970562770167,0.0,1.8503344281611191,0.0,0.0,1.0,0.9464285714285714,0.9464285714285714,0.0,0.4732142857142857,0.0,0.0,0.0,0.0,0.946970562770167,0.0,1.8503344281611191,0.0,0.0,1.0,0.9464285714285714,BernoulliNB
4,0.011193990707397461,0.004403591156005859,0.006662607192993164,0.6875,0.5148809523809523,0.5148809523809523,0.03846153846153833,0.006463163984129383,0.13793103448275862,0.099009900990099,0.7172389160516941,0.2808363360020345,10.793397608313224,0.05634361698190112,0.4,0.6146666666666667,0.6875,0.6875,0.5148809523809523,0.5148809523809523,0.03846153846153833,0.006463163984129383,0.13793103448275862,0.099009900990099,0.7172389160516941,0.2808363360020345,10.793397608313224,0.05634361698190112,0.4,0.6146666666666667,0.6875,BernoulliNB
5,0.011678934097290039,0.005447864532470703,0.006032228469848633,0.7169811320754716,0.4928861788617886,0.49288617886178865,-0.017925736235595784,0.000681556861497068,0.11764705882352941,0.09433962264150943,0.7275341291681735,0.27423211342313714,9.775185741761913,-0.020370883626612712,0.2,0.6415880503144654,0.7169811320754716,0.71,0.4956140350877193,0.49561403508771934,-0.011157601115760042,0.0002877232059699253,0.12121212121212122,0.09523809523809523,0.7232429270678327,0.2750598021100904,10.016301126344219,-0.01309078272759973,0.2222222222222222,0.6295970695970696,0.71,BernoulliNB
6,0.01186060905456543,0.006806135177612305,0.004897117614746094,0.6439393939393939,0.4259259259259259,0.42592592592592593,-0.141280353200883,0.02329448168381687,0.07843137254901962,0.08130081300813008,0.6634345590595204,0.25306759942067497,12.29804909467089,-0.14165672406926147,0.07407407407407407,0.6602212602212602,0.6439393939393939,0.55,0.39035087719298245,0.39035087719298245,-0.21621621621621648,0.04900201272806137,0.08163265306122448,0.08264462809917356,0.6008911503902292,0.24106852778353152,15.542633285118757,-0.21629522817435,0.08,0.5562666666666667,0.55,BernoulliNB
7,0.013490676879882812,0.0061109066009521484,0.007223606109619141,0.5822784810126582,0.4742592592592592,0.47425925925925927,-0.056320907617504176,0.0033381904065754586,0.21428571428571427,0.1923076923076923,0.6020951568530339,0.37193189340702326,14.42771665822697,-0.0582636401842268,0.2647058823529412,0.5413013715081786,0.5822784810126582,0.39,0.3717948717948718,0.38221153846153844,-0.238830219333875,0.05363466011874429,0.2278481012658228,0.2017937219730942,0.5494126176686616,0.32889675724013595,21.068829512330165,-0.25447764865485634,0.2903225806451613,0.36544179523141657,0.39,BernoulliNB
8,0.011973857879638672,0.006158590316772461,0.00555872917175293,0.6195652173913043,0.4817910447761194,0.48179104477611945,-0.039380245319560844,0.0016064614233798347,0.20454545454545453,0.1890756302521008,0.6284297071300915,0.3755592844271101,13.139877912876223,-0.04002065560151861,0.23684210526315788,0.5881085232437855,0.6195652173913043,0.55,0.4397089397089397,0.4589397089397089,-0.07552581261950278,0.004736943635809565,0.23728813559322037,0.2554744525547445,0.5713936692540522,0.4178949325322989,15.542657273041659,-0.07660554061870119,0.21212121212121213,0.5853007688828584,0.55,BernoulliNB
9,0.0121002197265625,0.00638890266418457,0.005553007125854492,0.6285714285714286,0.474375,0.474375,-0.052699228791773814,0.0027368207117947074,0.18749999999999997,0.18292682926829265,0.6368565591544229,0.3719879030291174,12.828829256704537,-0.052776188636131365,0.1956521739130435,0.6180124223602486,0.6285714285714286,0.55,0.4397089397089397,0.4589397089397089,-0.07552581261950278,0.004736943635809565,0.23728813559322037,0.2554744525547445,0.5713936692540522,0.4178949325322989,15.542657273041657,-0.07660554061870119,0.21212121212121213,0.5853007688828584,0.55,BernoulliNB
10,0.012204885482788086,0.0062596797943115234,0.0057909488677978516,0.6483050847457628,0.47709677419354835,0.47709677419354835,-0.045473953885567873,0.0020463062631236317,0.17821782178217824,0.17928286852589642,0.6542181710110407,0.37330261010295307,12.147254338430752,-0.04547756178692287,0.17647058823529413,0.6508555414836571,0.6483050847457628,0.65,0.4819347319347319,0.4819347319347319,-0.036729857819905454,0.0013473170044953076,0.18604651162790697,0.18348623853211007,0.6513658499202546,0.37708240769245943,12.08870766978187,-0.036745981726604905,0.19047619047619047,0.6441832429174201,0.65,BernoulliNB
