Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.017553091049194336,0.004820585250854492,0.01254415512084961,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_threshold
2,0.012058734893798828,0.005000591278076172,0.006900310516357422,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.992007221626415e-16,0.0,0.0,1.0,1.0,ensemble_best_model_threshold
3,0.05236029624938965,0.017215728759765625,0.03462576866149902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16,0.9999999999999999,1.0,1.0,1.0,ensemble_best_model_threshold
4,0.022534608840942383,0.013523101806640625,0.008841514587402344,0.75,0.8333333333333334,0.8333333333333333,0.5,0.3112781244591327,0.6666666666666666,0.8333333333333334,0.408248290463863,0.816496580927726,8.634893998085222,0.5773502691896258,0.5,0.875,0.75,0.75,0.6666666666666666,0.8333333333333333,0.5,0.3112781244591327,0.6666666666666666,0.8333333333333334,0.408248290463863,0.816496580927726,8.634893998085222,0.5773502691896258,0.5,0.875,0.75,ensemble_best_model_threshold
5,0.01949310302734375,0.006582736968994141,0.012759208679199219,0.6,0.75,0.75,0.2857142857142856,0.1760651833687611,0.5,0.7142857142857143,0.408248290463863,0.7071067811865476,13.815830396936352,0.4082482904638631,0.3333333333333333,0.8666666666666666,0.6,0.6,0.5,0.75,0.2857142857142856,0.1760651833687611,0.5,0.7142857142857143,0.408248290463863,0.7071067811865476,13.815830396936352,0.4082482904638631,0.3333333333333333,0.8666666666666666,0.6,ensemble_best_model_threshold
6,0.04029393196105957,0.01321554183959961,0.026892662048339844,0.6666666666666666,0.75,0.75,0.39999999999999997,0.27401754212128093,0.6666666666666666,0.8333333333333334,0.4285714285714285,0.7071067811865476,11.51319199744696,0.49999999999999994,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,0.75,0.39999999999999997,0.27401754212128093,0.6666666666666666,0.8333333333333334,0.4285714285714285,0.7071067811865476,11.51319199744696,0.49999999999999994,0.5,0.8333333333333334,0.6666666666666666,ensemble_best_model_threshold
7,0.024662494659423828,0.01008749008178711,0.01436161994934082,0.5714285714285714,0.7,0.7,0.2758620689655172,0.19647826253528533,0.5714285714285715,0.7692307692307692,0.4545454545454545,0.6324555320336759,14.802675425288948,0.3999999999999999,0.4,0.8285714285714285,0.5714285714285714,0.5714285714285714,0.7,0.7,0.2758620689655172,0.19647826253528533,0.5714285714285715,0.7692307692307692,0.4545454545454545,0.6324555320336759,14.802675425288948,0.3999999999999999,0.4,0.8285714285714285,0.5714285714285714,ensemble_best_model_threshold
8,0.022652149200439453,0.008897781372070312,0.013600349426269531,0.5,0.6666666666666667,0.6666666666666666,0.2,0.15106563978903287,0.5,0.7142857142857143,0.5000000000000001,0.5773502691896257,17.26978799617044,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.5,0.5,0.6666666666666666,0.6666666666666666,0.2,0.15106563978903287,0.5,0.7142857142857143,0.5000000000000001,0.5773502691896257,17.26978799617044,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.5,ensemble_best_model_threshold
9,0.02701401710510254,0.010047197341918945,0.016679763793945312,0.5555555555555556,0.6666666666666667,0.6666666666666666,0.2500000000000001,0.1989091696149432,0.6,0.7894736842105262,0.502518907629606,0.5773502691896257,15.350922663262613,0.3779644730092272,0.42857142857142855,0.8095238095238095,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.2500000000000001,0.1989091696149432,0.6,0.7894736842105262,0.502518907629606,0.5773502691896257,15.350922663262613,0.3779644730092272,0.42857142857142855,0.8095238095238095,0.5555555555555556,ensemble_best_model_threshold
10,0.023657560348510742,0.008869171142578125,0.01463460922241211,0.6,0.6666666666666667,0.6666666666666666,0.2857142857142856,0.23679725954056519,0.6666666666666666,0.8333333333333334,0.5267865840075201,0.5773502691896257,13.815830396936352,0.40824829046386285,0.5,0.8,0.6,0.6,0.6666666666666666,0.6666666666666666,0.2857142857142856,0.23679725954056519,0.6666666666666666,0.8333333333333334,0.5267865840075201,0.5773502691896257,13.815830396936352,0.40824829046386285,0.5,0.8,0.6,ensemble_best_model_threshold
