Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.013114213943481445,0.0031609535217285156,0.009948968887329102,0.8888888888888888,-0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.8819171036881969,0.0,3.8377306658156543,0.0,0.0,1.0,0.8888888888888888,0.8888888888888888,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.8819171036881969,0.0,3.8377306658156543,0.0,0.0,1.0,0.8888888888888888,BernoulliNB
2,0.00811767578125,0.0038607120513916016,0.0042531490325927734,0.9354838709677419,-0.0,0.46774193548387094,0.0,0.0,0.0,0.0,0.9355580244989089,0.0,2.2283597414413476,0.0,0.0,1.0,0.9354838709677419,0.9354838709677419,0.0,0.46774193548387094,0.0,0.0,0.0,0.0,0.9355580244989089,0.0,2.2283597414413476,0.0,0.0,1.0,0.9354838709677419,BernoulliNB
3,0.009763240814208984,0.006051301956176758,0.0037076473236083984,0.9444444444444444,-0.0,0.4722222222222222,0.0,0.0,0.0,0.0,0.9450300318012594,0.0,1.9188653329078273,0.0,0.0,1.0,0.9444444444444444,0.9444444444444444,0.0,0.4722222222222222,0.0,0.0,0.0,0.0,0.9450300318012594,0.0,1.9188653329078273,0.0,0.0,1.0,0.9444444444444444,BernoulliNB
4,0.01062464714050293,0.0037975311279296875,0.006823062896728516,0.6883116883116883,0.5157004830917874,0.5157004830917874,0.0404984423676013,0.006731462862947457,0.14285714285714285,0.10309278350515463,0.7163006217893655,0.2865756512070317,10.765364055456455,0.05832470605630132,0.4,0.6162337662337662,0.6883116883116883,0.6883116883116883,0.49516908212560384,0.5157004830917874,0.0404984423676013,0.006731462862947457,0.14285714285714285,0.10309278350515463,0.7163006217893655,0.2865756512070317,10.765364055456455,0.05832470605630132,0.4,0.6162337662337662,0.6883116883116883,BernoulliNB
5,0.010068893432617188,0.004791736602783203,0.005273580551147461,0.7156862745098039,0.4928453494771602,0.4928453494771602,-0.01789401238816248,0.0006464191042492295,0.12121212121212122,0.09803921568627451,0.7252751421224494,0.2795546422771623,9.819910904233842,-0.020109532327266658,0.2,0.6428175618073316,0.7156862745098039,0.71,0.4720496894409938,0.4915302089215132,-0.021126760563380698,0.0008939131354345209,0.12121212121212122,0.09803921568627451,0.7204233356591543,0.2791452631195413,10.016309122318518,-0.023762422826087894,0.2,0.6363333333333333,0.71,BernoulliNB
6,0.010866403579711914,0.006165981292724609,0.00469660758972168,0.6456692913385826,0.42809364548494977,0.4280936454849499,-0.13686095086532746,0.0217128635808862,0.08163265306122448,0.0847457627118644,0.6642075517286402,0.2586303000559359,12.23830022133312,-0.13725573318938863,0.07692307692307693,0.6625627432519146,0.6456692913385826,0.57,0.38509316770186336,0.4006211180124224,-0.19577308120133521,0.040758753133525616,0.0851063829787234,0.08620689655172413,0.6112825014307791,0.24922239313961342,14.85184976124624,-0.19584882299592613,0.08333333333333333,0.5764035087719298,0.57,BernoulliNB
7,0.011768817901611328,0.00558781623840332,0.006177186965942383,0.5789473684210527,0.46794871794871795,0.46794871794871795,-0.0704225352112678,0.005357623389661059,0.2,0.17857142857142855,0.6031438616856348,0.3580574370197165,14.542768944819798,-0.07308816827558573,0.25,0.5350877192982456,0.5789473684210527,0.39,0.3814102564102564,0.3814102564102564,-0.2408462164361268,0.058326356966411086,0.2077922077922078,0.18099547511312217,0.5567751274399964,0.31521258597805757,21.068821516355857,-0.26113870308475706,0.27586206896551724,0.35945604662457503,0.39,BernoulliNB
8,0.01046442985534668,0.005614757537841797,0.004845857620239258,0.615819209039548,0.47480620155038766,0.47480620155038755,-0.054679284963196594,0.00316383837797074,0.1904761904761905,0.17543859649122806,0.6282282437629807,0.36123531952503124,13.269260924191935,-0.05565168438505033,0.2222222222222222,0.5823215931402012,0.615819209039548,0.56,0.44,0.4533333333333333,-0.08641975308641955,0.006372237035788819,0.21428571428571427,0.22900763358778628,0.5819652146489209,0.39999999999999997,15.197261513118258,-0.08738402006519948,0.1935483870967742,0.5918653576437588,0.56,BernoulliNB
9,0.01053476333618164,0.005522012710571289,0.005009174346923828,0.6237623762376238,0.4664502164502165,0.46645021645021645,-0.06908077994428996,0.004774885674360574,0.17391304347826086,0.16949152542372883,0.6354003566546392,0.3573592418080547,12.994929660993567,-0.06919039591066964,0.18181818181818182,0.61257391561941,0.6237623762376238,0.53,0.4208,0.43333333333333335,-0.11904761904761887,0.012068047131391979,0.20338983050847456,0.22388059701492538,0.5702685827723238,0.3878143885933063,16.23344879288848,-0.12187873735452183,0.17647058823529413,0.5782085561497327,0.53,BernoulliNB
10,0.010851383209228516,0.005602598190307617,0.005244255065917969,0.6431718061674009,0.4688081936685289,0.4688081936685288,-0.06191163730869185,0.003846508000300175,0.16494845360824742,0.16597510373443983,0.6520584357275718,0.35845727794499005,12.324553618865218,-0.06191695845258699,0.16326530612244897,0.6458679101002378,0.6431718061674009,0.64,0.4912,0.5066666666666666,0.013698630136986314,0.00017335996846212787,0.24999999999999994,0.24390243902439024,0.6316831261519987,0.4308131845707603,12.434095433730986,0.013719241215239514,0.2608695652173913,0.6301524562394127,0.64,BernoulliNB
