Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.025404930114746094,0.007775545120239258,0.017622709274291992,0.8888888888888888,-0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.8819171036881969,0.0,3.8377306658156543,0.0,0.0,1.0,0.8888888888888888,0.8888888888888888,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.8819171036881969,0.0,3.8377306658156543,0.0,0.0,1.0,0.8888888888888888,BernoulliNB
2,0.020731687545776367,0.008488655090332031,0.012235879898071289,0.9354838709677419,-0.0,0.46774193548387094,0.0,0.0,0.0,0.0,0.9355580244989089,0.0,2.2283597414413476,0.0,0.0,1.0,0.9354838709677419,0.9354838709677419,0.0,0.46774193548387094,0.0,0.0,0.0,0.0,0.9355580244989089,0.0,2.2283597414413476,0.0,0.0,1.0,0.9354838709677419,BernoulliNB
3,0.028066158294677734,0.01070404052734375,0.017357349395751953,0.5555555555555556,0.4894810659186536,0.48948106591865354,-0.023696682464455,0.004922365088856351,0.07692307692307691,0.05263157894736842,0.6660288316266477,0.20167600695473464,15.350596901346607,-0.04541515269578703,0.3333333333333333,0.4684095860566449,0.5555555555555556,0.5555555555555556,0.48807854137447404,0.48948106591865354,-0.023696682464455,0.004922365088856351,0.07692307692307691,0.05263157894736842,0.6660288316266477,0.20167600695473464,15.350596901346607,-0.04541515269578703,0.3333333333333333,0.4684095860566449,0.5555555555555556,BernoulliNB
4,0.014740705490112305,0.006729602813720703,0.008007526397705078,0.620253164556962,0.4503105590062112,0.45031055900621114,-0.12109744560075708,0.033435260019531676,0.0625,0.04950495049504951,0.6616291950811451,0.19304683562633604,13.116072007933699,-0.1420959707794764,0.1111111111111111,0.5184247538677919,0.620253164556962,0.620253164556962,0.4472049689440994,0.45031055900621114,-0.12109744560075708,0.033435260019531676,0.0625,0.04950495049504951,0.6616291950811451,0.19304683562633604,13.116072007933699,-0.1420959707794764,0.1111111111111111,0.5184247538677919,0.620253164556962,BernoulliNB
5,0.015247344970703125,0.007367610931396484,0.007876157760620117,0.6826923076923077,0.4538378958668814,0.45383789586688134,-0.11139896373056961,0.024222827063455354,0.057142857142857134,0.048076923076923066,0.7008557866138857,0.1938396391085882,10.959504005805622,-0.1199326646142701,0.08333333333333333,0.6110298216276477,0.6826923076923077,0.68,0.45398080180688877,0.45680406549971764,-0.1057360055286799,0.023241096712832365,0.0588235294117647,0.048543689320388356,0.6999718547706164,0.19450381354592355,11.052488406114438,-0.1161959000483026,0.09090909090909091,0.6005720122574055,0.68,BernoulliNB
6,0.030804872512817383,0.011016368865966797,0.019783973693847656,0.5658914728682171,0.4633487654320988,0.46334876543209874,-0.08566275924256107,0.020336341355552845,0.09677419354838708,0.07281553398058252,0.6427336062718678,0.2324055629261321,14.993645532455272,-0.11391182081573052,0.21428571428571427,0.46193846598295535,0.5658914728682171,0.46,0.4342948717948718,0.44471153846153844,-0.1138613861386138,0.041219659329548075,0.1,0.07352941176470588,0.6249882741204346,0.22733827726032477,18.651011217020496,-0.17000231384686126,0.25,0.3740909090909091,0.46,BernoulliNB
7,0.019889354705810547,0.008575439453125,0.011310577392578125,0.5974025974025974,0.451061320754717,0.451061320754717,-0.11646398503274095,0.026439560484975977,0.08823529411764706,0.07075471698113207,0.6464072233819286,0.22907731248279395,13.905309932732308,-0.1348616268850513,0.15,0.5039154874975771,0.5974025974025974,0.62,0.424,0.44,-0.13432835820895497,0.0238920417426991,0.09523809523809526,0.08547008547008547,0.6453760134865711,0.25298221281347033,13.124854969680593,-0.13833063648147234,0.11764705882352941,0.5715804394046775,0.62,BernoulliNB
8,0.022587299346923828,0.011394023895263672,0.011189460754394531,0.6145251396648045,0.4396469465648855,0.4396469465648855,-0.14012738853503154,0.030527025488457427,0.08,0.06849315068493152,0.6498544372394532,0.22594162591388664,13.313937215570736,-0.14941074571239277,0.1111111111111111,0.5449745172988336,0.6145251396648045,0.61,0.4176,0.4333333333333333,-0.1470588235294119,0.027463990361982882,0.09302325581395349,0.08474576271186442,0.6379234869192649,0.2508651696296904,13.470250729604002,-0.150278272444572,0.1111111111111111,0.5674119241192411,0.61,BernoulliNB
9,0.026600122451782227,0.01096963882446289,0.01562666893005371,0.5686274509803921,0.4700407821813239,0.47004078218132384,-0.06818993216708344,0.007114937921578912,0.16981132075471697,0.13846153846153844,0.6174174411097747,0.31733360515584325,14.899174083776792,-0.0780014217850976,0.2727272727272727,0.49941103501475015,0.5686274509803921,0.45,0.45,0.45,-0.09999999999999998,0.014774148843568757,0.22535211267605634,0.18099547511312217,0.5750944830874676,0.34409301068170506,18.996430964866803,-0.12275715403505905,0.38095238095238093,0.42465340566606385,0.45,BernoulliNB
10,0.023468971252441406,0.010006904602050781,0.013458251953125,0.537117903930131,0.49002959962611,0.49002959962611,-0.021547007827623952,0.0007323700685113455,0.23188405797101447,0.18518518518518517,0.5984739091057347,0.36517681333948204,15.98746501396881,-0.025985458365895216,0.4,0.4950393937293501,0.537117903930131,0.5,0.49,0.5,0.0,0.0,0.34210526315789475,0.2876106194690266,0.546494036523459,0.4386342439892262,17.26949214512127,0.0,0.5,0.5,0.5,BernoulliNB
